rights_safe_report_index,budget,baseline,full_minus_baseline_rougeL_f1
1,5,graph_no_cf_strict,0.000451627741652208
2,5,graph_no_cf_strict,0.006405023547880695
3,5,graph_no_cf_strict,-0.012530633642311356
4,5,graph_no_cf_strict,0.0062422729145959754
5,5,graph_no_cf_strict,-0.0017564015624912319
6,5,graph_no_cf_strict,0.0
7,5,graph_no_cf_strict,-0.008541906644474108
8,5,graph_no_cf_strict,-0.013561567424348081
9,5,graph_no_cf_strict,-0.044695952426625746
10,5,graph_no_cf_strict,0.004362629253255201
11,5,graph_no_cf_strict,0.01632979463168141
12,5,graph_no_cf_strict,-0.00388210340433065
13,5,graph_no_cf_strict,-0.01081661031300224
14,5,graph_no_cf_strict,0.006138089475807157
15,5,graph_no_cf_strict,0.0058717000166370464
1,5,semantic_mmr,0.022883343762464647
2,5,semantic_mmr,0.03787837777985564
3,5,semantic_mmr,0.022197285417026896
4,5,semantic_mmr,0.021510572467750164
5,5,semantic_mmr,0.0023078017210724708
6,5,semantic_mmr,0.019620958751393525
7,5,semantic_mmr,0.014653886241899325
8,5,semantic_mmr,0.033837882064169225
9,5,semantic_mmr,0.004515400741815834
10,5,semantic_mmr,0.051822017869762455
11,5,semantic_mmr,0.01733826578940631
12,5,semantic_mmr,0.03288953312241667
13,5,semantic_mmr,0.02761281502978711
14,5,semantic_mmr,-0.013693085422461823
15,5,semantic_mmr,0.0156762660202259
1,5,textrank,0.04995634882141818
2,5,textrank,0.060240639986236855
3,5,textrank,0.0241637167312843
4,5,textrank,0.03131571383186335
5,5,textrank,-0.0019254079662586118
6,5,textrank,0.017292403666932923
7,5,textrank,0.01495683847937624
8,5,textrank,0.01918012137867857
9,5,textrank,0.02949772514989904
10,5,textrank,0.0384556932648073
11,5,textrank,0.018966958354295488
12,5,textrank,0.012857816769988664
13,5,textrank,0.026694181550795802
14,5,textrank,0.0029137320796539384
15,5,textrank,0.036999568281513406
1,10,graph_no_cf_strict,-0.002445932028836223
2,10,graph_no_cf_strict,-0.0015415078397605642
3,10,graph_no_cf_strict,-0.007247705900251075
4,10,graph_no_cf_strict,0.006243667679837903
5,10,graph_no_cf_strict,-0.01606839286780397
6,10,graph_no_cf_strict,0.0001277319311893954
7,10,graph_no_cf_strict,0.000383275311893444
8,10,graph_no_cf_strict,-0.009746335117826577
9,10,graph_no_cf_strict,-0.02623680512145271
10,10,graph_no_cf_strict,-0.002809591009308776
11,10,graph_no_cf_strict,0.0
12,10,graph_no_cf_strict,0.009589933833694317
13,10,graph_no_cf_strict,-0.012047677130812534
14,10,graph_no_cf_strict,0.0044824553554866226
15,10,graph_no_cf_strict,0.00691035518017824
1,10,semantic_mmr,0.03291495272087272
2,10,semantic_mmr,0.02852899036502493
3,10,semantic_mmr,0.0066766305734756864
4,10,semantic_mmr,-0.00942780337941626
5,10,semantic_mmr,-0.0006841458146639029
6,10,semantic_mmr,0.01728002454906466
7,10,semantic_mmr,0.02211580180163779
8,10,semantic_mmr,0.03371568795297607
9,10,semantic_mmr,-0.014748474671303718
10,10,semantic_mmr,0.027588655245714966
11,10,semantic_mmr,0.009296822177146752
12,10,semantic_mmr,0.02986488984728196
13,10,semantic_mmr,0.02944968204248455
14,10,semantic_mmr,-0.0077034333566331215
15,10,semantic_mmr,0.010530178633626902
1,10,textrank,0.03749938996387335
2,10,textrank,-0.021675935100137766
3,10,textrank,0.007922420720021861
4,10,textrank,0.02040453622207178
5,10,textrank,-0.011348709499990103
6,10,textrank,0.01756058594118784
7,10,textrank,0.01484800702753944
8,10,textrank,0.004278074866310155
9,10,textrank,0.014660623356275548
10,10,textrank,0.01740847108798882
11,10,textrank,0.0025300442757748287
12,10,textrank,0.018649721696163343
13,10,textrank,0.022163494636789627
14,10,textrank,0.00454056687633779
15,10,textrank,0.030993431855500825
