"category","file","bytes","mb","source","split"
"distribution_ev",".\data\public_dataset_archives\public_datasets_distribution_ev.tar.gz","8715","0.01","data\public_datasets\distribution_ev","false"
"equipment_fault_pmu",".\data\public_dataset_archives\public_datasets_equipment_fault_pmu.tar.gz.part001","20971520","20","data\public_datasets\equipment_fault_pmu","true"
"equipment_fault_pmu",".\data\public_dataset_archives\public_datasets_equipment_fault_pmu.tar.gz.part002","20971520","20","data\public_datasets\equipment_fault_pmu","true"
"equipment_fault_pmu",".\data\public_dataset_archives\public_datasets_equipment_fault_pmu.tar.gz.part003","20971520","20","data\public_datasets\equipment_fault_pmu","true"
"equipment_fault_pmu",".\data\public_dataset_archives\public_datasets_equipment_fault_pmu.tar.gz.part004","20971520","20","data\public_datasets\equipment_fault_pmu","true"
"equipment_fault_pmu",".\data\public_dataset_archives\public_datasets_equipment_fault_pmu.tar.gz.part005","20971520","20","data\public_datasets\equipment_fault_pmu","true"
"equipment_fault_pmu",".\data\public_dataset_archives\public_datasets_equipment_fault_pmu.tar.gz.part006","20971520","20","data\public_datasets\equipment_fault_pmu","true"
"equipment_fault_pmu",".\data\public_dataset_archives\public_datasets_equipment_fault_pmu.tar.gz.part007","20971520","20","data\public_datasets\equipment_fault_pmu","true"
"equipment_fault_pmu",".\data\public_dataset_archives\public_datasets_equipment_fault_pmu.tar.gz.part008","20971520","20","data\public_datasets\equipment_fault_pmu","true"
"equipment_fault_pmu",".\data\public_dataset_archives\public_datasets_equipment_fault_pmu.tar.gz.part009","20971520","20","data\public_datasets\equipment_fault_pmu","true"
"equipment_fault_pmu",".\data\public_dataset_archives\public_datasets_equipment_fault_pmu.tar.gz.part010","20971520","20","data\public_datasets\equipment_fault_pmu","true"
"equipment_fault_pmu",".\data\public_dataset_archives\public_datasets_equipment_fault_pmu.tar.gz.part011","20971520","20","data\public_datasets\equipment_fault_pmu","true"
"equipment_fault_pmu",".\data\public_dataset_archives\public_datasets_equipment_fault_pmu.tar.gz.part012","20971520","20","data\public_datasets\equipment_fault_pmu","true"
"equipment_fault_pmu",".\data\public_dataset_archives\public_datasets_equipment_fault_pmu.tar.gz.part013","1725159","1.65","data\public_datasets\equipment_fault_pmu","true"
"grid_cases",".\data\public_dataset_archives\public_datasets_grid_cases.tar.gz.part001","20971520","20","data\public_datasets\grid_cases","true"
"grid_cases",".\data\public_dataset_archives\public_datasets_grid_cases.tar.gz.part002","20971520","20","data\public_datasets\grid_cases","true"
"grid_cases",".\data\public_dataset_archives\public_datasets_grid_cases.tar.gz.part003","20971520","20","data\public_datasets\grid_cases","true"
"grid_cases",".\data\public_dataset_archives\public_datasets_grid_cases.tar.gz.part004","20971520","20","data\public_datasets\grid_cases","true"
"grid_cases",".\data\public_dataset_archives\public_datasets_grid_cases.tar.gz.part005","20971520","20","data\public_datasets\grid_cases","true"
"grid_cases",".\data\public_dataset_archives\public_datasets_grid_cases.tar.gz.part006","20971520","20","data\public_datasets\grid_cases","true"
"grid_cases",".\data\public_dataset_archives\public_datasets_grid_cases.tar.gz.part007","20971520","20","data\public_datasets\grid_cases","true"
"grid_cases",".\data\public_dataset_archives\public_datasets_grid_cases.tar.gz.part008","20971520","20","data\public_datasets\grid_cases","true"
"grid_cases",".\data\public_dataset_archives\public_datasets_grid_cases.tar.gz.part009","16868935","16.09","data\public_datasets\grid_cases","true"
"manifests",".\data\public_dataset_archives\public_datasets_manifests.tar.gz","1862","0","data\public_datasets\manifests","false"
"opf_benchmarks",".\data\public_dataset_archives\public_datasets_opf_benchmarks.tar.gz.part001","20971520","20","data\public_datasets\opf_benchmarks","true"
"opf_benchmarks",".\data\public_dataset_archives\public_datasets_opf_benchmarks.tar.gz.part002","20971520","20","data\public_datasets\opf_benchmarks","true"
"opf_benchmarks",".\data\public_dataset_archives\public_datasets_opf_benchmarks.tar.gz.part003","20971520","20","data\public_datasets\opf_benchmarks","true"
"opf_benchmarks",".\data\public_dataset_archives\public_datasets_opf_benchmarks.tar.gz.part004","20971520","20","data\public_datasets\opf_benchmarks","true"
"opf_benchmarks",".\data\public_dataset_archives\public_datasets_opf_benchmarks.tar.gz.part005","12629537","12.04","data\public_datasets\opf_benchmarks","true"
"production_cost",".\data\public_dataset_archives\public_datasets_production_cost.tar.gz.part001","20971520","20","data\public_datasets\production_cost","true"
"production_cost",".\data\public_dataset_archives\public_datasets_production_cost.tar.gz.part002","20971520","20","data\public_datasets\production_cost","true"
"production_cost",".\data\public_dataset_archives\public_datasets_production_cost.tar.gz.part003","20971520","20","data\public_datasets\production_cost","true"
"production_cost",".\data\public_dataset_archives\public_datasets_production_cost.tar.gz.part004","20971520","20","data\public_datasets\production_cost","true"
"production_cost",".\data\public_dataset_archives\public_datasets_production_cost.tar.gz.part005","20971520","20","data\public_datasets\production_cost","true"
"production_cost",".\data\public_dataset_archives\public_datasets_production_cost.tar.gz.part006","20971520","20","data\public_datasets\production_cost","true"
"production_cost",".\data\public_dataset_archives\public_datasets_production_cost.tar.gz.part007","20971520","20","data\public_datasets\production_cost","true"
"production_cost",".\data\public_dataset_archives\public_datasets_production_cost.tar.gz.part008","20245065","19.31","data\public_datasets\production_cost","true"
"reliability_reports",".\data\public_dataset_archives\public_datasets_reliability_reports.tar.gz.part001","20971520","20","data\public_datasets\reliability_reports","true"
"reliability_reports",".\data\public_dataset_archives\public_datasets_reliability_reports.tar.gz.part002","20971520","20","data\public_datasets\reliability_reports","true"
"reliability_reports",".\data\public_dataset_archives\public_datasets_reliability_reports.tar.gz.part003","20971520","20","data\public_datasets\reliability_reports","true"
"reliability_reports",".\data\public_dataset_archives\public_datasets_reliability_reports.tar.gz.part004","20971520","20","data\public_datasets\reliability_reports","true"
"reliability_reports",".\data\public_dataset_archives\public_datasets_reliability_reports.tar.gz.part005","20971520","20","data\public_datasets\reliability_reports","true"
"reliability_reports",".\data\public_dataset_archives\public_datasets_reliability_reports.tar.gz.part006","20971520","20","data\public_datasets\reliability_reports","true"
"reliability_reports",".\data\public_dataset_archives\public_datasets_reliability_reports.tar.gz.part007","20971520","20","data\public_datasets\reliability_reports","true"
"reliability_reports",".\data\public_dataset_archives\public_datasets_reliability_reports.tar.gz.part008","17669121","16.85","data\public_datasets\reliability_reports","true"
"renewable_weather",".\data\public_dataset_archives\public_datasets_renewable_weather.tar.gz","2141948","2.04","data\public_datasets\renewable_weather","false"
"rl_control",".\data\public_dataset_archives\public_datasets_rl_control.tar.gz","14582016","13.91","data\public_datasets\rl_control","false"
"time_series_market",".\data\public_dataset_archives\public_datasets_time_series_market.tar.gz.part001","20971520","20","data\public_datasets\time_series_market","true"
"time_series_market",".\data\public_dataset_archives\public_datasets_time_series_market.tar.gz.part002","16259195","15.51","data\public_datasets\time_series_market","true"
