doc_id,title,source_page,url,local_pdf,status
nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,nerc_event_analysis_reports.html,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf,raw_pdfs/nerc_001_november_13_wyoming_disturbance_report.pdf,downloaded
nerc_002_inverter_based_resource_disturbances_in_th,Inverter-based Resource Disturbances in the Western Interconnection,nerc_event_analysis_reports.html,https://www.nerc.com/globalassets/our-work/reports/event-reports/ibr_disturbances_wi_20251105.pdf,raw_pdfs/nerc_002_inverter_based_resource_disturbances_in_th.pdf,downloaded
nerc_003_january_2025_arctic_events_a_system_perfor,January 2025 Arctic Events: A System Performance Review,nerc_event_analysis_reports.html,https://www.nerc.com/globalassets/programs/event-analysis/25_arctic_storms_performance_review_0416.pdf,raw_pdfs/nerc_003_january_2025_arctic_events_a_system_perfor.pdf,downloaded
nerc_004_march_april_2022_california_battery_energy,March/April 2022 California Battery Energy Storage System Disturbances,nerc_event_analysis_reports.html,https://www.nerc.com/globalassets/who-we-are/standing-committees/rstc/nerc_bess_disturbance_report_2023.pdf,raw_pdfs/nerc_004_march_april_2022_california_battery_energy.pdf,downloaded
nerc_005_nerc_2023_southwest_ut_disturbance_report,NERC 2023 Southwest UT Disturbance Report,nerc_event_analysis_reports.html,https://www.nerc.com/globalassets/our-work/reports/event-reports/nerc_2023_southwest_ut_disturbance_report.pdf,raw_pdfs/nerc_005_nerc_2023_southwest_ut_disturbance_report.pdf,downloaded
nerc_006_june_2022_odessa_disturbance_report,June 2022 Odessa Disturbance Report,nerc_event_analysis_reports.html,https://www.nerc.com/globalassets/our-work/white-papers/nerc_2022_odessa_disturbance_report-1.pdf,raw_pdfs/nerc_006_june_2022_odessa_disturbance_report.pdf,downloaded
nerc_007_panhandle_wind_disturbance_report,Panhandle Wind Disturbance Report,nerc_event_analysis_reports.html,https://www.nerc.com/globalassets/our-work/reports/event-reports/panhandle_wind_disturbance_report.pdf,raw_pdfs/nerc_007_panhandle_wind_disturbance_report.pdf,downloaded
nerc_008_nerc_2021_california_solar_pv_disturbances,NERC 2021 California Solar PV Disturbances Report,nerc_event_analysis_reports.html,https://www.nerc.com/globalassets/our-work/reports/event-reports/nerc_2021_california_solar_pv_disturbances_report.pdf,raw_pdfs/nerc_008_nerc_2021_california_solar_pv_disturbances.pdf,downloaded
nerc_009_odessa_disturbance_report,Odessa Disturbance Report,nerc_event_analysis_reports.html,https://www.nerc.com/globalassets/our-work/reports/event-reports/odessa_disturbance_report.pdf,raw_pdfs/nerc_009_odessa_disturbance_report.pdf,downloaded
nerc_010_february_2021_cold_weather_report,February 2021 Cold Weather Report,nerc_event_analysis_reports.html,https://www.nerc.com/globalassets/our-work/reports/event-reports/february_2021_cold_weather_report.pdf,raw_pdfs/nerc_010_february_2021_cold_weather_report.pdf,downloaded
nerc_011_san_fernando_disturbance_report,San Fernando Disturbance Report,nerc_event_analysis_reports.html,https://www.nerc.com/globalassets/our-work/reports/event-reports/san_fernando_disturbance_report.pdf,raw_pdfs/nerc_011_san_fernando_disturbance_report.pdf,downloaded
nerc_012_january_11_oscillation_event_report,January 11 Oscillation Event Report,nerc_event_analysis_reports.html,https://www.nerc.com/globalassets/our-work/reports/event-reports/january_11_oscillation_event_report.pdf,raw_pdfs/nerc_012_january_11_oscillation_event_report.pdf,downloaded
nerc_013_south_central_cold_weather_event_ferc_nerc,South Central Cold Weather Event FERC-NERC Report,nerc_event_analysis_reports.html,https://www.nerc.com/globalassets/our-work/reports/event-reports/south_central_cold_weather_event_ferc-nerc-report_20190718.pdf,raw_pdfs/nerc_013_south_central_cold_weather_event_ferc_nerc.pdf,downloaded
nerc_014_april_may_2018_solar_pv_disturbance_report,April May 2018 Solar PV Disturbance Report,nerc_event_analysis_reports.html,https://www.nerc.com/globalassets/our-work/reports/event-reports/april_may_2018_solar_pv_disturbance_report.pdf,raw_pdfs/nerc_014_april_may_2018_solar_pv_disturbance_report.pdf,downloaded
nerc_015_polar_vortex_review,Polar Vortex Review,nerc_event_analysis_reports.html,https://www.nerc.com/globalassets/our-work/reports/event-reports/polar_vortex_review_29_sept_2014_final.pdf,raw_pdfs/nerc_015_polar_vortex_review.pdf,downloaded
nerc_016_september_2017_hurricane_irma_event_analys,September 2017 Hurricane Irma Event Analysis Report,nerc_event_analysis_reports.html,https://www.nerc.com/globalassets/our-work/reports/event-reports/september-2017-hurricane-irma-event-analysis-report.pdf,raw_pdfs/nerc_016_september_2017_hurricane_irma_event_analys.pdf,downloaded
nerc_017_august_2017_hurricane_harvey_event_analysi,August 2017 Hurricane Harvey Event Analysis Report,nerc_event_analysis_reports.html,https://www.nerc.com/globalassets/our-work/reports/event-reports/nerc_hurricane_harvey_ear_20180309.pdf,raw_pdfs/nerc_017_august_2017_hurricane_harvey_event_analysi.pdf,downloaded
nerc_018_900_mw_solar_photovoltaic_resource_interru,900 MW Solar Photovoltaic Resource Interruption Disturbance Report,nerc_event_analysis_reports.html,https://www.nerc.com/globalassets/our-work/reports/event-reports/900-mw-solar-photovoltaic-resource-interruption-disturbance-report.pdf,raw_pdfs/nerc_018_900_mw_solar_photovoltaic_resource_interru.pdf,downloaded
nerc_019_1200_mw_fault_induced_solar_photovoltaic_r,1200 MW Fault Induced Solar Photovoltaic Resource Interruption Disturbance Report,nerc_event_analysis_reports.html,https://www.nerc.com/globalassets/our-work/reports/event-reports/1200_mw_fault_induced_solar_photovoltaic_resource_interruption_final.pdf,raw_pdfs/nerc_019_1200_mw_fault_induced_solar_photovoltaic_r.pdf,downloaded
nerc_020_april_2015_washington_d_c_area_low_voltage,"April 2015 Washington, D.C. Area Low Voltage Disturbance Event",nerc_event_analysis_reports.html,https://www.nerc.com/globalassets/our-work/reports/event-reports/washington_dc_area_low-voltage_disturbance_event_of_april_7_2015_final.pdf,raw_pdfs/nerc_020_april_2015_washington_d_c_area_low_voltage.pdf,downloaded
nerc_021_hurricane_sandy_event_analysis_report,Hurricane Sandy Event Analysis Report,nerc_event_analysis_reports.html,https://www.nerc.com/globalassets/our-work/reports/event-reports/hurricane_sandy_ear_20140312_final.pdf,raw_pdfs/nerc_021_hurricane_sandy_event_analysis_report.pdf,downloaded
nerc_022_ferc_nerc_staff_report_on_the_october_29_3,"FERC/NERC Staff Report on the October 29-30, 2011 Northeast Snowstorm Event",nerc_event_analysis_reports.html,https://www.nerc.com/globalassets/our-work/reports/event-reports/ne_outage_report-05-31-12.pdf,raw_pdfs/nerc_022_ferc_nerc_staff_report_on_the_october_29_3.pdf,downloaded
nerc_023_arizona_southern_california_outages_causes,Arizona - Southern California Outages - Causes and Recommendations,nerc_event_analysis_reports.html,https://www.nerc.com/globalassets/our-work/reports/event-reports/azoutage_report_01may12.pdf,raw_pdfs/nerc_023_arizona_southern_california_outages_causes.pdf,downloaded
nerc_024_sw_cold_weather_event_final,SW Cold Weather Event Final,nerc_event_analysis_reports.html,https://www.nerc.com/globalassets/our-work/reports/event-reports/sw_cold_weather_event_final.pdf,raw_pdfs/nerc_024_sw_cold_weather_event_final.pdf,downloaded
