upstream_seed,downstream_seed,mode,k,n,mean_f1
3101,2026,bm25,1,1500,0.6993632563514915
3101,2026,bm25,3,1500,0.4864023951739122
3101,2026,bm25,5,1500,0.4109063483357601
3101,2026,bm25,10,1500,0.3529582574411935
3101,2026,full,1,1500,0.6668079172461525
3101,2026,full,3,1500,0.48866075361973194
3101,2026,full,5,1500,0.41239581681934623
3101,2026,full,10,1500,0.35601514473003126
3101,2026,no_role,1,1500,0.6721703030085384
3101,2026,no_role,3,1500,0.484040858699837
3101,2026,no_role,5,1500,0.4124698094933389
3101,2026,no_role,10,1500,0.35624390526544814
3101,2027,bm25,1,1500,0.6993632563514915
3101,2027,bm25,3,1500,0.4864023951739122
3101,2027,bm25,5,1500,0.4109063483357601
3101,2027,bm25,10,1500,0.3529582574411935
3101,2027,full,1,1500,0.671849499737735
3101,2027,full,3,1500,0.49331958792268393
3101,2027,full,5,1500,0.41483106860459806
3101,2027,full,10,1500,0.3558463157227812
3101,2027,no_role,1,1500,0.6721703030085384
3101,2027,no_role,3,1500,0.484040858699837
3101,2027,no_role,5,1500,0.4124698094933389
3101,2027,no_role,10,1500,0.35624390526544814
3101,2028,bm25,1,1500,0.6993632563514915
3101,2028,bm25,3,1500,0.4864023951739122
3101,2028,bm25,5,1500,0.4109063483357601
3101,2028,bm25,10,1500,0.3529582574411935
3101,2028,full,1,1500,0.6667883886266239
3101,2028,full,3,1500,0.49126906382804214
3101,2028,full,5,1500,0.4158872161607456
3101,2028,full,10,1500,0.35643426967915626
3101,2028,no_role,1,1500,0.6721703030085384
3101,2028,no_role,3,1500,0.484040858699837
3101,2028,no_role,5,1500,0.4124698094933389
3101,2028,no_role,10,1500,0.35624390526544814
3101,2029,bm25,1,1500,0.6993632563514915
3101,2029,bm25,3,1500,0.4864023951739122
3101,2029,bm25,5,1500,0.4109063483357601
3101,2029,bm25,10,1500,0.3529582574411935
3101,2029,full,1,1500,0.672735117823353
3101,2029,full,3,1500,0.4859784729374512
3101,2029,full,5,1500,0.4138582173817469
3101,2029,full,10,1500,0.3560644307842601
3101,2029,no_role,1,1500,0.6721703030085384
3101,2029,no_role,3,1500,0.484040858699837
3101,2029,no_role,5,1500,0.4124698094933389
3101,2029,no_role,10,1500,0.35624390526544814
3101,2030,bm25,1,1500,0.6993632563514915
3101,2030,bm25,3,1500,0.4864023951739122
3101,2030,bm25,5,1500,0.4109063483357601
3101,2030,bm25,10,1500,0.3529582574411935
3101,2030,full,1,1500,0.6647439441821795
3101,2030,full,3,1500,0.4907361731892691
3101,2030,full,5,1500,0.4148155766891061
3101,2030,full,10,1500,0.35636916879563435
3101,2030,no_role,1,1500,0.6721703030085384
3101,2030,no_role,3,1500,0.484040858699837
3101,2030,no_role,5,1500,0.4124698094933389
3101,2030,no_role,10,1500,0.35624390526544814
3102,2026,bm25,1,1500,0.6993632563514915
3102,2026,bm25,3,1500,0.4864023951739122
3102,2026,bm25,5,1500,0.4109063483357601
3102,2026,bm25,10,1500,0.3529582574411935
3102,2026,full,1,1500,0.6587237421619775
3102,2026,full,3,1500,0.4911132640722424
3102,2026,full,5,1500,0.41484488311253015
3102,2026,full,10,1500,0.3561116478565344
3102,2026,no_role,1,1500,0.6721703030085384
3102,2026,no_role,3,1500,0.484040858699837
3102,2026,no_role,5,1500,0.4124698094933389
3102,2026,no_role,10,1500,0.35624390526544814
3102,2027,bm25,1,1500,0.6993632563514915
3102,2027,bm25,3,1500,0.4864023951739122
3102,2027,bm25,5,1500,0.4109063483357601
3102,2027,bm25,10,1500,0.3529582574411935
3102,2027,full,1,1500,0.6698050552932906
3102,2027,full,3,1500,0.4920086599617559
3102,2027,full,5,1500,0.4151287455463926
3102,2027,full,10,1500,0.3560222952987607
3102,2027,no_role,1,1500,0.6721703030085384
3102,2027,no_role,3,1500,0.484040858699837
3102,2027,no_role,5,1500,0.4124698094933389
3102,2027,no_role,10,1500,0.35624390526544814
3102,2028,bm25,1,1500,0.6993632563514915
3102,2028,bm25,3,1500,0.4864023951739122
3102,2028,bm25,5,1500,0.4109063483357601
