"Path","SHA256","Bytes"
"README.md","C60E5C174D9FBB14161338C0D2FDBAB642D47500BD54DA70A655EBE41B9E382F","984"
"README_THREE_ROUND_FINAL_2026-08-09.md","B258207BA3E386701066782C1A16AA8D8909BEF6A50DEDDDB7D5C40444F906B0","753"
"final_pdf\MA_SQLGrid_Applied_Sciences.pdf","A8CB4EC76F734C7901B92D55339F7AA7C23BA440EBE3CA77E46E1B812CE6E489","717322"
"final_pdf\MA_SQLGrid_Applied_Sciences_ThreeRound_Final.pdf","A8CB4EC76F734C7901B92D55339F7AA7C23BA440EBE3CA77E46E1B812CE6E489","717322"
"latex_source\build.ps1","ACEE2F52233E71C16DC90300E7058031B739CA0DDBF1FCCE204F7663B15A2165","1852"
"latex_source\paper_applsci.tex","F0F769A079E2530AC63C7C933C2AF3DC4541D9084983A2F69D43C55906F3C994","104628"
"latex_source\README.md","8F1653F172E886E238ADB1386EACB5B735FE8FD216FE041EE455B63E41BCD7F3","2263"
"latex_source\references_verified.bib","11EB09627DF89EA16D1025D643F5D0116887015726AB988A00178A8D178C8AD1","17728"
"latex_source\$out\paper_applsci.aux","83F3E144001E7E048F5383BA7AFC016BA4A96F7351FCBAC9C92EC49D3A7113E3","17007"
"latex_source\$out\paper_applsci.log","72A39142B8B6E0C6E5D1E55E46BED6EFC573E19AD9A03F0B85B285509C2E60E0","64280"
"latex_source\$out\paper_applsci.out","C0D4BEB5A28BF0832D85F9D6A9AE18FA3E0B438C2194FA0308E78F02398E1786","6510"
"latex_source\$out\paper_applsci.pdf","2313F205416152FF6B271C5F52F329CBC1B4102A2A4F4607AE1D147920FCA87A","438143"
"latex_source\Definitions\journalnames.tex","30A7629ADFB074E62683AA3ACFFE58C032B81B0D090C62F9AD5A6EA7344E7A09","124319"
"latex_source\Definitions\logo-mdpi-eps-converted-to.pdf","AFB03204053EC21DAE6272AF219057655C5F9532486B437A3A9449053718CD22","13253"
"latex_source\Definitions\logo-mdpi.eps","F02D31469C6B2666C9DE2DA8D8731773BCE3751D2FA99A27FF4BCF61A106CDCF","563678"
"latex_source\Definitions\logo-orcid.pdf","0558A0097DC4D1FFE3F4A1B3C9B4B98C6E568EAC7D7439D447CA56ED1A8EC759","12671"
"latex_source\Definitions\logo-updates.eps","71AD8B00BCCA718B62F3286AF02EA56678E8199B5843D7ED4FDC86BD969C2809","287998"
"latex_source\Definitions\mdpi.bst","3B747EEE144173C46A43562EAD905C26322C7CB394E350A925D36DCF63884680","23683"
"latex_source\Definitions\mdpi.cls","934058105B2A8D87CFA5A8E4D888F01E73FD48CFC80D8C2AC4C45985A2B71D5C","62606"
"latex_source\Definitions\mdpi_apacite.bst","C7FFFE0231922E5521DC360889FAFE941EE26D154C1CE4E167E4EC9F2D13498F","138426"
