backbone,condition,endpoint,correct,n,rate,status
qwen,V0_NoValueEvidence,first_correct,83,170,0.48823529411764705,descriptive; oracle endpoint is gold-only upper bound
qwen,V0_NoValueEvidence,validator_selected_correct,83,170,0.48823529411764705,descriptive; oracle endpoint is gold-only upper bound
qwen,V0_NoValueEvidence,oracle_at_3_correct_diagnostic_only,100,170,0.5882352941176471,descriptive; oracle endpoint is gold-only upper bound
qwen,V1_WithValueEvidence,first_correct,105,180,0.5833333333333334,descriptive; oracle endpoint is gold-only upper bound
qwen,V1_WithValueEvidence,validator_selected_correct,112,180,0.6222222222222222,descriptive; oracle endpoint is gold-only upper bound
qwen,V1_WithValueEvidence,oracle_at_3_correct_diagnostic_only,115,180,0.6388888888888888,descriptive; oracle endpoint is gold-only upper bound
granite,V0_NoValueEvidence,first_correct,69,170,0.40588235294117647,descriptive; oracle endpoint is gold-only upper bound
granite,V0_NoValueEvidence,validator_selected_correct,69,170,0.40588235294117647,descriptive; oracle endpoint is gold-only upper bound
granite,V0_NoValueEvidence,oracle_at_3_correct_diagnostic_only,72,170,0.4235294117647059,descriptive; oracle endpoint is gold-only upper bound
granite,V1_WithValueEvidence,first_correct,71,180,0.39444444444444443,descriptive; oracle endpoint is gold-only upper bound
granite,V1_WithValueEvidence,validator_selected_correct,81,180,0.45,descriptive; oracle endpoint is gold-only upper bound
granite,V1_WithValueEvidence,oracle_at_3_correct_diagnostic_only,84,180,0.4666666666666667,descriptive; oracle endpoint is gold-only upper bound
