seed,protocol,k,f1,bm25_f1,delta_vs_bm25
2026,oracle-label,1,0.6655904088286442,0.6993632563514915,-0.03377284752284737
2027,oracle-label,1,0.6743949542831895,0.6993632563514915,-0.02496830206830203
2028,oracle-label,1,0.6687217219599573,0.6993632563514915,-0.030641534391534275
2029,oracle-label,1,0.6769883886266239,0.6993632563514915,-0.02237486772486763
2030,oracle-label,1,0.6668272775155129,0.6993632563514915,-0.032535978835978696
2026,oracle-label,3,0.4910269392859176,0.4864023951739122,0.004624544112005413
2027,oracle-label,3,0.4938514259104042,0.4864023951739122,0.007449030736492002
2028,oracle-label,3,0.49169115655013484,0.4864023951739122,0.005288761376222639
2029,oracle-label,3,0.4945255147844931,0.4864023951739122,0.008123119610580876
2030,oracle-label,3,0.49199014144323744,0.4864023951739122,0.005587746269325233
2026,oracle-label,5,0.4147522905199376,0.4109063483357601,0.0038459421841774977
2027,oracle-label,5,0.41727784220137165,0.4109063483357601,0.006371493865611533
2028,oracle-label,5,0.4156905485581956,0.4109063483357601,0.004784200222435475
2029,oracle-label,5,0.41596654293419005,0.4109063483357601,0.005060194598429935
2030,oracle-label,5,0.41651765979118927,0.4109063483357601,0.0056113114554291466
2026,oracle-label,10,0.35614880816211575,0.3529582574411935,0.003190550720922225
2027,oracle-label,10,0.35635816060304715,0.3529582574411935,0.0033999031618536235
2028,oracle-label,10,0.3562910783675438,0.3529582574411935,0.0033328209263502884
2029,oracle-label,10,0.3562023620156696,0.3529582574411935,0.0032441045744761032
2030,oracle-label,10,0.3563856886305751,0.3529582574411935,0.0034274311893816023
2026,predicted-label,1,0.6612449542831896,0.6993632563514915,-0.03811830206830191
2027,predicted-label,1,0.6733217219599573,0.6993632563514915,-0.026041534391534227
2028,predicted-label,1,0.6677161664044017,0.6993632563514915,-0.03164708994708987
2029,predicted-label,1,0.6735560653943007,0.6993632563514915,-0.025807190957190862
2030,predicted-label,1,0.6679161664044018,0.6993632563514915,-0.03144708994708978
2026,predicted-label,3,0.4896784914374697,0.4864023951739122,0.0032760962635575153
2027,predicted-label,3,0.4950133454723238,0.4864023951739122,0.00861095029841158
2028,predicted-label,3,0.4902699925289709,0.4864023951739122,0.003867597355058705
2029,predicted-label,3,0.49245906456804295,0.4864023951739122,0.006056669394130743
2030,predicted-label,3,0.4926645387235171,0.4864023951739122,0.006262143549604915
2026,predicted-label,5,0.4147310931987403,0.4109063483357601,0.0038247448629801784
2027,predicted-label,5,0.41537394054746996,0.4109063483357601,0.0044675922117098366
2028,predicted-label,5,0.4160025217701689,0.4109063483357601,0.005096173434408768
2029,predicted-label,5,0.4146152534829006,0.4109063483357601,0.0037089051471405066
2030,predicted-label,5,0.4140934839670134,0.4109063483357601,0.0031871356312532795
2026,predicted-label,10,0.3563189738638604,0.3529582574411935,0.0033607164226668873
2027,predicted-label,10,0.35626731694378244,0.3529582574411935,0.003309059502588918
2028,predicted-label,10,0.3559513958278613,0.3529582574411935,0.0029931383866677597
2029,predicted-label,10,0.3563426871875737,0.3529582574411935,0.003384429746380202
2030,predicted-label,10,0.35662062104708653,0.3529582574411935,0.0036623636058930042
2026,label-blind,1,0.6667217219599573,0.6993632563514915,-0.03264153439153428
2027,label-blind,1,0.666378287616523,0.6993632563514915,-0.03298496873496859
2028,label-blind,1,0.6698550552932906,0.6993632563514915,-0.029508201058200956
2029,label-blind,1,0.6655116209498563,0.6993632563514915,-0.03385163540163527
2030,label-blind,1,0.6700272775155128,0.6993632563514915,-0.029335978835978715
2026,label-blind,3,0.4913884777474561,0.4864023951739122,0.004986082573543882
2027,label-blind,3,0.4923055001585962,0.4864023951739122,0.005903104984683993
2028,label-blind,3,0.48835205121102954,0.4864023951739122,0.001949656037117331
2029,label-blind,3,0.48966144552042384,0.4864023951739122,0.0032590503465116383
2030,label-blind,3,0.4935204013793797,0.4864023951739122,0.007118006205467486
2026,label-blind,5,0.4151279185955657,0.4109063483357601,0.004221570259805574
2027,label-blind,5,0.41565855832620546,0.4109063483357601,0.004752209990445344
2028,label-blind,5,0.41551888079241023,0.4109063483357601,0.004612532456650109
2029,label-blind,5,0.4146854179589474,0.4109063483357601,0.0037790696231873033
2030,label-blind,5,0.41615664488017434,0.4109063483357601,0.0052502965444142236
2026,label-blind,10,0.35593325957814614,0.3529582574411935,0.0029750021369526203
2027,label-blind,10,0.3563079281843936,0.3529582574411935,0.003349670743200084
2028,label-blind,10,0.35582881439370095,0.3529582574411935,0.0028705569525074304
2029,label-blind,10,0.35642051306539957,0.3529582574411935,0.0034622556242060454
2030,label-blind,10,0.3557411597676252,0.3529582574411935,0.002782902326431691
