condition,relevance_position,role_score,role_group_reservation,graph,path_deletion,redundancy_penalty,purpose
AB-0,on,off,off,none,off,off,minimal extractive baseline
AB-1,on,on,off,none,off,off,role-score marginal contribution
AB-2,on,on,on,none,off,off,role-reservation marginal contribution
AB-3,on,on,on,typed,off,off,typed-graph salience marginal contribution
AB-4,on,on,on,typed,on,off,path contribution without redundancy
AB-5,on,on,on,typed,on,on,normalized full system
AB-6,on,on,on,typed,off,on,clean normalized no-path comparator
RP-00,on,on,off,typed,off,on,reservation-path factorial baseline
RP-10,on,on,on,typed,off,on,reservation main effect
RP-01,on,on,off,typed,on,on,path main effect
RP-11,on,on,on,typed,on,on,joint effect and interaction
G-U,on,on,on,untyped,off,on,connectivity without edge types
G-T,on,on,on,typed,off,on,net contribution of edge types
