doc_id,report_series_id,budget,variant,selected_sentence_ids,rouge1_f1,rouge2_f1,rougeL_f1,redundancy,overlap_with_full,overlap_with_historical_strict,normalized_vs_strict_changed
nerc_001_november_13_wyoming_disturbance_report,nerc_001_november_13_wyoming_disturbance_report,5,full,s00055|s00418|s00446|s00451|s00582,0.1692307692307692,0.041469194312796206,0.09585798816568047,0.15666467538172016,1.0,0.8,0
nerc_001_november_13_wyoming_disturbance_report,nerc_001_november_13_wyoming_disturbance_report,5,historical_strict_no_path,s00055|s00418|s00451|s00523|s00582,0.17314487632508835,0.04363207547169811,0.09540636042402827,0.11229431911798964,0.8,1.0,0
nerc_001_november_13_wyoming_disturbance_report,nerc_001_november_13_wyoming_disturbance_report,5,normalized_no_path,s00055|s00418|s00451|s00523|s00582,0.17314487632508835,0.04363207547169811,0.09540636042402827,0.11229431911798964,0.8,1.0,0
nerc_001_november_13_wyoming_disturbance_report,nerc_001_november_13_wyoming_disturbance_report,10,full,s00055|s00127|s00229|s00395|s00416|s00418|s00446|s00451|s00523|s00582,0.3161688980432544,0.0979381443298969,0.12255406797116375,0.10187171759898804,1.0,0.9,1
nerc_001_november_13_wyoming_disturbance_report,nerc_001_november_13_wyoming_disturbance_report,10,historical_strict_no_path,s00048|s00055|s00127|s00229|s00395|s00416|s00418|s00451|s00523|s00582,0.3181818181818182,0.10237849017580145,0.12499999999999997,0.08636719864736474,0.9,1.0,1
nerc_001_november_13_wyoming_disturbance_report,nerc_001_november_13_wyoming_disturbance_report,10,normalized_no_path,s00048|s00055|s00127|s00229|s00395|s00418|s00451|s00467|s00523|s00582,0.3201641867624423,0.09758602978941962,0.12621857362750127,0.09442277570411302,0.8,0.9,1
nerc_002_inverter_based_resource_disturbances_in_th,nerc_002_inverter_based_resource_disturbances_in_th,5,full,s00002|s00006|s00024|s00029|s00049,0.34850863422291994,0.08503937007874016,0.1664050235478807,0.051348245469295714,1.0,0.6,0
nerc_002_inverter_based_resource_disturbances_in_th,nerc_002_inverter_based_resource_disturbances_in_th,5,historical_strict_no_path,s00002|s00006|s00011|s00049|s00053,0.3942857142857142,0.09169054441260746,0.16,0.056807862289219135,0.6,1.0,0
nerc_002_inverter_based_resource_disturbances_in_th,nerc_002_inverter_based_resource_disturbances_in_th,5,normalized_no_path,s00002|s00006|s00011|s00049|s00053,0.3942857142857142,0.09169054441260746,0.16,0.056807862289219135,0.6,1.0,0
nerc_002_inverter_based_resource_disturbances_in_th,nerc_002_inverter_based_resource_disturbances_in_th,10,full,s00002|s00006|s00012|s00024|s00029|s00048|s00049|s00053|s00065|s00068,0.47975077881619943,0.0915712799167534,0.1703011422637591,0.042255279590253284,1.0,0.9,1
nerc_002_inverter_based_resource_disturbances_in_th,nerc_002_inverter_based_resource_disturbances_in_th,10,historical_strict_no_path,s00002|s00006|s00011|s00012|s00029|s00048|s00049|s00053|s00065|s00068,0.47826086956521735,0.08713692946058092,0.17184265010351965,0.04186101761294135,0.9,1.0,1
nerc_002_inverter_based_resource_disturbances_in_th,nerc_002_inverter_based_resource_disturbances_in_th,10,normalized_no_path,s00002|s00006|s00011|s00012|s00029|s00048|s00049|s00053|s00058|s00065,0.4921793534932221,0.0877742946708464,0.16475495307612095,0.0482228861978787,0.8,0.9,1
