doc_id,report_series_id,candidate_count,candidates_over_256,candidates_over_512,mean_cosine_256_vs_512_all,minimum_cosine_256_vs_512_all,mean_cosine_256_vs_chunk_all,minimum_cosine_256_vs_chunk_all,mean_cosine_256_vs_512_over256,mean_cosine_256_vs_chunk_over256
nerc_001_november_13_wyoming_disturbance_report,nerc_001_november_13_wyoming_disturbance_report,598,0,0,1.0,0.9999997615814209,1.0,0.9999997615814209,,
nerc_002_inverter_based_resource_disturbances_in_th,nerc_002_inverter_based_resource_disturbances_in_th,78,0,0,1.0,0.9999998807907104,1.0,0.9999998807907104,,
nerc_004_march_april_2022_california_battery_energy,nerc_004_march_april_2022_california_battery_energy,147,2,0,0.9996637105941772,0.9549396634101868,0.9970994591712952,0.7015808820724487,0.9752774238586426,0.786808967590332
nerc_005_nerc_2023_southwest_ut_disturbance_report,nerc_005_nerc_2023_southwest_ut_disturbance_report,115,0,0,1.0,0.9999998211860657,1.0,0.9999998211860657,,
nerc_006_june_2022_odessa_disturbance_report,series_odessa,576,10,1,0.9988337755203247,0.7344880700111389,0.9964019060134888,0.7095851898193359,0.9328235387802124,0.7927481532096863
nerc_009_odessa_disturbance_report,series_odessa,711,0,0,1.0,0.9999998211860657,1.0,0.9999998211860657,,
nerc_011_san_fernando_disturbance_report,nerc_011_san_fernando_disturbance_report,274,0,0,1.0,0.9999998211860657,1.0,0.9999998211860657,,
nerc_012_january_11_oscillation_event_report,nerc_012_january_11_oscillation_event_report,142,0,0,1.0,0.9999998211860657,1.0,0.9999998211860657,,
nerc_015_polar_vortex_review,nerc_015_polar_vortex_review,423,1,0,0.9999399781227112,0.9746273159980774,0.9997626543045044,0.8996091485023499,0.9746273159980774,0.8996091485023499
nerc_030_winter_storm_elliott_recommendation_3_blac,series_winter_storm_elliott,397,2,0,0.99989253282547,0.95911705493927,0.9989074468612671,0.7323718667030334,0.9786626100540161,0.7831294536590576
nerc_032_winter_storm_elliott_recommendation_11_eip,series_winter_storm_elliott,51,0,0,1.0,0.9999998807907104,1.0,0.9999998807907104,,
nerc_036_2022_state_of_reliability_report,series_state_of_reliability,660,2,0,0.9998188614845276,0.8896546363830566,0.999653697013855,0.8452208042144775,0.9402166604995728,0.8857070803642273
nerc_040_2018_state_of_reliability_report,series_state_of_reliability,1772,3,0,0.9999819397926331,0.9756858348846436,0.999717652797699,0.7842921614646912,0.9893149733543396,0.8332148194313049
nerc_041_2017_state_of_reliability_report,series_state_of_reliability,1898,6,0,0.9998732805252075,0.8870093822479248,0.9995318651199341,0.7508867979049683,0.9599272608757019,0.8519180417060852
nerc_042_2016_state_of_reliability_report,series_state_of_reliability,1662,3,1,0.9998764395713806,0.8396058082580566,0.9997308850288391,0.8249212503433228,0.9315729141235352,0.8509156107902527
