candidate_min_page,detected_tables,doc_id,dropped_blank_block,dropped_duplicate_unit,dropped_margin_block,dropped_recurrent_block,dropped_short_unit,dropped_table_overlap_block,layout_exact_legacy_overlap,layout_exact_legacy_overlap_fraction,layout_units,layout_units_over_100_fraction,layout_units_over_100_words,legacy_units,maximum_layout_unit_words,narrow_blocks,processed_pages,source_blocks,source_pages,source_pdf_sha256,split,table_detection_failures
8,8,nerc_001_november_13_wyoming_disturbance_report,74,1,84,0,173,72,511,0.797191887675507,641,0.0,0,598,60,350,42,691,49,3D4A0C2DB1AD022EF4DC62F8498635FF5F5D8369A02D39DD2A313B9E864652D6,test,0
5,3,nerc_002_inverter_based_resource_disturbances_in_th,25,0,24,0,32,14,57,0.5428571428571428,105,0.0,0,78,54,83,12,152,16,FF02D67B0B9C1D21EEA6ABC8DB23C9FADDD647DB652668A85E26928B8A3CFD5D,test,0
5,7,nerc_003_january_2025_arctic_events_a_system_perfor,2,8,30,0,246,56,353,0.7844444444444445,450,0.006666666666666667,3,396,120,252,31,425,35,428CE107382EE2D3A18A1E71650C417A220AA9232DDDBA3328B60AE258C04743,dev,0
6,8,nerc_004_march_april_2022_california_battery_energy,25,4,37,10,155,94,114,0.6951219512195121,164,0.012195121951219513,2,147,120,287,14,363,19,0873FC5F130FBD09153F50ED0EDAC9DF8CB92083BB9EED4FEED6ADA2C5318BE1,test,0
6,4,nerc_005_nerc_2023_southwest_ut_disturbance_report,22,8,39,1,1,57,92,0.7301587301587301,126,0.0,0,115,63,105,14,156,19,D3917E5BD0A06388472F370D59E5BFC31DE1AE98E156A769676D9416F6AC3A8F,test,0
10,24,nerc_006_june_2022_odessa_disturbance_report,94,21,134,35,143,285,332,0.6058394160583942,548,0.005474452554744526,3,576,140,602,47,850,56,0853054CD950FA84AA0D8E33A30E523DF1AAC92E5A545CD1B6DA478FD5216710,test,0
6,11,nerc_007_panhandle_wind_disturbance_report,79,2,95,2,101,145,270,0.7479224376731302,361,0.0,0,380,98,395,34,515,39,7F7AE416A720C2EB4F6D46398DDF9DFB5E2B0D4A172BB653B89B0F4973B7A7C6,dev,0
8,27,nerc_008_nerc_2021_california_solar_pv_disturbances,89,31,167,1,128,501,434,0.6086956521739131,713,0.001402524544179523,1,708,106,806,59,1083,66,79CB46BA80F397028D594448C8AAD58F9B9C1604B05F66F85015DD87EF03D83B,dev,0
9,15,nerc_009_odessa_disturbance_report,112,5,157,2,29,187,523,0.7646198830409356,684,0.0014619883040935672,1,711,103,426,53,652,61,074D9A538FD2E86D0EBCA6056E98069C7D7E2D07379CFC0E72DDB6199A23EC9A,test,0
10,6,nerc_011_san_fernando_disturbance_report,83,0,82,1,9,65,195,0.6794425087108014,287,0.0,0,274,93,231,29,328,38,3F7ED1350CF25E70C28161CC42D3D88FDDF89DF01D07679272DB16D7D825AFBF,test,0
