budget,contrast,excluded_series,mean_delta
5,c2ges_full_minus_graph_no_cf_strict,nerc_001_november_13_wyoming_disturbance_report,-0.006431887063364678
5,c2ges_full_minus_graph_no_cf_strict,nerc_002_inverter_based_resource_disturbances_in_th,-0.0070933754862789545
5,c2ges_full_minus_graph_no_cf_strict,nerc_004_march_april_2022_california_battery_energy,-0.004989413576257615
5,c2ges_full_minus_graph_no_cf_strict,nerc_005_nerc_2023_southwest_ut_disturbance_report,-0.007075292082580652
5,c2ges_full_minus_graph_no_cf_strict,nerc_011_san_fernando_disturbance_report,-0.005432605464906199
5,c2ges_full_minus_graph_no_cf_strict,nerc_012_january_11_oscillation_event_report,-0.004874865378253535
5,c2ges_full_minus_graph_no_cf_strict,nerc_015_polar_vortex_review,-0.0014154892668893498
5,c2ges_full_minus_graph_no_cf_strict,series_odessa,-0.006284128338598253
5,c2ges_full_minus_graph_no_cf_strict,series_state_of_reliability,-0.006307013863600858
5,c2ges_full_minus_graph_no_cf_strict,series_winter_storm_elliott,-0.0075312853078998
5,c2ges_full_minus_semantic_mmr,nerc_001_november_13_wyoming_disturbance_report,0.021751034329536272
5,c2ges_full_minus_semantic_mmr,nerc_002_inverter_based_resource_disturbances_in_th,0.02008491943871505
5,c2ges_full_minus_semantic_mmr,nerc_004_march_april_2022_california_battery_energy,0.02182726303458491
5,c2ges_full_minus_semantic_mmr,nerc_005_nerc_2023_southwest_ut_disturbance_report,0.021903564473393436
5,c2ges_full_minus_semantic_mmr,nerc_011_san_fernando_disturbance_report,0.022665418498487973
5,c2ges_full_minus_semantic_mmr,nerc_012_january_11_oscillation_event_report,0.02053386340712465
5,c2ges_full_minus_semantic_mmr,nerc_015_polar_vortex_review,0.02379191688738614
5,c2ges_full_minus_semantic_mmr,series_odessa,0.023075363610228675
5,c2ges_full_minus_semantic_mmr,series_state_of_reliability,0.022557918948977677
5,c2ges_full_minus_semantic_mmr,series_winter_storm_elliott,0.0204513900998563
5,c2ges_full_minus_textrank,nerc_001_november_13_wyoming_disturbance_report,0.02617954487641276
5,c2ges_full_minus_textrank,nerc_002_inverter_based_resource_disturbances_in_th,0.025036845858099576
5,c2ges_full_minus_textrank,nerc_004_march_april_2022_california_battery_energy,0.02904539288642764
5,c2ges_full_minus_textrank,nerc_005_nerc_2023_southwest_ut_disturbance_report,0.028250726541918854
5,c2ges_full_minus_textrank,nerc_011_san_fernando_disturbance_report,0.03006837935886187
5,c2ges_full_minus_textrank,nerc_012_january_11_oscillation_event_report,0.02959912570338383
5,c2ges_full_minus_textrank,nerc_015_polar_vortex_review,0.028452725284359333
5,c2ges_full_minus_textrank,series_odessa,0.030876528317643988
5,c2ges_full_minus_textrank,series_state_of_reliability,0.029522880893182786
5,c2ges_full_minus_textrank,series_winter_storm_elliott,0.0285401029888424
10,c2ges_full_minus_graph_no_cf_strict,nerc_001_november_13_wyoming_disturbance_report,-0.005031863350098288
10,c2ges_full_minus_graph_no_cf_strict,nerc_002_inverter_based_resource_disturbances_in_th,-0.00513235492666225
10,c2ges_full_minus_graph_no_cf_strict,nerc_004_march_april_2022_california_battery_energy,-0.004498332919941082
10,c2ges_full_minus_graph_no_cf_strict,nerc_005_nerc_2023_southwest_ut_disturbance_report,-0.0059973744288398575
10,c2ges_full_minus_graph_no_cf_strict,nerc_011_san_fernando_disturbance_report,-0.005346219721290474
10,c2ges_full_minus_graph_no_cf_strict,nerc_012_january_11_oscillation_event_report,-0.004220707451321582
10,c2ges_full_minus_graph_no_cf_strict,nerc_015_polar_vortex_review,-0.002388433006474234
10,c2ges_full_minus_graph_no_cf_strict,series_odessa,-0.00441804130126817
10,c2ges_full_minus_graph_no_cf_strict,series_state_of_reliability,-0.005551829887706386
10,c2ges_full_minus_graph_no_cf_strict,series_winter_storm_elliott,-0.005147545186118492
10,c2ges_full_minus_semantic_mmr,nerc_001_november_13_wyoming_disturbance_report,0.012126315556968421
10,c2ges_full_minus_semantic_mmr,nerc_002_inverter_based_resource_disturbances_in_th,0.012613644707618176
10,c2ges_full_minus_semantic_mmr,nerc_004_march_april_2022_california_battery_energy,0.015041684684456982
10,c2ges_full_minus_semantic_mmr,nerc_005_nerc_2023_southwest_ut_disturbance_report,0.01683106623477831
10,c2ges_full_minus_semantic_mmr,nerc_011_san_fernando_disturbance_report,0.013326221214661193
