method,correct,candidate_execution_error,gold_execution_error,candidate_shape_mismatch,gold_shape_mismatch,wrong_denotation,n
qwen:F00_Full_NoShape,76,1,0,85,0,18,180
qwen:F01_Full_WithShape,129,5,0,1,0,45,180
qwen:F10_Compact_NoShape,78,23,0,51,0,28,180
qwen:F11_Compact_WithShape,108,5,0,2,0,65,180
granite:F00_Full_NoShape,77,5,0,81,0,17,180
granite:F01_Full_WithShape,100,20,0,2,0,58,180
granite:F10_Compact_NoShape,74,13,0,65,0,28,180
granite:F11_Compact_WithShape,108,11,0,3,0,58,180
C000_fixed_order_equal_budget,76,1,0,85,0,18,180
validation_rank_equal_budget_no_cf,99,0,0,42,0,39,180
full_coordination_complete_metamorphic,100,0,0,41,0,39,180
