question_id,slot_count,unique_normalized_sql,duplicate_slots,validation_only_top_slots,validation_only_unique_top_sql,validation_only_duplicate_top_slots,complete_witness_top_slots,complete_witness_unique_top_sql,complete_witness_duplicate_top_slots
Q021,8,3,5,8,3,5,8,3,5
Q022,8,2,6,8,2,6,8,2,6
Q023,8,8,0,1,1,0,1,1,0
Q024,8,3,5,8,3,5,8,3,5
Q025,8,8,0,7,7,0,7,7,0
Q026,8,7,1,8,7,1,8,7,1
Q027,8,7,1,8,7,1,8,7,1
Q028,8,6,2,1,1,0,1,1,0
Q029,8,7,1,8,7,1,8,7,1
Q030,8,5,3,1,1,0,1,1,0
Q031,8,8,0,4,4,0,4,4,0
Q032,8,7,1,4,4,0,4,4,0
Q033,8,6,2,8,6,2,8,6,2
Q034,8,4,4,8,4,4,8,4,4
Q035,8,8,0,3,3,0,3,3,0
Q036,8,8,0,1,1,0,1,1,0
Q037,8,4,4,8,4,4,8,4,4
Q038,8,4,4,8,4,4,8,4,4
Q039,8,8,0,8,8,0,6,6,0
Q040,8,5,3,6,4,2,6,4,2
Q041,8,8,0,3,3,0,3,3,0
Q042,8,2,6,8,2,6,8,2,6
Q043,8,8,0,3,3,0,3,3,0
Q044,8,2,6,8,2,6,8,2,6
Q045,8,7,1,1,1,0,1,1,0
Q046,8,7,1,8,7,1,8,7,1
Q047,8,8,0,5,5,0,5,5,0
Q048,8,5,3,8,5,3,8,5,3
Q049,8,7,1,2,2,0,2,2,0
Q050,8,8,0,6,6,0,6,6,0
Q051,8,7,1,7,6,1,7,6,1
Q052,8,7,1,7,6,1,7,6,1
Q053,8,8,0,1,1,0,1,1,0
Q054,8,7,1,8,7,1,8,7,1
Q055,8,6,2,8,6,2,8,6,2
Q056,8,5,3,1,1,0,1,1,0
Q057,8,4,4,1,1,0,1,1,0
Q058,8,6,2,8,6,2,8,6,2
Q059,8,6,2,2,2,0,2,2,0
Q060,8,3,5,8,3,5,8,3,5
Q061,8,6,2,6,5,1,6,5,1
Q062,8,8,0,1,1,0,1,1,0
Q063,8,8,0,1,1,0,1,1,0
Q064,8,7,1,2,1,1,2,1,1
Q065,8,2,6,8,2,6,8,2,6
Q066,8,3,5,1,1,0,1,1,0
Q067,8,7,1,8,7,1,8,7,1
Q068,8,7,1,7,6,1,7,6,1
Q069,8,5,3,8,5,3,8,5,3
Q070,8,6,2,8,6,2,8,6,2
Q071,8,5,3,1,1,0,1,1,0
Q072,8,2,6,8,2,6,8,2,6
Q073,8,7,1,1,1,0,1,1,0
Q074,8,8,0,6,6,0,6,6,0
Q075,8,4,4,8,4,4,8,4,4
Q076,8,8,0,1,1,0,1,1,0
Q077,8,7,1,1,1,0,1,1,0
Q078,8,5,3,4,2,2,4,2,2
Q079,8,8,0,5,5,0,5,5,0
Q080,8,8,0,4,4,0,4,4,0
Q081,8,5,3,7,4,3,7,4,3
Q082,8,3,5,8,3,5,8,3,5
Q083,8,4,4,7,3,4,7,3,4
Q084,8,4,4,7,3,4,7,3,4
Q085,8,4,4,7,3,4,7,3,4
Q086,8,5,3,7,4,3,7,4,3
Q087,8,3,5,8,3,5,8,3,5
Q088,8,4,4,8,4,4,8,4,4
Q089,8,4,4,7,3,4,7,3,4
Q090,8,3,5,7,2,5,7,2,5
Q091,8,3,5,8,3,5,8,3,5
Q092,8,4,4,7,3,4,7,3,4
Q093,8,4,4,7,3,4,7,3,4
Q094,8,4,4,8,4,4,8,4,4
Q095,8,5,3,7,4,3,7,4,3
Q096,8,4,4,7,3,4,7,3,4
Q097,8,5,3,7,4,3,7,4,3
Q098,8,5,3,7,4,3,7,4,3
Q099,8,7,1,1,1,0,1,1,0
Q100,8,7,1,1,1,0,1,1,0
Q101,8,7,1,1,1,0,1,1,0
Q102,8,7,1,1,1,0,1,1,0
Q103,8,8,0,1,1,0,1,1,0
Q104,8,7,1,1,1,0,1,1,0
Q105,8,7,1,1,1,0,1,1,0
Q106,8,7,1,1,1,0,1,1,0
Q107,8,7,1,1,1,0,1,1,0
Q108,8,8,0,1,1,0,1,1,0
Q109,8,7,1,1,1,0,1,1,0
Q110,8,7,1,1,1,0,1,1,0
Q111,8,7,1,1,1,0,1,1,0
Q112,8,7,1,1,1,0,1,1,0
Q113,8,7,1,1,1,0,1,1,0
Q114,8,7,1,1,1,0,1,1,0
Q115,8,7,1,1,1,0,1,1,0
Q116,8,7,1,1,1,0,1,1,0
Q117,8,5,3,8,5,3,8,5,3
Q118,8,6,2,7,5,2,7,5,2
Q119,8,5,3,1,1,0,1,1,0
Q120,8,5,3,8,5,3,8,5,3
Q121,8,4,4,8,4,4,8,4,4
Q122,8,6,2,7,5,2,7,5,2
Q123,8,6,2,7,5,2,7,5,2
Q124,8,5,3,8,5,3,8,5,3
Q125,8,5,3,1,1,0,1,1,0
Q126,8,6,2,7,5,2,7,5,2
Q127,8,5,3,8,5,3,8,5,3
