method,correct_count,permutation_frequency
validation_only,95,840
validation_only,96,420
validation_only,97,720
validation_only,98,1860
validation_only,99,3360
validation_only,100,840
validation_only,101,5460
validation_only,102,4860
validation_only,103,1800
validation_only,111,2040
validation_only,112,2520
validation_only,113,480
validation_only,116,1380
validation_only,117,1860
validation_only,118,1080
validation_only,119,1440
validation_only,121,720
validation_only,122,3600
validation_only,126,240
validation_only,127,2880
validation_only,128,1920
complete_witness,95,840
complete_witness,96,420
complete_witness,97,720
complete_witness,98,1620
complete_witness,99,2160
complete_witness,100,2280
complete_witness,101,4500
complete_witness,102,5100
complete_witness,103,2520
complete_witness,111,2040
complete_witness,112,2520
complete_witness,113,480
complete_witness,116,1380
complete_witness,117,1860
complete_witness,118,1080
complete_witness,119,1440
complete_witness,121,720
complete_witness,122,3600
complete_witness,126,240
complete_witness,127,2880
complete_witness,128,1920
