method,correct,n,accuracy,paired_accuracy_difference,paired_bootstrap_95_low,paired_bootstrap_95_high,rescues,harms,ties,exact_discordant_sign_p,holm_adjusted_p_nine_comparisons
qwen:F00_Full_NoShape,76,180,0.4222222222222222,0.0,0.0,0.0,0,0,180,1.0,
qwen:F01_Full_WithShape,129,180,0.7166666666666667,0.29444444444444445,0.2222222222222222,0.36666666666666664,56,3,121,1.189326415129699e-13,1.070393773616729e-12
qwen:F10_Compact_NoShape,78,180,0.43333333333333335,0.011111111111111112,-0.011111111111111112,0.03333333333333333,3,1,176,0.625,1.0
qwen:F11_Compact_WithShape,108,180,0.6,0.17777777777777778,0.1,0.25555555555555554,46,14,120,4.223704562267977e-05,0.00021118522811339885
granite:F00_Full_NoShape,77,180,0.42777777777777776,0.005555555555555556,-0.027777777777777776,0.044444444444444446,6,5,169,1.0,1.0
granite:F01_Full_WithShape,100,180,0.5555555555555556,0.13333333333333333,0.05,0.2222222222222222,45,21,114,0.004272405031651673,0.017089620126606694
granite:F10_Compact_NoShape,74,180,0.4111111111111111,-0.011111111111111112,-0.05,0.027777777777777776,6,8,166,0.79052734375,1.0
granite:F11_Compact_WithShape,108,180,0.6,0.17777777777777778,0.10555555555555556,0.25,42,10,128,9.063271916964766e-06,5.4379631501788595e-05
C000_fixed_order_equal_budget,76,180,0.4222222222222222,0.0,0.0,0.0,0,0,180,1.0,
validation_rank_equal_budget_no_cf,99,180,0.55,0.12777777777777777,0.07777777777777778,0.18333333333333332,25,2,153,5.647540092468262e-06,3.953278064727783e-05
full_coordination_complete_metamorphic,100,180,0.5555555555555556,0.13333333333333333,0.07777777777777778,0.18888888888888888,26,2,152,3.032386302947998e-06,2.4259090423583984e-05
