protocol_sha256,family,metric,contrast,mean_difference,doc_ci_low,doc_ci_high,exact_seed_signflip_p,holm_p
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,F1,precision,label_blind:bm25:K3 - label_blind:full:K3,-0.0032888888888890746,-0.01136944075251798,0.005186091686091686,0.0625,0.5
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,F1,precision,label_blind:lead_k:K3 - label_blind:full:K3,-0.05306666666666855,-0.06937851433543747,-0.03614195773221972,0.0625,0.5
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,F1,precision,label_blind:lexcue:K3 - label_blind:full:K3,-0.059066666666668335,-0.07627720584046604,-0.042377939945606784,0.0625,0.5
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,F1,precision,label_blind:no_graph:K3 - label_blind:full:K3,-0.000711111111111018,-0.0024316795683790686,0.0008379555003320849,0.0625,0.5
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,F1,precision,label_blind:no_role:K3 - label_blind:full:K3,-0.005066666666666897,-0.011713567263280877,0.0009839958093808487,0.0625,0.5
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,F1,precision,label_blind:query_only:K3 - label_blind:full:K3,-0.007066666666667121,-0.014186545261491938,-0.0009789757113461484,0.0625,0.5
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,F1,precision,label_blind:sbert:K3 - label_blind:full:K3,-0.014177777777778077,-0.0238460641176578,-0.00508714638114269,0.0625,0.5
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,F1,precision,label_blind:tfidf:K3 - label_blind:full:K3,-0.00884444444444472,-0.017489975329782227,-0.0012825227106213449,0.0625,0.5
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,F2,precision,label_blind:bm25:K1 - label_blind:bm25:K3,0.41877777777777964,0.3866473676142971,0.44941120842848514,0.0625,1.0
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,F2,precision,label_blind:bm25:K5 - label_blind:bm25:K3,-0.08466666666666983,-0.09457137942896471,-0.0737608747065516,0.0625,1.0
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,F2,precision,label_blind:bm25:K10 - label_blind:bm25:K3,-0.14125132275131966,-0.15862740280553173,-0.12375625099260411,0.0625,1.0
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,F2,precision,label_blind:full:K1 - label_blind:full:K3,0.38735555555555734,0.34709785324045356,0.42548879312646415,0.0625,1.0
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,F2,precision,label_blind:full:K5 - label_blind:full:K3,-0.0851288888888924,-0.0956548179824563,-0.07465454509723124,0.0625,1.0
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,F2,precision,label_blind:full:K10 - label_blind:full:K3,-0.142153544973542,-0.15851928900928752,-0.12475002363961593,0.0625,1.0
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,F2,precision,label_blind:lead_k:K1 - label_blind:lead_k:K3,0.3572222222222259,0.3128152762246769,0.40177099087517637,0.0625,1.0
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,F2,precision,label_blind:lead_k:K5 - label_blind:lead_k:K3,-0.06075555555555606,-0.07237820797286679,-0.048980607211178764,0.0625,1.0
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,F2,precision,label_blind:lead_k:K10 - label_blind:lead_k:K3,-0.10120687830687439,-0.11741569425865633,-0.0847183915960238,0.0625,1.0
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,F2,precision,label_blind:lexcue:K1 - label_blind:lexcue:K3,0.19722222222222563,0.13487912424665466,0.2608829850814348,0.0625,1.0
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,F2,precision,label_blind:lexcue:K5 - label_blind:lexcue:K3,-0.053822222222222826,-0.06635907504680871,-0.040162438480572174,0.0625,1.0
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,F2,precision,label_blind:lexcue:K10 - label_blind:lexcue:K3,-0.09107354497354087,-0.10812997949944725,-0.07185358263792503,0.0625,1.0
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,F2,precision,label_blind:no_graph:K1 - label_blind:no_graph:K3,0.38446666666666834,0.3424607348035582,0.4233408492647407,0.0625,1.0
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,F2,precision,label_blind:no_graph:K5 - label_blind:no_graph:K3,-0.08476444444444806,-0.09514039871172117,-0.07403116484492707,0.0625,1.0
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,F2,precision,label_blind:no_graph:K10 - label_blind:no_graph:K3,-0.141282433862431,-0.1578851105314946,-0.12458133472456408,0.0625,1.0
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,F2,precision,label_blind:no_role:K1 - label_blind:no_role:K3,0.3932222222222242,0.3586120892018779,0.42780027407628274,0.0625,1.0
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,F2,precision,label_blind:no_role:K5 - label_blind:no_role:K3,-0.08235555555555885,-0.09397540256030278,-0.07069319216823955,0.0625,1.0
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,F2,precision,label_blind:no_role:K10 - label_blind:no_role:K3,-0.13694021164020842,-0.15465611969801016,-0.1187188375666108,0.0625,1.0
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,F2,precision,label_blind:query_only:K1 - label_blind:query_only:K3,0.3938888888888911,0.35976388456486685,0.4272166808752486,0.0625,1.0
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,F2,precision,label_blind:query_only:K5 - label_blind:query_only:K3,-0.0808888888888919,-0.0910875639799243,-0.06904709035834701,0.0625,1.0
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,F2,precision,label_blind:query_only:K10 - label_blind:query_only:K3,-0.13487354497354168,-0.15248358727068456,-0.11818476086746971,0.0625,1.0
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,F2,precision,label_blind:sbert:K1 - label_blind:sbert:K3,0.329000000000002,0.28559665612010676,0.36742076565909154,0.0625,1.0
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,F2,precision,label_blind:sbert:K5 - label_blind:sbert:K3,-0.07831111111111372,-0.08952457657774514,-0.06668807206967044,0.0625,1.0
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,F2,precision,label_blind:sbert:K10 - label_blind:sbert:K3,-0.12836243386243068,-0.14683106062594609,-0.10971565491618032,0.0625,1.0
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,F2,precision,label_blind:tfidf:K1 - label_blind:tfidf:K3,0.381000000000002,0.34367133798214555,0.4155974123382941,0.0625,1.0
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,F2,precision,label_blind:tfidf:K5 - label_blind:tfidf:K3,-0.0829777777777807,-0.09366782325029668,-0.07165920471081126,0.0625,1.0
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,F2,precision,label_blind:tfidf:K10 - label_blind:tfidf:K3,-0.13429576719576405,-0.1509153718866664,-0.11693299373040754,0.0625,1.0
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,F3,precision,predicted:bm25:K3 - label_blind:bm25:K3,0.0,0.0,0.0,1.0,1.0
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,F3,precision,oracle:bm25:K3 - label_blind:bm25:K3,0.0,0.0,0.0,1.0,1.0
