family_cluster,cell_rows,questions,execution_accuracy,shape_accuracy,execution_failures,both_incorrect
family_39efb84ebb97,8,2,0.0,0.125,8,7
family_bd85e8ffc8be,4,1,0.0,0.25,4,3
family_cf688f3772f9,4,1,0.0,0.25,4,3
family_6a8ee4627bd7,4,1,0.0,0.5,4,2
family_93d73d584c9b,4,1,0.0,0.5,4,2
family_b607713b3ac9,4,1,0.0,0.5,4,2
family_ba824f570fd1,4,1,0.0,0.5,4,2
family_da56733dfd21,4,1,0.0,0.5,4,2
family_5c8eec065056,4,1,0.0,0.75,4,1
family_80549dc68046,4,1,0.0,1.0,4,0
family_b9d1e70d7d01,4,1,0.0,1.0,4,0
family_4f24797b1d0a,8,2,0.125,0.75,7,2
family_f2a050e801ed,36,9,0.1388888888888889,0.7222222222222222,31,10
family_8cd61bcf274e,12,3,0.16666666666666666,1.0,10,0
family_e522de2d2816,112,28,0.17857142857142858,0.5357142857142857,92,48
family_6aab05b51f40,16,4,0.1875,0.5625,13,7
family_65fafbcdb0e0,4,1,0.25,0.5,3,2
family_df6035900402,4,1,0.25,0.5,3,2
family_16fc7759e5bd,4,1,0.25,1.0,3,0
family_bb9d8f9e4fe0,4,1,0.25,1.0,3,0
family_3510a4b38559,32,8,0.375,1.0,20,0
family_8fd0e52a0f85,20,5,0.4,0.5,12,9
family_bfc79394b78c,56,14,0.4642857142857143,0.6428571428571429,30,20
family_151b8370dd2a,4,1,0.5,0.25,2,1
family_a81b0955be89,56,14,0.5,0.5357142857142857,28,26
family_1f4ede7691c2,4,1,0.5,0.75,2,1
family_bae0ef032e22,4,1,0.5,1.0,2,0
family_ff9445b3a6ab,8,2,0.625,0.375,3,1
family_39c9c7eebc89,8,2,0.625,1.0,3,0
family_a28dbb1f75c0,8,2,0.625,1.0,3,0
family_894b327dde77,4,1,0.75,0.5,1,1
family_5615d0813d2b,76,19,0.868421052631579,0.5263157894736842,10,0
family_a0b623e99bbd,4,1,1.0,0.5,0,0
family_31171172dc6e,32,8,1.0,1.0,0,0
family_6ccc2a0f093c,4,1,1.0,1.0,0,0
family_899e206e4941,28,7,1.0,1.0,0,0
family_997207c7abad,116,29,1.0,1.0,0,0
family_9a9d552a4eb7,4,1,1.0,1.0,0,0
family_a55767018461,4,1,1.0,1.0,0,0
