blind_item_id,dataset,source_question_id,template_family,split,annotation_status,human_reviewed,sealed,result_sha256,sql_sha256
MAHR-78F385AE89C2,RTS-GMLC,RTS_AUTO_001,F01_generator_fuel_filter,candidate_train,AUTO_CANDIDATE,False,False,be17b2b5952fde1bb477742bcb8a0dda5c3bde74c3435ab42a4534875eac7c09,c44416a489f274ce612f7e883a51d0c97b1af8a6dda29ead4afdd9d2c7fb4194
MAHR-76CB188872BC,RTS-GMLC,RTS_AUTO_002,F02_capacity_aggregate_by_fuel,candidate_train,AUTO_CANDIDATE,False,False,3131e0704783e000d7f20399847b199a5ebc94e9fb1198a138fe4aa7282af392,3652b546c6fae0dbecf9b25c83bb2f1c20ce192b749f45a20c526dc5dd29667b
MAHR-70326194ED60,RTS-GMLC,RTS_AUTO_003,F01_generator_fuel_filter,candidate_train,AUTO_CANDIDATE,False,False,1a1a67d390901f7c1db0ec3e7781e3c9fc0f94904ea32d15dd95e94e81d04d9c,4e050c1d824e144ae9147630f485e9646f005d0f22417d6c1c1c5966a01b66b0
MAHR-D5AC1B52322A,RTS-GMLC,RTS_AUTO_004,F02_capacity_aggregate_by_fuel,candidate_train,AUTO_CANDIDATE,False,False,93b70351bc9ed4af28f1782f0f8edc47f0d4538cab89d39f121fd955c148c3db,d126372855c74577708624d39d6f75d6de33cabca883adb64ff6cba56950cbf5
MAHR-E394ECCC7721,RTS-GMLC,RTS_AUTO_005,F01_generator_fuel_filter,candidate_train,AUTO_CANDIDATE,False,False,ba94f931add9dea1c16194e6a53179d9d8bc551cbe39324521e629bcdb6d0ffe,b103df8db818262a705c1f9f81dcb6ee66b6f819e8f758613e58a338c7a1b1d2
MAHR-6D8E9F4BD513,RTS-GMLC,RTS_AUTO_006,F02_capacity_aggregate_by_fuel,candidate_train,AUTO_CANDIDATE,False,False,6a948cc40146130c6a5db769d6678a428a0d794337f42c4adcc39fe7fd3ca47d,aa4ec2c44d783fbec1b06edb8ffc6b23e77f75e5dd8871c46c6160aa1f937bfd
MAHR-12E7653E773F,RTS-GMLC,RTS_AUTO_007,F01_generator_fuel_filter,candidate_train,AUTO_CANDIDATE,False,False,3e1d21a7f2610a4f88d0793dc51e68bb1ab0935207748be577a0efb0fbfa2a7b,23626f17b3a43a4f8d7524f7d380e1e792529cf804cdbba303c80ddf61c4b4fe
MAHR-8A5294BE1074,RTS-GMLC,RTS_AUTO_008,F02_capacity_aggregate_by_fuel,candidate_train,AUTO_CANDIDATE,False,False,e176a76517748bd91d275d64d9027516755b8a5976c29f2a1914bcb9782d14a5,bcf65626f2170e3bd1acd39b5b4c268f34fedb3ab55959695da3e9ef24a3a7f7
MAHR-C8E186EEE250,RTS-GMLC,RTS_AUTO_009,F01_generator_fuel_filter,candidate_train,AUTO_CANDIDATE,False,False,91baf44263bca2de262aa3430ee53b18e20381754d50f8d02b1eed11d1d030f6,bc81dc2360df9faa9aab999bf23737a23f171abe78e2b1cb0dbcc8006580b695
MAHR-46955DA6D70E,RTS-GMLC,RTS_AUTO_010,F02_capacity_aggregate_by_fuel,candidate_train,AUTO_CANDIDATE,False,False,572b57a5cc98872b10ce0bd9c8ac823ac137e82ec5a106e7a300f5a08a0a725c,cbfcba3bdddb8ebe7918594a8110c75b97d0fa99cbb2f555ddefd15bd5a121fc
MAHR-51243B941685,RTS-GMLC,RTS_AUTO_011,F03_operating_constraint_filter,candidate_train,AUTO_CANDIDATE,False,False,5ddf3b4baafc110c47f07a1c3c6cfe9c0da4113b25891aec8bcd26deecf48b96,0993031f7dbaf07e9d369f7c085cefbe0023ebf2b760cd86f80b4ed1038c272e
MAHR-DACECC812782,RTS-GMLC,RTS_AUTO_012,F03_operating_constraint_filter,candidate_train,AUTO_CANDIDATE,False,False,eb576b299e4788a959272ab212097a6991cb406cb87de9acaaac52f1d897c8a7,7e068a5c594420ff8d8553d5ad071a0e28f66d24fec9937526223e588e2cdd41
MAHR-FDDF93AA45E0,RTS-GMLC,RTS_AUTO_013,F03_operating_constraint_filter,candidate_train,AUTO_CANDIDATE,False,False,6940fb794b59c2d6d9d4ea7f54390504d17e75532392f9d33ccfa10306bb13be,b9eac3e1b691d60a11ae157d3d7531645c75ee140318bc4e858b06a92d633eaf
MAHR-20B8E1558F8E,RTS-GMLC,RTS_AUTO_014,F03_operating_constraint_filter,candidate_train,AUTO_CANDIDATE,False,False,33860f0a477a3bbf018a29c43fa2c0dc56e1702400dcbc013d5136108400390a,3c45a2c975dc00a6ffbfb1ce709cb2638e3d5c05541e582ad3a00b304acd4412
MAHR-17AF7869B310,RTS-GMLC,RTS_AUTO_015,F03_operating_constraint_filter,candidate_train,AUTO_CANDIDATE,False,False,eceaffe14c0e065efe24e22cb5c4490eed9558be7f88f252a9b751d1f4f51fa9,e8f0ea934c4ff83c541aea3a51a9a0dc60591fb3b43709bf674064476cc14127
MAHR-7D43A81C5045,RTS-GMLC,RTS_AUTO_016,F04_generator_bus_join,candidate_train,AUTO_CANDIDATE,False,False,87e8c0ad606f86d22f08c761b4bc099950bbae8bb954b6395f7b541af1d431f4,35df52d2dba23b5861c17972a555f763bd947ff198b6d0055eae23d5aa8cf4c2
MAHR-029886672ADD,RTS-GMLC,RTS_AUTO_017,F04_generator_bus_join,candidate_train,AUTO_CANDIDATE,False,False,2550ab9e26ca468526016a5328bd594134c1a28783089c9006b2476b84c0f283,be01ef38f57928a50c4912444c01a9aad7978de46a5a559e9fb0ae163121c3ce
MAHR-C6F760AFEF1B,RTS-GMLC,RTS_AUTO_018,F04_generator_bus_join,candidate_train,AUTO_CANDIDATE,False,False,b7f960bc78c6492cf655fcb64628f02e23bdcb6fed4277ed7d5925f58da93519,2c621e1217033ca9b875cb7f5a72a7fdca9b829f37ad6594d241bcfdc907ada3
MAHR-C8ACA6A27C26,RTS-GMLC,RTS_AUTO_019,F04_generator_bus_join,candidate_train,AUTO_CANDIDATE,False,False,a66540c39040ed0b9b53859d943a58d0589c86424a409935f0eb419cd504d58a,5099c75426fd70bcf4552bbbd942f3cf25f2bd6e86685880f06eef68fe547b9a
MAHR-B8B7691A2F9C,RTS-GMLC,RTS_AUTO_020,F04_generator_bus_join,candidate_train,AUTO_CANDIDATE,False,False,2a4e0658658f7bb82c90d42ba827526e12161e8e514cb053863f3e291b6dee7b,a746e24831464018957913e474193f63fed34f591e3f9cf8277f24b57e7c5783
MAHR-2D79C481E4A0,RTS-GMLC,RTS_AUTO_021,F05_capacity_topk,candidate_train,AUTO_CANDIDATE,False,False,b46c119ca2bf75e591e8f818d2eb533ed216dec71f9d8aa0e191b2c8e829c104,1ea034a83551d428ad6db20a523b5373d1ec716b9f7202ccce836abdf05b1890
MAHR-4E274BA60528,RTS-GMLC,RTS_AUTO_022,F05_capacity_topk,candidate_train,AUTO_CANDIDATE,False,False,9dddb9722d1e50f5b5498311aaff15fec7174caf47f0adb19b0c05305e750088,b44dd815cbcc91616dc360581855a3a4b8ca67d9d7299d41c176a4d38834ce79
MAHR-1699105B9733,RTS-GMLC,RTS_AUTO_023,F05_capacity_topk,candidate_train,AUTO_CANDIDATE,False,False,610ce8629a933f374043b973053ce32f740afbba06f76fb8ac44626e76670736,6a7799fdce453d7b8fc766e12ce657ae84a928347b79de3b4368f610755d7391
MAHR-D0C700FD14C0,RTS-GMLC,RTS_AUTO_024,F05_capacity_topk,candidate_train,AUTO_CANDIDATE,False,False,6f4504ab64a3cd0e6e786cb036a4dc26e2dfd6f20d432d6d435ae459e2e5bbf5,4b8b9d08ecc98b2e56dbf2f2773b41b8f87fa0aba1e9b81756812dc5640812c6
MAHR-2CCB5A994BE8,RTS-GMLC,RTS_AUTO_025,F05_capacity_topk,candidate_train,AUTO_CANDIDATE,False,False,7d386599795e965f0ad407790d4e35780236ab6e603667cb835ce8543163196c,b293c5d25ad6b82b0a00e691ff082c26d3d510ce550048bd11205843b60f6085
MAHR-B9FD2BC8E117,RTS-GMLC,RTS_AUTO_026,F06_dispatch_timestamp_filter,candidate_train,AUTO_CANDIDATE,False,False,429490e273dac6e4e62e8c5d1dc09f8f85806987a6fe5f2463b573f443729662,46bd397a9495405d5fd3eaa5c5b916af055ab2ccbbd0fe67b98fdad5f81ac3d9
MAHR-9DD1774C495D,RTS-GMLC,RTS_AUTO_027,F06_dispatch_timestamp_filter,candidate_train,AUTO_CANDIDATE,False,False,503386c08651b9b6bc7fbfbb1ca921f091bae8e3c25d7fa60f902928a0472f3b,3e548fbfcb191c2e1306c607cc31cb213483d69c0992ce80bcbd99f64692e632
MAHR-E071C85EAC9B,RTS-GMLC,RTS_AUTO_028,F06_dispatch_timestamp_filter,candidate_train,AUTO_CANDIDATE,False,False,3dccfc73588d62803a3a00694641b25d1a3ccdbc81be98a4c67562eca14b2982,9ade322e7a634fd30a100d1df61487fe0ef7487771f45abcd50d5dcd5ba7e6c6
MAHR-4455352D3000,RTS-GMLC,RTS_AUTO_029,F06_dispatch_timestamp_filter,candidate_train,AUTO_CANDIDATE,False,False,f28d92db9de368e4f679ac83e32ab464bb0756dd04dd75ac834d8dd03ce32308,eeda6bfd7dc558fc09feb2b011ddd7d51d3b3b2fd31e19d82e35924691bfd597
MAHR-8D3CDDDD572C,RTS-GMLC,RTS_AUTO_030,F06_dispatch_timestamp_filter,candidate_train,AUTO_CANDIDATE,False,False,42f0a252b65ff612994b51693773a000a5f7b4f337c8f14b089ce8f660ea3cf8,9821ddf26eeebba51faf041adf4c7aeaecdf36633cfa14e0738aada73448a398
MAHR-22391193F11C,RTS-GMLC,RTS_AUTO_031,F07_dispatch_fuel_daily_aggregate,candidate_validation,AUTO_CANDIDATE,False,False,aeb8bb751c868a50ea13216fe23f67151ed4c896c28dbfe7d33d680da82ef8cd,1403a82315ad9b1ccc23f9ee0b45c42ec80637178a013e70d0b8c389e5ad52f9
MAHR-8B354A4EB53D,RTS-GMLC,RTS_AUTO_032,F07_dispatch_fuel_daily_aggregate,candidate_validation,AUTO_CANDIDATE,False,False,8644f39c54d1fb92101a7160df43b32d12753f77156eefbe32d977efc29a79d4,8df77537aa7f302ec11034976d6a6a4b3d951d1543b30b425654c9776ffde3af
MAHR-61F5990B8E0F,RTS-GMLC,RTS_AUTO_033,F07_dispatch_fuel_daily_aggregate,candidate_validation,AUTO_CANDIDATE,False,False,956d1bc8ea44279eb89e60a95fdf114bdc32c3c4d23f5e1acbd2f8704092f3d3,0c030d24e5ebd9d63549a37658bbb99ab7179d094f6d8f67d3be743a0d3d17c9
MAHR-DD008823EEF8,RTS-GMLC,RTS_AUTO_034,F07_dispatch_fuel_daily_aggregate,candidate_validation,AUTO_CANDIDATE,False,False,8c08c758a5e4b0016eb72f299cd04544dec91421bde7cb579ae38df6b14ee5b0,ed0af59a7e03cd84eabaac79f5545ec20410f46b38963973f61f1de2c0909b49
MAHR-316242C04BA8,RTS-GMLC,RTS_AUTO_035,F07_dispatch_fuel_daily_aggregate,candidate_validation,AUTO_CANDIDATE,False,False,c5da52e5b1988e2af2d1a066fef0c148468ff7990bfbd6ffc60420c14dca61ac,3edf371a37819a622a270535e7d357c2c74d6a63f35155ad5ea85a52dd9485e1
MAHR-5338AF4DEEF7,RTS-GMLC,RTS_AUTO_036,F08_regional_load_daily_aggregate,candidate_validation,AUTO_CANDIDATE,False,False,b7ec81c5f7580afdb35e30c45d5ac0298d014e9a52f3140b2938ab91c40930aa,4f2f0d1f98d2b17ee0ddab0935edff55a8a6f470385111290259ce609d134307
MAHR-A405AFD1DF07,RTS-GMLC,RTS_AUTO_037,F08_regional_load_daily_aggregate,candidate_validation,AUTO_CANDIDATE,False,False,3f36cabc9f88a438b43c821f1cb64a287a4303655bffe7eb09b0e9a0b0c9a2b6,0262d3b6434695a637fff73c382e26c4b6bf2e85a15d717d3d5de03114702b46
MAHR-9930DA539DF1,RTS-GMLC,RTS_AUTO_038,F08_regional_load_daily_aggregate,candidate_validation,AUTO_CANDIDATE,False,False,0e3a78f3829eeac8d2a080fa826bf08cb419135a16017ca9a617587c534ce025,036877c1193dcd21997be96b2831d11eb6543e41d87bbb906382b20aa2081d36
MAHR-2B934D057480,RTS-GMLC,RTS_AUTO_039,F08_regional_load_daily_aggregate,candidate_validation,AUTO_CANDIDATE,False,False,a3575c6e95a969cd3298b8cb1103bbb128f8379eb16641ed7dc338ae79e2749e,8ba39611e3689846917e5f94ac8b9544aa5889f307a77ae8507d3ef1b50a10f5
MAHR-A776D06E08F0,RTS-GMLC,RTS_AUTO_040,F08_regional_load_daily_aggregate,candidate_validation,AUTO_CANDIDATE,False,False,58e6dc873260e15f328ab79756a36ffdc9e85dafa0f02af084bf9a0e2aa4a30f,32d244778cf13b90e398e4cc80a55fa3176853df913a6fd92e9c182327761624
MAHR-56BA8DEC4C62,RTS-GMLC,RTS_AUTO_041,F09_renewable_availability_topk,candidate_holdout_unsealed,AUTO_CANDIDATE,False,False,2e6acf7616adc714bb0055f7a726cf9f121ebcd2e77a75f6ad74a62451c1af96,dbab118ec46dca65c1e90e1e093725ceecbb157a90774fe70b28add95886451c
MAHR-ED5CE17C8C85,RTS-GMLC,RTS_AUTO_042,F09_renewable_availability_topk,candidate_holdout_unsealed,AUTO_CANDIDATE,False,False,a3fff0fd47eb7cf3d553136fd1eeb34f3f8077a10ff7b3b247ae4609f55b9698,58a0bd473c360027cbbc9bbb68ef0bdbd771a4602074ef2bd9830185e654f664
MAHR-C79C4D3E4B12,RTS-GMLC,RTS_AUTO_043,F09_renewable_availability_topk,candidate_holdout_unsealed,AUTO_CANDIDATE,False,False,5c2d20e04b554e43301464d17a5364f1b601cc4070e4ff1d2630759e225c65f3,de43f7b798848068426a92892f85fcf66456fbec22042358d0397841e74a779a
MAHR-43673D7B3F0E,RTS-GMLC,RTS_AUTO_044,F09_renewable_availability_topk,candidate_holdout_unsealed,AUTO_CANDIDATE,False,False,8ec58f20d245ab241d5aad8df0deac199287d094c9e6eb8e0597a7902e0f3f53,f5f04d32755912c5a81b282b25e94d92441eccc2c2b353a2dd00331e9128076e
MAHR-A6D919F1A62F,RTS-GMLC,RTS_AUTO_045,F09_renewable_availability_topk,candidate_holdout_unsealed,AUTO_CANDIDATE,False,False,97ea0f37896962794aa030d6b707e4a99bb908eebcdce324e2c91498e2a4bf32,fe1e42e14c8b8aa0ae31818b157353f1ada9fe76e09cb9ac81fe6eb22d04065c
MAHR-833DF568006D,RTS-GMLC,RTS_AUTO_046,F10_reserve_daily_aggregate,candidate_holdout_unsealed,AUTO_CANDIDATE,False,False,90fc9b90ca50a72c7594adaf6cc353af349db0fada757778da64b4dd113ae182,9e12f6c7e6b5165aa2f30a298ddcd9f7e527a5de7e065a7e7ca20c1fe5419b7c
MAHR-507821C0492E,RTS-GMLC,RTS_AUTO_047,F10_reserve_daily_aggregate,candidate_holdout_unsealed,AUTO_CANDIDATE,False,False,1ddd4547330fc1e894c9aec64db77ea91f18ad0f3a9dd3bfb468840f279fd42a,3e063a58a538508af3abe207f5a86402cddd45fbaca3ef7873bf48a872f23b01
MAHR-2368E0A627B0,RTS-GMLC,RTS_AUTO_048,F10_reserve_daily_aggregate,candidate_holdout_unsealed,AUTO_CANDIDATE,False,False,0fea55659e3da90a8f966ab2c83f5d1f0c49a02a777383efd4dccf70f9b7ca7c,a26fb61e0ff50118de033be7509bfe204901f1d94268280f3c7516400dd60469
MAHR-AD5895B02382,RTS-GMLC,RTS_AUTO_049,F10_reserve_daily_aggregate,candidate_holdout_unsealed,AUTO_CANDIDATE,False,False,7ce2f909c2e0c4a5e2840605a70975ca053399f7ab8f5e5a96d63ed92817750c,7d060e8003c46fbf890c5901204c537fa95d78460b3472004303a79c4903c6e2
MAHR-BEABE967F459,RTS-GMLC,RTS_AUTO_050,F10_reserve_daily_aggregate,candidate_holdout_unsealed,AUTO_CANDIDATE,False,False,cd0a8f86d7182a63b410483b191fe41e32139d958ac55f2e67f73e88bc785fbc,a41eeb51967b911ad58bad5411f7957c1c22f0b5ab47246c05c5502612b2bea0
MAHR-EFF5ABC70C26,RTS-GMLC,RTS_AUTO_051,F11_cost_topk,candidate_holdout_unsealed,AUTO_CANDIDATE,False,False,c45fa14dc22e5f63fc105a4bcab5f5614cb497cff8ba94e61f5f20ec360225fb,e747a085d4a2aff68579b7cca3bb70dd72dd0853d74bf507101fcd1d8af3f4fc
MAHR-DEFDB71034F3,RTS-GMLC,RTS_AUTO_052,F11_cost_topk,candidate_holdout_unsealed,AUTO_CANDIDATE,False,False,8fb5b4f0e8e33d88928922964e959786b407227504ff718cddda893a9b9257c8,44fe04f56d8edf7e1620d3755a4f8a5684d53e73d7ad60d58ca86167c9f2235e
MAHR-6CB42A03F201,RTS-GMLC,RTS_AUTO_053,F11_cost_topk,candidate_holdout_unsealed,AUTO_CANDIDATE,False,False,53e56f74c531850211ae63b70457d93da33bcbbd8810333b1f761f3055cd3251,3c03f775df6683c0056beee95a906c83b265f77eadfbd84e997f43a340821b34
MAHR-72BAFBEB1CD5,RTS-GMLC,RTS_AUTO_054,F11_cost_topk,candidate_holdout_unsealed,AUTO_CANDIDATE,False,False,3c22834d8620a45602e8f75c358792aaef195998f9f454165efefb7f194dea1e,74c8e63e5c5f654f626943b12a6c6cf0b9f406206b536b0c0b88d21ff20ed220
MAHR-6FDEC35D71A0,RTS-GMLC,RTS_AUTO_055,F11_cost_topk,candidate_holdout_unsealed,AUTO_CANDIDATE,False,False,ff9ca4702fe2543738f5db2a653ba0a3738befacc1e91c60d42dada8999254f6,f20fcc7470ebd4261a4ddca720c86230d3b8c4109f090bb26a09ba5553e94b4a
MAHR-37E368E1A6F2,SimBench,SB-AUTO-001,asset_inventory,development_candidate,AUTO_CANDIDATE,False,False,34b8bcf9821c565eac8f697b30a78948392fe67b58520a713c253351b631c932,cc964cfabc2bc46e091c8dd0d04274eb378c4d04e6bc14654ddf0ed0f4379f55
MAHR-465B09C7D090,SimBench,SB-AUTO-002,asset_inventory,development_candidate,AUTO_CANDIDATE,False,False,c90f605e5c9b92678b17f266cad1436f0cbcc0e6f5b74f087f82a0cd0b542b18,9ba20ad556d316835943d63c58114a93467c0c8f91dc0596fe3924ffcf231276
MAHR-710D0CFEEBAE,SimBench,SB-AUTO-003,asset_inventory,development_candidate,AUTO_CANDIDATE,False,False,e54dd26ece114d4402cc110f8b65155d909f57d1e647df6413e92b405dec6a65,6c23985fa9e4267e4532886ae21655f2d91ea1979b4a59fb38b318b9b2ba6f1d
MAHR-F0D17BA4A4F9,SimBench,SB-AUTO-004,asset_inventory,development_candidate,AUTO_CANDIDATE,False,False,beea4648102ba42ac7e9acde56907ccf9348e705762468a2b89d61b66a1bbcd1,4fdbdeb0a5eda86f0def68898ae76915d9593eb17bbe36a635cc333bd73a63a0
MAHR-EF47C58CCC0C,SimBench,SB-AUTO-005,asset_inventory,development_candidate,AUTO_CANDIDATE,False,False,4027ba8eab911cbcf57b83c324eca86d021431679fb831227e56dde479d9173d,65012a4ea8c81c71110cbe0c0fa7e0db2f5bd4d86ed4517b7c29ed00d9610a03
