weight_policy,minimum_invariant_passes,tie_rule,correct,covered,n,accuracy_all,status
default,1,original_candidate_order,101,180,180,0.5611111111111111,outcome-exposed descriptive sensitivity
default,1,reverse_candidate_order,117,180,180,0.65,outcome-exposed descriptive sensitivity
default,2,original_candidate_order,101,180,180,0.5611111111111111,outcome-exposed descriptive sensitivity
default,2,reverse_candidate_order,117,180,180,0.65,outcome-exposed descriptive sensitivity
default,3,original_candidate_order,101,180,180,0.5611111111111111,outcome-exposed descriptive sensitivity
default,3,reverse_candidate_order,117,180,180,0.65,outcome-exposed descriptive sensitivity
intent_emphasis,1,original_candidate_order,101,180,180,0.5611111111111111,outcome-exposed descriptive sensitivity
intent_emphasis,1,reverse_candidate_order,117,180,180,0.65,outcome-exposed descriptive sensitivity
intent_emphasis,2,original_candidate_order,101,180,180,0.5611111111111111,outcome-exposed descriptive sensitivity
intent_emphasis,2,reverse_candidate_order,117,180,180,0.65,outcome-exposed descriptive sensitivity
intent_emphasis,3,original_candidate_order,101,180,180,0.5611111111111111,outcome-exposed descriptive sensitivity
intent_emphasis,3,reverse_candidate_order,117,180,180,0.65,outcome-exposed descriptive sensitivity
validation_equal,1,original_candidate_order,101,180,180,0.5611111111111111,outcome-exposed descriptive sensitivity
validation_equal,1,reverse_candidate_order,118,180,180,0.6555555555555556,outcome-exposed descriptive sensitivity
validation_equal,2,original_candidate_order,101,180,180,0.5611111111111111,outcome-exposed descriptive sensitivity
validation_equal,2,reverse_candidate_order,118,180,180,0.6555555555555556,outcome-exposed descriptive sensitivity
validation_equal,3,original_candidate_order,101,180,180,0.5611111111111111,outcome-exposed descriptive sensitivity
validation_equal,3,reverse_candidate_order,118,180,180,0.6555555555555556,outcome-exposed descriptive sensitivity
