state,gold_executions,gold_errors,changed_gold_denotations,unchanged_gold_denotations
T0_snapshot,180,0,0,180
T1_insertion_permutation_a,180,0,0,180
T1_insertion_permutation_b,180,0,0,180
T1_insertion_permutation_c,180,0,0,180
L1_exact_clone_retained,180,0,133,47
L2_attribute_rotation_retained,180,0,138,42
L3_relation_rewire_retained,180,0,141,39
L4_numeric_time_shift_retained,180,0,159,21
L5_combined_retained,180,0,149,31
L6_two_cohorts_retained,180,0,161,19
T3_categorical_covering,180,0,85,95
T4_numeric_date_boundaries,180,0,157,23
T5_null_witnesses,180,0,26,154
T6_relationship_anti_join_cover,180,0,104,76
T7_topology_motifs,180,0,15,165
T8_string_decoys,180,0,105,75
