manuscript,normalized_section,current_words,current_paragraphs,corpus_p50_words,corpus_p60_words,corpus_p75_words,recommended_words_low,recommended_words_high,recommended_paragraphs_low,recommended_paragraphs_high,net_word_change_low,net_word_change_high
C2GES,Introduction,361,5,927,1015,1123,1000,1050,9,11,639,689
C2GES,Related Work/Background,215,4,1037,1043,1160,1050,1100,9,11,835,885
C2GES,Methods and Setup,1565,25,3350,3565,3809,3550,3650,38,43,1985,2085
C2GES,Results and Analysis,610,10,1835,1874,2822,1850,2000,20,24,1240,1390
C2GES,Discussion and Limitations,527,7,665,675,689,700,750,9,11,173,223
C2GES,Conclusions,296,2,353,404,483,400,450,4,5,104,154
MA_SQLGrid,Introduction,655,7,923,1149,1358,1125,1175,9,11,470,520
MA_SQLGrid,Related Work/Background,582,9,1120,1157,1431,1150,1200,12,14,568,618
MA_SQLGrid,Methods and Setup,2355,31,3196,3670,4483,3650,3725,50,58,1295,1370
MA_SQLGrid,Results and Analysis,1036,17,1694,1877,2291,1850,1925,24,28,814,889
MA_SQLGrid,Discussion and Limitations,1223,15,521,674,1088,750,850,9,12,-473,-373
MA_SQLGrid,Conclusions,415,4,389,398,517,400,450,4,6,-15,35
