corpus,role,papers_with_explicit_role,all_p50_words,all_p60_words_target,all_p75_words_ceiling,domain_direct_p50,method_framework_p50,recent_2024_2026_p50,all_p60_paragraphs
C2GES,Introduction,20,927.0,1015.0,1122.8,1116.0,821.0,866.5,10.0
C2GES,Related Work/Background,15,1037.0,1043.0,1160.0,1221.5,974.0,1046.0,9.4
C2GES,Methods and Setup,19,3350.0,3564.8,3809.0,3225.0,3350.0,3516.0,39.4
C2GES,Results and Analysis,20,1835.0,1873.6,2822.2,1854.0,1816.0,1878.5,21.8
C2GES,Discussion and Limitations,5,665.0,674.6,689.0,808.5,665.0,641.0,9.4
C2GES,Conclusions,20,353.0,404.0,482.5,359.0,347.0,353.0,4.4
MA_SQLGrid,Introduction,20,922.5,1148.6,1358.0,1115.0,762.0,835.5,10.0
MA_SQLGrid,Related Work/Background,15,1120.0,1157.0,1431.0,940.0,1166.0,1120.0,12.4
MA_SQLGrid,Methods and Setup,20,3195.5,3670.2,4482.5,2841.5,4582.5,2820.0,55.4
MA_SQLGrid,Results and Analysis,19,1694.0,1877.2,2291.0,1212.0,2080.5,1587.5,25.8
MA_SQLGrid,Discussion and Limitations,8,521.0,674.0,1087.8,434.0,1082.0,521.0,8.0
MA_SQLGrid,Conclusions,19,389.0,397.6,517.0,246.0,393.5,396.0,5.0
