corpus,slug,doi,year,category,section_index,section_title,normalized_role,paragraphs,words
C2GES,applsci-13-11074,10.3390/app131911074,2023,direct-grid-text,1,1. Introduction,Introduction,12,1383
C2GES,applsci-13-11074,10.3390/app131911074,2023,direct-grid-text,2,2. Materials and Methods,Methods and Setup,3,335
C2GES,applsci-13-11074,10.3390/app131911074,2023,direct-grid-text,3,3. A Relational Extraction Approach for Grid Field Combining Semantic Dependency and Lexical Embedding RoBERTa Models,Methods and Setup,32,1795
C2GES,applsci-13-11074,10.3390/app131911074,2023,direct-grid-text,4,4. Experiments and Results Analysis,Results and Analysis,12,770
C2GES,applsci-13-11074,10.3390/app131911074,2023,direct-grid-text,5,5. Conclusions,Conclusions,5,610
C2GES,applsci-12-06993,10.3390/app12146993,2022,direct-grid-kg,1,1. Introduction,Introduction,20,1970
C2GES,applsci-12-06993,10.3390/app12146993,2022,direct-grid-kg,2,2. Overview of GRU and GA,Methods and Setup,5,388
C2GES,applsci-12-06993,10.3390/app12146993,2022,direct-grid-kg,3,3. Construction Model of Power Fault Knowledge Graph Based on Deep Learning,Methods and Setup,35,3189
C2GES,applsci-12-06993,10.3390/app12146993,2022,direct-grid-kg,4,4. Experiments and Results,Results and Analysis,42,2726
C2GES,applsci-12-06993,10.3390/app12146993,2022,direct-grid-kg,5,5. Conclusions,Conclusions,6,678
C2GES,applsci-14-09462,10.3390/app14209462,2024,direct-grid-kg,1,1. Introduction,Introduction,11,2239
C2GES,applsci-14-09462,10.3390/app14209462,2024,direct-grid-kg,2,2. Constructing a Knowledge Graph for Comprehensive Line Loss Evaluation Management,Results and Analysis,4,526
C2GES,applsci-14-09462,10.3390/app14209462,2024,direct-grid-kg,3,3. Calculation and Analysis of Data in the Comprehensive Evaluation of Line Loss Management Entity Mapping,Results and Analysis,30,2337
C2GES,applsci-14-09462,10.3390/app14209462,2024,direct-grid-kg,4,4. Construction of Line Loss Comprehensive Evaluation Management Logic Diagram,Results and Analysis,13,1350
C2GES,applsci-14-09462,10.3390/app14209462,2024,direct-grid-kg,5,5. Construction of a Mapping of Management Cases for Comprehensive Line Loss Evaluation,Results and Analysis,32,4646
C2GES,applsci-14-09462,10.3390/app14209462,2024,direct-grid-kg,6,6. Conclusions,Conclusions,5,493
C2GES,applsci-15-08188,10.3390/app15158188,2025,direct-grid-kg,1,1. Introduction,Introduction,14,1116
C2GES,applsci-15-08188,10.3390/app15158188,2025,direct-grid-kg,2,2. Materials and Methods,Methods and Setup,36,3673
C2GES,applsci-15-08188,10.3390/app15158188,2025,direct-grid-kg,3,3. Results and Discussion,Results and Analysis,17,1165
C2GES,applsci-15-08188,10.3390/app15158188,2025,direct-grid-kg,4,4. Conclusions,Conclusions,3,359
C2GES,applsci-14-06189,10.3390/app14146189,2024,direct-grid-graph,1,1. Introduction,Introduction,8,1757
C2GES,applsci-14-06189,10.3390/app14146189,2024,direct-grid-graph,2,2. Electric Power Cyber-Physical Coupling Characteristics,Methods and Setup,1,245
C2GES,applsci-14-06189,10.3390/app14146189,2024,direct-grid-graph,3,3. Method for Constructing Attack Graph of Electric Power Cyber-Physical Fusion System,Methods and Setup,43,4765
C2GES,applsci-14-06189,10.3390/app14146189,2024,direct-grid-graph,4,4. Experimental Simulation Analysis,Results and Analysis,9,1854
C2GES,applsci-14-06189,10.3390/app14146189,2024,direct-grid-graph,5,5. Discussion,Discussion and Limitations,2,617
C2GES,applsci-14-06189,10.3390/app14146189,2024,direct-grid-graph,6,6. Conclusions,Conclusions,1,289
C2GES,applsci-16-01985,10.3390/app16041985,2026,maintenance-kg-recent,1,1. Introduction,Introduction,8,747
C2GES,applsci-16-01985,10.3390/app16041985,2026,maintenance-kg-recent,2,2. Related Work,Related Work/Background,10,939
C2GES,applsci-16-01985,10.3390/app16041985,2026,maintenance-kg-recent,3,3. Methodology,Methods and Setup,3,356
C2GES,applsci-16-01985,10.3390/app16041985,2026,maintenance-kg-recent,4,4. Data Processing and Annotation,Methods and Setup,17,723
C2GES,applsci-16-01985,10.3390/app16041985,2026,maintenance-kg-recent,5,5. Deep Learning Framework,Methods and Setup,22,1642
C2GES,applsci-16-01985,10.3390/app16041985,2026,maintenance-kg-recent,6,6. Results and Discussion,Results and Analysis,21,1903
C2GES,applsci-16-01985,10.3390/app16041985,2026,maintenance-kg-recent,7,7. Knowledge Graph Storage and Exploration,Methods and Setup,18,795
C2GES,applsci-16-01985,10.3390/app16041985,2026,maintenance-kg-recent,8,8. Conclusions,Conclusions,8,568
C2GES,applsci-14-02946,10.3390/app14072946,2024,maintenance-llm,1,1. Introduction,Introduction,1,488
C2GES,applsci-14-02946,10.3390/app14072946,2024,maintenance-llm,2,2. Related Work,Related Work/Background,8,1055
C2GES,applsci-14-02946,10.3390/app14072946,2024,maintenance-llm,3,3. Methodology,Methods and Setup,20,2138
C2GES,applsci-14-02946,10.3390/app14072946,2024,maintenance-llm,4,4. Results and Discussion,Results and Analysis,15,1268
C2GES,applsci-14-02946,10.3390/app14072946,2024,maintenance-llm,5,5. Conclusions,Conclusions,2,256
