condition,budget,report_id,report_title,sentence_id,selection_rank,page,source_order,source_page_count,source_url
lead,5,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00001,1,8,1,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
lead,5,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00002,2,8,2,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
lead,5,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00003,3,8,3,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
lead,5,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00004,4,8,4,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
lead,5,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00005,5,8,5,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
centroid,5,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00451,1,42,451,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
centroid,5,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00476,2,43,476,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
centroid,5,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00544,3,46,544,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
centroid,5,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00562,4,47,562,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
centroid,5,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00583,5,48,583,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
textrank,5,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00451,1,42,451,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
textrank,5,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00476,2,43,476,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
textrank,5,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00544,3,46,544,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
textrank,5,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00562,4,47,562,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
textrank,5,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00583,5,48,583,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
semantic_mmr,5,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00293,1,27,293,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
semantic_mmr,5,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00414,2,40,414,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
semantic_mmr,5,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00426,3,41,426,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
semantic_mmr,5,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00505,4,44,505,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
semantic_mmr,5,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00590,5,48,590,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
role,5,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00001,1,8,1,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
role,5,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00019,2,8,19,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
role,5,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00048,3,12,48,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
role,5,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00055,4,12,55,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
role,5,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00105,5,14,105,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
graph_no_cf_strict,5,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00055,1,12,55,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
graph_no_cf_strict,5,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00418,2,40,418,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
graph_no_cf_strict,5,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00451,3,42,451,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
graph_no_cf_strict,5,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00523,4,45,523,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
graph_no_cf_strict,5,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00582,5,48,582,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
c2ges_full,5,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00055,1,12,55,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
c2ges_full,5,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00418,2,40,418,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
c2ges_full,5,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00446,3,42,446,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
c2ges_full,5,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00451,4,42,451,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
c2ges_full,5,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00582,5,48,582,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
lead,10,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00001,1,8,1,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
lead,10,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00002,2,8,2,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
lead,10,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00003,3,8,3,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
lead,10,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00004,4,8,4,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
lead,10,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00005,5,8,5,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
lead,10,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00006,6,8,6,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
lead,10,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00007,7,8,7,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
lead,10,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00008,8,8,8,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
lead,10,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00009,9,8,9,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
lead,10,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00010,10,8,10,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
centroid,10,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00127,1,15,127,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
centroid,10,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00446,2,42,446,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
centroid,10,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00451,3,42,451,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
centroid,10,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00476,4,43,476,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
centroid,10,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00526,5,45,526,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
centroid,10,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00544,6,46,544,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
centroid,10,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00562,7,47,562,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
centroid,10,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00567,8,47,567,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
centroid,10,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00574,9,47,574,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
centroid,10,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00583,10,48,583,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
textrank,10,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00127,1,15,127,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
textrank,10,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00446,2,42,446,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
textrank,10,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00451,3,42,451,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
textrank,10,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00476,4,43,476,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
textrank,10,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00544,5,46,544,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
textrank,10,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00562,6,47,562,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
textrank,10,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00567,7,47,567,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
textrank,10,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00574,8,47,574,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
textrank,10,nerc_001_november_13_wyoming_disturbance_report,November 13 Wyoming Disturbance Report,s00577,9,48,577,49,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf
