cap,horizon_hours,method,method_role,selection_objective,blend_mode,n_seeds,mean_alpha_head,mean_checkpoint_epoch,mean_ridge_lambda,mean_curtailment_mae,std_curtailment_mae,mean_curtailment_rmse,std_curtailment_rmse,mean_event_f1,std_event_f1,mean_onset_f1,std_onset_f1,mean_onset_mae,std_onset_mae,mean_stress_subset_mae,std_stress_subset_mae
0.60,1,GRU-LSR,proposed,mae,selected,10,0.00000000,16.5000,NA,0.0132670505,0.0002203757,0.0349569163,0.0005562329,0.8022417621,0.0097583525,0.1243122733,0.0053052239,0.0706267293,0.0014084029,0.0452673015,0.0007717976
0.60,1,GRU-LSR-Fixed0,mechanism_control,mae,fixed_0,10,0.00000000,16.5000,NA,0.0132670505,0.0002203757,0.0349569163,0.0005562329,0.8022417621,0.0097583525,0.1243122733,0.0053052239,0.0706267293,0.0014084029,0.0452673015,0.0007717976
0.60,1,GRU-LSR-Fixed0.5,mechanism_control,mae,fixed_0.5,10,0.50000000,16.5000,NA,0.0143675067,0.0015132689,0.0332218630,0.0017025280,0.8058361762,0.0287288664,0.1454834245,0.0053413135,0.0620073266,0.0027190503,0.0451370097,0.0033681648
0.60,1,GRU-LSR-Fixed1,mechanism_control,mae,fixed_1,10,1.00000000,16.5000,NA,0.0164419477,0.0032272113,0.0345256803,0.0042763200,0.7844176450,0.0639902522,0.1480357842,0.0114085185,0.0565642725,0.0037691479,0.0483599204,0.0074971247
0.60,1,Ridge,baseline,mae,not_applicable,1,NA,NA,1,0.0261055406,0.0000000000,0.0494415448,0.0000000000,0.4556213018,0.0000000000,0.1240740741,0.0000000000,0.0425039153,0.0000000000,0.0734940412,0.0000000000
0.60,1,DirectPolicyTransform-Privileged,privileged_control,not_applicable,not_applicable,1,NA,NA,NA,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.2361111111,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.60,1,Persistence,baseline,not_applicable,not_applicable,1,NA,NA,NA,0.0133698806,0.0000000000,0.0376433398,0.0000000000,0.8046875000,0.0000000000,0.0000000000,0.0000000000,0.0996983991,0.0000000000,0.0464064735,0.0000000000
0.60,1,Seasonal-24h,baseline,not_applicable,not_applicable,1,NA,NA,NA,0.0426413500,0.0000000000,0.0950255570,0.0000000000,0.3874755382,0.0000000000,0.0845070423,0.0000000000,0.0914930097,0.0000000000,0.1052450037,0.0000000000
0.60,1,GRU-LSR,proposed,onset_f1,selected,10,1.00000000,5.0000,NA,0.0214510578,0.0015328531,0.0412005818,0.0027555548,0.6904075619,0.0763622707,0.1275852604,0.0044611945,0.0534671637,0.0023760454,0.0595660838,0.0046945063
0.60,1,GRU-LSR-Fixed0,mechanism_control,onset_f1,fixed_0,10,0.00000000,5.0000,NA,0.0135202949,0.0001455283,0.0354345203,0.0003374626,0.7958915143,0.0076384350,0.1241494596,0.0037902186,0.0711225697,0.0012516682,0.0460576068,0.0005721112
0.60,1,GRU-LSR-Fixed0.5,mechanism_control,onset_f1,fixed_0.5,10,0.50000000,5.0000,NA,0.0168000648,0.0006524621,0.0360450003,0.0010289395,0.7622305296,0.0284356515,0.1477397963,0.0052300040,0.0594458357,0.0019099585,0.0503859251,0.0019593249
0.60,1,GRU-LSR-Fixed1,mechanism_control,onset_f1,fixed_1,10,1.00000000,5.0000,NA,0.0214510578,0.0015328531,0.0412005818,0.0027555548,0.6904075619,0.0763622707,0.1275852604,0.0044611945,0.0534671637,0.0023760454,0.0595660838,0.0046945063
0.60,1,Ridge,baseline,onset_f1,not_applicable,1,NA,NA,1e-06,0.0318471111,0.0000000000,0.0640610102,0.0000000000,0.5067385445,0.0000000000,0.1125319693,0.0000000000,0.0501367134,0.0000000000,0.0844399805,0.0000000000
