run_namespace,cap,horizon_hours,selection_objective,condition_id,seed_index,expected_count,observed_count,execution_status,scientific_support_status,comparable_forecast_row,ledger_status
p1_ieee_access_upgrade_v2,0.60,1,mae,Ridge,deterministic,1,1,completed,onset_diagnostic_only_no_pretest_support,true,complete
p1_ieee_access_upgrade_v2,0.60,1,mae,dlinear_head,0,1,1,completed,onset_diagnostic_only_no_pretest_support,true,complete
p1_ieee_access_upgrade_v2,0.60,1,mae,dlinear_head,1,1,1,completed,onset_diagnostic_only_no_pretest_support,true,complete
p1_ieee_access_upgrade_v2,0.60,1,mae,dlinear_head,2,1,1,completed,onset_diagnostic_only_no_pretest_support,true,complete
p1_ieee_access_upgrade_v2,0.60,1,mae,dlinear_head,3,1,1,completed,onset_diagnostic_only_no_pretest_support,true,complete
p1_ieee_access_upgrade_v2,0.60,1,mae,dlinear_head,4,1,1,completed,onset_diagnostic_only_no_pretest_support,true,complete
p1_ieee_access_upgrade_v2,0.60,1,mae,dlinear_head,5,1,1,completed,onset_diagnostic_only_no_pretest_support,true,complete
p1_ieee_access_upgrade_v2,0.60,1,mae,dlinear_head,6,1,1,completed,onset_diagnostic_only_no_pretest_support,true,complete
p1_ieee_access_upgrade_v2,0.60,1,mae,dlinear_head,7,1,1,completed,onset_diagnostic_only_no_pretest_support,true,complete
p1_ieee_access_upgrade_v2,0.60,1,mae,dlinear_head,8,1,1,completed,onset_diagnostic_only_no_pretest_support,true,complete
p1_ieee_access_upgrade_v2,0.60,1,mae,dlinear_head,9,1,1,completed,onset_diagnostic_only_no_pretest_support,true,complete
p1_ieee_access_upgrade_v2,0.60,1,mae,gru_head,0,1,1,completed,onset_diagnostic_only_no_pretest_support,true,complete
p1_ieee_access_upgrade_v2,0.60,1,mae,gru_head,1,1,1,completed,onset_diagnostic_only_no_pretest_support,true,complete
p1_ieee_access_upgrade_v2,0.60,1,mae,gru_head,2,1,1,completed,onset_diagnostic_only_no_pretest_support,true,complete
p1_ieee_access_upgrade_v2,0.60,1,mae,gru_head,3,1,1,completed,onset_diagnostic_only_no_pretest_support,true,complete
p1_ieee_access_upgrade_v2,0.60,1,mae,gru_head,4,1,1,completed,onset_diagnostic_only_no_pretest_support,true,complete
p1_ieee_access_upgrade_v2,0.60,1,mae,gru_head,5,1,1,completed,onset_diagnostic_only_no_pretest_support,true,complete
p1_ieee_access_upgrade_v2,0.60,1,mae,gru_head,6,1,1,completed,onset_diagnostic_only_no_pretest_support,true,complete
p1_ieee_access_upgrade_v2,0.60,1,mae,gru_head,7,1,1,completed,onset_diagnostic_only_no_pretest_support,true,complete
p1_ieee_access_upgrade_v2,0.60,1,mae,gru_head,8,1,1,completed,onset_diagnostic_only_no_pretest_support,true,complete
p1_ieee_access_upgrade_v2,0.60,1,mae,gru_head,9,1,1,completed,onset_diagnostic_only_no_pretest_support,true,complete
p1_ieee_access_upgrade_v2,0.60,1,mae,gru_learned_k16_retrieval,0,1,1,completed,onset_diagnostic_only_no_pretest_support,true,complete
p1_ieee_access_upgrade_v2,0.60,1,mae,gru_learned_k16_retrieval,1,1,1,completed,onset_diagnostic_only_no_pretest_support,true,complete
p1_ieee_access_upgrade_v2,0.60,1,mae,gru_learned_k16_retrieval,2,1,1,completed,onset_diagnostic_only_no_pretest_support,true,complete
p1_ieee_access_upgrade_v2,0.60,1,mae,gru_learned_k16_retrieval,3,1,1,completed,onset_diagnostic_only_no_pretest_support,true,complete
p1_ieee_access_upgrade_v2,0.60,1,mae,gru_learned_k16_retrieval,4,1,1,completed,onset_diagnostic_only_no_pretest_support,true,complete
p1_ieee_access_upgrade_v2,0.60,1,mae,gru_learned_k16_retrieval,5,1,1,completed,onset_diagnostic_only_no_pretest_support,true,complete
p1_ieee_access_upgrade_v2,0.60,1,mae,gru_learned_k16_retrieval,6,1,1,completed,onset_diagnostic_only_no_pretest_support,true,complete
p1_ieee_access_upgrade_v2,0.60,1,mae,gru_learned_k16_retrieval,7,1,1,completed,onset_diagnostic_only_no_pretest_support,true,complete
p1_ieee_access_upgrade_v2,0.60,1,mae,gru_learned_k16_retrieval,8,1,1,completed,onset_diagnostic_only_no_pretest_support,true,complete
p1_ieee_access_upgrade_v2,0.60,1,mae,gru_learned_k16_retrieval,9,1,1,completed,onset_diagnostic_only_no_pretest_support,true,complete
p1_ieee_access_upgrade_v2,0.60,1,mae,gru_learned_k32_retrieval,0,1,1,completed,onset_diagnostic_only_no_pretest_support,true,complete
p1_ieee_access_upgrade_v2,0.60,1,mae,gru_learned_k32_retrieval,1,1,1,completed,onset_diagnostic_only_no_pretest_support,true,complete
p1_ieee_access_upgrade_v2,0.60,1,mae,gru_learned_k32_retrieval,2,1,1,completed,onset_diagnostic_only_no_pretest_support,true,complete
p1_ieee_access_upgrade_v2,0.60,1,mae,gru_learned_k32_retrieval,3,1,1,completed,onset_diagnostic_only_no_pretest_support,true,complete
p1_ieee_access_upgrade_v2,0.60,1,mae,gru_learned_k32_retrieval,4,1,1,completed,onset_diagnostic_only_no_pretest_support,true,complete
p1_ieee_access_upgrade_v2,0.60,1,mae,gru_learned_k32_retrieval,5,1,1,completed,onset_diagnostic_only_no_pretest_support,true,complete
p1_ieee_access_upgrade_v2,0.60,1,mae,gru_learned_k32_retrieval,6,1,1,completed,onset_diagnostic_only_no_pretest_support,true,complete
p1_ieee_access_upgrade_v2,0.60,1,mae,gru_learned_k32_retrieval,7,1,1,completed,onset_diagnostic_only_no_pretest_support,true,complete
p1_ieee_access_upgrade_v2,0.60,1,mae,gru_learned_k32_retrieval,8,1,1,completed,onset_diagnostic_only_no_pretest_support,true,complete
p1_ieee_access_upgrade_v2,0.60,1,mae,gru_learned_k32_retrieval,9,1,1,completed,onset_diagnostic_only_no_pretest_support,true,complete
p1_ieee_access_upgrade_v2,0.60,1,mae,gru_learned_k4_retrieval,0,1,1,completed,onset_diagnostic_only_no_pretest_support,true,complete
p1_ieee_access_upgrade_v2,0.60,1,mae,gru_learned_k4_retrieval,1,1,1,completed,onset_diagnostic_only_no_pretest_support,true,complete
p1_ieee_access_upgrade_v2,0.60,1,mae,gru_learned_k4_retrieval,2,1,1,completed,onset_diagnostic_only_no_pretest_support,true,complete
