cap,horizon_hours,method,selection_objective,blend_mode,n_seeds,mean_curtailment_mae,delta_vs_cap_0.70_curtailment_mae,mean_onset_f1,delta_vs_cap_0.70_onset_f1,mean_onset_mae,delta_vs_cap_0.70_onset_mae
0.60,1,DirectPolicyTransform-Privileged,not_applicable,not_applicable,1,0.0000000000,0.0000000000,0.2361111111,-0.0972222222,0.0000000000,0.0000000000
0.70,1,DirectPolicyTransform-Privileged,not_applicable,not_applicable,1,0.0000000000,0.0000000000,0.3333333333,0.0000000000,0.0000000000,0.0000000000
0.80,1,DirectPolicyTransform-Privileged,not_applicable,not_applicable,1,0.0000000000,0.0000000000,0.3924050633,0.0590717300,0.0000000000,0.0000000000
0.60,1,GRU-LSR,mae,selected,10,0.0132670505,0.0054931373,0.1243122733,-0.0298526971,0.0706267293,0.0216188113
0.70,1,GRU-LSR,mae,selected,10,0.0077739132,0.0000000000,0.1541649704,0.0000000000,0.0490079180,0.0000000000
0.80,1,GRU-LSR,mae,selected,10,0.0035605614,-0.0042133518,0.1246927137,-0.0294722567,0.0484792678,-0.0005286502
0.60,1,GRU-LSR,onset_f1,selected,10,0.0214510578,0.0062778401,0.1275852604,-0.0121913586,0.0534671637,0.0103697577
0.70,1,GRU-LSR,onset_f1,selected,10,0.0151732177,0.0000000000,0.1397766190,0.0000000000,0.0430974060,0.0000000000
0.80,1,GRU-LSR,onset_f1,selected,10,0.0079546881,-0.0072185296,0.1266609926,-0.0131156264,0.0385354014,-0.0045620046
0.60,1,GRU-LSR-Fixed0,mae,fixed_0,10,0.0132670505,0.0054931373,0.1243122733,-0.0298526971,0.0706267293,0.0216188113
0.70,1,GRU-LSR-Fixed0,mae,fixed_0,10,0.0077739132,0.0000000000,0.1541649704,0.0000000000,0.0490079180,0.0000000000
0.80,1,GRU-LSR-Fixed0,mae,fixed_0,10,0.0035605614,-0.0042133518,0.1246927137,-0.0294722567,0.0484792678,-0.0005286502
0.60,1,GRU-LSR-Fixed0,onset_f1,fixed_0,10,0.0135202949,0.0056162095,0.1241494596,-0.0313376105,0.0711225697,0.0213153458
0.70,1,GRU-LSR-Fixed0,onset_f1,fixed_0,10,0.0079040854,0.0000000000,0.1554870701,0.0000000000,0.0498072239,0.0000000000
0.80,1,GRU-LSR-Fixed0,onset_f1,fixed_0,10,0.0035815705,-0.0043225149,0.1243592027,-0.0311278674,0.0483788212,-0.0014284027
0.60,1,GRU-LSR-Fixed0.5,mae,fixed_0.5,10,0.0143675067,0.0043233762,0.1454834245,-0.0211886799,0.0620073266,0.0180408090
0.70,1,GRU-LSR-Fixed0.5,mae,fixed_0.5,10,0.0100441305,0.0000000000,0.1666721044,0.0000000000,0.0439665176,0.0000000000
0.80,1,GRU-LSR-Fixed0.5,mae,fixed_0.5,10,0.0052651375,-0.0047789930,0.1384975972,-0.0281745072,0.0412784002,-0.0026881174
0.60,1,GRU-LSR-Fixed0.5,onset_f1,fixed_0.5,10,0.0168000648,0.0055375087,0.1477397963,-0.0164555325,0.0594458357,0.0157290793
0.70,1,GRU-LSR-Fixed0.5,onset_f1,fixed_0.5,10,0.0112625561,0.0000000000,0.1641953288,0.0000000000,0.0437167564,0.0000000000
0.80,1,GRU-LSR-Fixed0.5,onset_f1,fixed_0.5,10,0.0056938210,-0.0055687351,0.1403135340,-0.0238817948,0.0427346346,-0.0009821218
0.60,1,GRU-LSR-Fixed1,mae,fixed_1,10,0.0164419477,0.0037073454,0.1480357842,-0.0111613268,0.0565642725,0.0141134878
0.70,1,GRU-LSR-Fixed1,mae,fixed_1,10,0.0127346023,0.0000000000,0.1591971110,0.0000000000,0.0424507847,0.0000000000
0.80,1,GRU-LSR-Fixed1,mae,fixed_1,10,0.0070979718,-0.0056366305,0.1405312802,-0.0186658308,0.0355156435,-0.0069351412
0.60,1,GRU-LSR-Fixed1,onset_f1,fixed_1,10,0.0214510578,0.0062778401,0.1275852604,-0.0121913586,0.0534671637,0.0103697577
0.70,1,GRU-LSR-Fixed1,onset_f1,fixed_1,10,0.0151732177,0.0000000000,0.1397766190,0.0000000000,0.0430974060,0.0000000000
0.80,1,GRU-LSR-Fixed1,onset_f1,fixed_1,10,0.0079546881,-0.0072185296,0.1266609926,-0.0131156264,0.0385354014,-0.0045620046
0.60,1,Persistence,not_applicable,not_applicable,1,0.0133698806,0.0064619387,0.0000000000,0.0000000000,0.0996983991,0.0321661532
0.70,1,Persistence,not_applicable,not_applicable,1,0.0069079419,0.0000000000,0.0000000000,0.0000000000,0.0675322459,0.0000000000
0.80,1,Persistence,not_applicable,not_applicable,1,0.0028058103,-0.0041021316,0.0000000000,0.0000000000,0.0613896163,-0.0061426296
0.60,1,Ridge,mae,not_applicable,1,0.0261055406,0.0084220204,0.1240740741,-0.0005012373,0.0425039153,0.0045752510
0.70,1,Ridge,mae,not_applicable,1,0.0176835202,0.0000000000,0.1245753114,0.0000000000,0.0379286643,0.0000000000
0.80,1,Ridge,mae,not_applicable,1,0.0093962032,-0.0082873170,0.1413427562,0.0167674448,0.0463915506,0.0084628863
0.60,1,Ridge,onset_f1,not_applicable,1,0.0318471111,0.0114798224,0.1125319693,0.0009040623,0.0501367134,0.0053315761
0.70,1,Ridge,onset_f1,not_applicable,1,0.0203672887,0.0000000000,0.1116279070,0.0000000000,0.0448051373,0.0000000000
0.80,1,Ridge,onset_f1,not_applicable,1,0.0093962032,-0.0109710855,0.1413427562,0.0297148492,0.0463915506,0.0015864133
0.60,1,Seasonal-24h,not_applicable,not_applicable,1,0.0426413500,0.0222747315,0.0845070423,-0.0220018334,0.0914930097,0.0210573398
0.70,1,Seasonal-24h,not_applicable,not_applicable,1,0.0203666185,0.0000000000,0.1065088757,0.0000000000,0.0704356699,0.0000000000
0.80,1,Seasonal-24h,not_applicable,not_applicable,1,0.0079742550,-0.0123923635,0.1139240506,0.0074151749,0.0714762886,0.0010406187
0.60,24,DirectPolicyTransform-Privileged,not_applicable,not_applicable,1,0.0000000000,0.0000000000,0.6822308690,-0.0705043608,0.0000000000,0.0000000000
0.70,24,DirectPolicyTransform-Privileged,not_applicable,not_applicable,1,0.0000000000,0.0000000000,0.7527352298,0.0000000000,0.0000000000,0.0000000000
0.80,24,DirectPolicyTransform-Privileged,not_applicable,not_applicable,1,0.0000000000,0.0000000000,0.8075117371,0.0547765073,0.0000000000,0.0000000000
0.60,24,GRU-LSR,mae,selected,10,0.0438427457,0.0230741769,0.2108713853,-0.0121451665,0.1331124772,0.0227611109
0.70,24,GRU-LSR,mae,selected,10,0.0207685688,0.0000000000,0.2230165518,0.0000000000,0.1103513663,0.0000000000
0.80,24,GRU-LSR,mae,selected,10,0.0079053461,-0.0128632227,0.1921096084,-0.0309069434,0.0983368865,-0.0120144798
0.60,24,GRU-LSR,onset_f1,selected,10,0.0450134514,0.0223667025,0.2517383632,0.0330498001,0.1243806811,0.0143991352
0.70,24,GRU-LSR,onset_f1,selected,10,0.0226467489,0.0000000000,0.2186885631,0.0000000000,0.1099815459,0.0000000000
0.80,24,GRU-LSR,onset_f1,selected,10,0.0092918207,-0.0133549282,0.1335015835,-0.0851869796,0.1000693373,-0.0099122086
0.60,24,GRU-LSR-Fixed0,mae,fixed_0,10,0.0438427457,0.0230741769,0.2108713853,-0.0121451665,0.1331124772,0.0227611109
