cap,horizon_hours,condition,selection_objective,n_seeds,mean_alpha_head,mean_curtailment_mae,std_curtailment_mae,mean_onset_f1,mean_onset_mae
0.70,1,Direct transform (privileged),not_applicable,1,NA,0.0000000000,0.0000000000,0.3333333333,0.0000000000
0.70,1,Persistence,not_applicable,1,NA,0.0069079419,0.0000000000,0.0000000000,0.0675322459
0.70,1,GRU-LSR selected (retrieval-only),mae,10,0.00000000,0.0077739132,0.0001651497,0.1541649704,0.0490079180
0.70,1,GRU-LSR fixed 0.5,mae,10,0.50000000,0.0100441305,0.0007490173,0.1666721044,0.0439665176
0.70,1,GRU head (alpha=1),mae,10,1.00000000,0.0127346023,0.0015202760,0.1591971110,0.0424507847
0.70,1,Ridge,mae,1,NA,0.0176835202,0.0000000000,0.1245753114,0.0379286643
0.70,1,Seasonal-24h,not_applicable,1,NA,0.0203666185,0.0000000000,0.1065088757,0.0704356699
0.70,24,Direct transform (privileged),not_applicable,1,NA,0.0000000000,0.0000000000,0.7527352298,0.0000000000
0.70,24,Persistence,not_applicable,1,NA,0.0205465079,0.0000000000,0.0000000000,0.1322832706
0.70,24,Seasonal-24h,not_applicable,1,NA,0.0205465079,0.0000000000,0.0000000000,0.1322832706
0.70,24,GRU-LSR selected (retrieval-only),mae,10,0.00000000,0.0207685688,0.0002313779,0.2230165518,0.1103513663
0.70,24,GRU-LSR fixed 0.5,mae,10,0.50000000,0.0217429152,0.0005897340,0.2320694168,0.1091213012
0.70,24,Ridge,mae,1,NA,0.0226168227,0.0000000000,0.2322880372,0.1071575464
0.70,24,GRU head (alpha=1),mae,10,1.00000000,0.0229691227,0.0011731849,0.2184576818,0.1092603028
