run_namespace,cap,horizon_hours,selection_objective,contrast_id,block_length,repetitions,rng,rng_seed,n_test_targets,execution_status,unresampled_mean,percentile_2_5,percentile_97_5,interval_label,analysis_scope,resampling_unit,decision_role,prohibited_extension
p1_ieee_access_upgrade_v2,0.70,1,mae,selected_learned_vs_gru_head,24,5000,NumPy Generator(PCG64),610024,2627,completed,-0.00496068912015,-0.0056806732701,-0.00427678721412,descriptive moving-block sensitivity on one observed sequence,conditional descriptive sensitivity on paired hourly loss differences from the single observed test sequence,chronological series of the across-seed mean paired hourly absolute-loss difference,does not enter Holm decisions and does not override the paired-seed analysis,confidence interval across years or systems; independent hourly replication; deployment evidence
p1_ieee_access_upgrade_v2,0.70,1,mae,selected_learned_vs_gru_head,168,5000,NumPy Generator(PCG64),610168,2627,completed,-0.00496068912015,-0.00586826747751,-0.00425381355298,descriptive moving-block sensitivity on one observed sequence,conditional descriptive sensitivity on paired hourly loss differences from the single observed test sequence,chronological series of the across-seed mean paired hourly absolute-loss difference,does not enter Holm decisions and does not override the paired-seed analysis,confidence interval across years or systems; independent hourly replication; deployment evidence
p1_ieee_access_upgrade_v2,0.70,1,mae,learned_retrieval_vs_gru_head,24,5000,NumPy Generator(PCG64),610024,2627,completed,-0.00496068912015,-0.0056806732701,-0.00427678721412,descriptive moving-block sensitivity on one observed sequence,conditional descriptive sensitivity on paired hourly loss differences from the single observed test sequence,chronological series of the across-seed mean paired hourly absolute-loss difference,does not enter Holm decisions and does not override the paired-seed analysis,confidence interval across years or systems; independent hourly replication; deployment evidence
p1_ieee_access_upgrade_v2,0.70,1,mae,learned_retrieval_vs_gru_head,168,5000,NumPy Generator(PCG64),610168,2627,completed,-0.00496068912015,-0.00586826747751,-0.00425381355298,descriptive moving-block sensitivity on one observed sequence,conditional descriptive sensitivity on paired hourly loss differences from the single observed test sequence,chronological series of the across-seed mean paired hourly absolute-loss difference,does not enter Holm decisions and does not override the paired-seed analysis,confidence interval across years or systems; independent hourly replication; deployment evidence
p1_ieee_access_upgrade_v2,0.70,1,mae,fixed_half_vs_gru_head,24,5000,NumPy Generator(PCG64),610024,2627,completed,-0.00269047178893,-0.00306687829824,-0.00232152906248,descriptive moving-block sensitivity on one observed sequence,conditional descriptive sensitivity on paired hourly loss differences from the single observed test sequence,chronological series of the across-seed mean paired hourly absolute-loss difference,does not enter Holm decisions and does not override the paired-seed analysis,confidence interval across years or systems; independent hourly replication; deployment evidence
p1_ieee_access_upgrade_v2,0.70,1,mae,fixed_half_vs_gru_head,168,5000,NumPy Generator(PCG64),610168,2627,completed,-0.00269047178893,-0.00321200541227,-0.00226580421332,descriptive moving-block sensitivity on one observed sequence,conditional descriptive sensitivity on paired hourly loss differences from the single observed test sequence,chronological series of the across-seed mean paired hourly absolute-loss difference,does not enter Holm decisions and does not override the paired-seed analysis,confidence interval across years or systems; independent hourly replication; deployment evidence
p1_ieee_access_upgrade_v2,0.70,1,mae,learned_retrieval_vs_fixed_half,24,5000,NumPy Generator(PCG64),610024,2627,completed,-0.00227021733122,-0.00263364333276,-0.0019368878441,descriptive moving-block sensitivity on one observed sequence,conditional descriptive sensitivity on paired hourly loss differences from the single observed test sequence,chronological series of the across-seed mean paired hourly absolute-loss difference,does not enter Holm decisions and does not override the paired-seed analysis,confidence interval across years or systems; independent hourly replication; deployment evidence
p1_ieee_access_upgrade_v2,0.70,1,mae,learned_retrieval_vs_fixed_half,168,5000,NumPy Generator(PCG64),610168,2627,completed,-0.00227021733122,-0.00267706518704,-0.00195950996232,descriptive moving-block sensitivity on one observed sequence,conditional descriptive sensitivity on paired hourly loss differences from the single observed test sequence,chronological series of the across-seed mean paired hourly absolute-loss difference,does not enter Holm decisions and does not override the paired-seed analysis,confidence interval across years or systems; independent hourly replication; deployment evidence
p1_ieee_access_upgrade_v2,0.70,1,mae,learned_retrieval_vs_raw,24,5000,NumPy Generator(PCG64),610024,2627,completed,-0.00498574842276,-0.00691362804489,-0.0034179177092,descriptive moving-block sensitivity on one observed sequence,conditional descriptive sensitivity on paired hourly loss differences from the single observed test sequence,chronological series of the across-seed mean paired hourly absolute-loss difference,does not enter Holm decisions and does not override the paired-seed analysis,confidence interval across years or systems; independent hourly replication; deployment evidence
p1_ieee_access_upgrade_v2,0.70,1,mae,learned_retrieval_vs_raw,168,5000,NumPy Generator(PCG64),610168,2627,completed,-0.00498574842276,-0.00778500353736,-0.00296113029706,descriptive moving-block sensitivity on one observed sequence,conditional descriptive sensitivity on paired hourly loss differences from the single observed test sequence,chronological series of the across-seed mean paired hourly absolute-loss difference,does not enter Holm decisions and does not override the paired-seed analysis,confidence interval across years or systems; independent hourly replication; deployment evidence
p1_ieee_access_upgrade_v2,0.70,1,mae,learned_retrieval_vs_randomized,24,5000,NumPy Generator(PCG64),610024,2627,completed,-0.000268116204338,-0.00041140793557,-0.000153439493627,descriptive moving-block sensitivity on one observed sequence,conditional descriptive sensitivity on paired hourly loss differences from the single observed test sequence,chronological series of the across-seed mean paired hourly absolute-loss difference,does not enter Holm decisions and does not override the paired-seed analysis,confidence interval across years or systems; independent hourly replication; deployment evidence
p1_ieee_access_upgrade_v2,0.70,1,mae,learned_retrieval_vs_randomized,168,5000,NumPy Generator(PCG64),610168,2627,completed,-0.000268116204338,-0.000485311448595,-0.000141031728972,descriptive moving-block sensitivity on one observed sequence,conditional descriptive sensitivity on paired hourly loss differences from the single observed test sequence,chronological series of the across-seed mean paired hourly absolute-loss difference,does not enter Holm decisions and does not override the paired-seed analysis,confidence interval across years or systems; independent hourly replication; deployment evidence
p1_ieee_access_upgrade_v2,0.70,1,mae,gru_head_vs_lstm_head,24,5000,NumPy Generator(PCG64),610024,2627,completed,0.00234867248207,0.00171117002168,0.00308485306694,descriptive moving-block sensitivity on one observed sequence,conditional descriptive sensitivity on paired hourly loss differences from the single observed test sequence,chronological series of the across-seed mean paired hourly absolute-loss difference,does not enter Holm decisions and does not override the paired-seed analysis,confidence interval across years or systems; independent hourly replication; deployment evidence
p1_ieee_access_upgrade_v2,0.70,1,mae,gru_head_vs_lstm_head,168,5000,NumPy Generator(PCG64),610168,2627,completed,0.00234867248207,0.00150869279735,0.00347167499103,descriptive moving-block sensitivity on one observed sequence,conditional descriptive sensitivity on paired hourly loss differences from the single observed test sequence,chronological series of the across-seed mean paired hourly absolute-loss difference,does not enter Holm decisions and does not override the paired-seed analysis,confidence interval across years or systems; independent hourly replication; deployment evidence
p1_ieee_access_upgrade_v2,0.70,1,mae,gru_head_vs_dlinear_head,24,5000,NumPy Generator(PCG64),610024,2627,completed,-0.0129372525467,-0.0154029288971,-0.0108938892622,descriptive moving-block sensitivity on one observed sequence,conditional descriptive sensitivity on paired hourly loss differences from the single observed test sequence,chronological series of the across-seed mean paired hourly absolute-loss difference,does not enter Holm decisions and does not override the paired-seed analysis,confidence interval across years or systems; independent hourly replication; deployment evidence
