method,rolling_origin,seed_count,mape,wape,mae,rmse,smape
CSA-Euclidean-Shared,2017-01-01T00:00:00Z,5,0.0412347151,0.0412060257,1653.9526857891,2572.4927439027,0.0417552360
CSA-Euclidean-Shared,2017-04-01T00:00:00Z,5,0.0534593542,0.0508767398,1628.7568482414,2757.5803476491,0.0516137410
CSA-Euclidean-Shared,2017-07-01T00:00:00Z,5,0.0316466390,0.0319755952,1053.7272552490,1521.7717815217,0.0315533192
CSA-Euclidean-Shared,2017-10-01T00:00:00Z,5,0.0286299711,0.0299907441,984.1972968692,1645.6440452194,0.0286967585
CSA-Euclidean-Shared,2018-01-01T00:00:00Z,5,0.0386994254,0.0390553306,1458.8316584027,2465.6939784406,0.0397442038
CSA-Euclidean-Shared,2018-04-01T00:00:00Z,5,0.0419705868,0.0412980026,1337.1872253418,2373.8745661027,0.0409510233
CSA-Euclidean-Shared,2018-07-01T00:00:00Z,5,0.0197407377,0.0198690994,662.1471884591,948.5524013568,0.0198298598
CSA-Euclidean-Shared,2018-10-01T00:00:00Z,5,0.0378181298,0.0400428138,1318.7193975540,2306.3987365448,0.0381157882
CSA-FixedScale-Shared,2017-01-01T00:00:00Z,5,0.0411262326,0.0410993875,1649.6723743257,2570.4399015588,0.0416712230
CSA-FixedScale-Shared,2017-04-01T00:00:00Z,5,0.0534736247,0.0508443601,1627.7202498663,2758.6336569378,0.0516156363
CSA-FixedScale-Shared,2017-07-01T00:00:00Z,5,0.0314772583,0.0317893383,1047.5893241277,1512.2512654480,0.0313977137
CSA-FixedScale-Shared,2017-10-01T00:00:00Z,5,0.0286248186,0.0299839161,983.9732226175,1641.7833258509,0.0286771921
CSA-FixedScale-Shared,2018-01-01T00:00:00Z,5,0.0385718478,0.0389205886,1453.7986477806,2455.6894252637,0.0395910571
CSA-FixedScale-Shared,2018-04-01T00:00:00Z,5,0.0419367156,0.0412731166,1336.3814410982,2381.7762634298,0.0409095113
CSA-FixedScale-Shared,2018-07-01T00:00:00Z,5,0.0198378076,0.0199797779,665.8356039865,953.9381328898,0.0199338183
CSA-FixedScale-Shared,2018-10-01T00:00:00Z,5,0.0377477648,0.0399557295,1315.8514752585,2302.4735924924,0.0380314805
CSA-Poincare-IndependentEncoder,2017-01-01T00:00:00Z,5,0.0466356383,0.0471685982,1893.2820692759,2769.3461916495,0.0471761004
CSA-Poincare-IndependentEncoder,2017-04-01T00:00:00Z,5,0.0582779845,0.0557196718,1783.7974156940,2917.4359072400,0.0565977539
CSA-Poincare-IndependentEncoder,2017-07-01T00:00:00Z,5,0.0412598674,0.0426228700,1404.5987098330,2010.6475356897,0.0415774448
CSA-Poincare-IndependentEncoder,2017-10-01T00:00:00Z,5,0.0351085472,0.0367029498,1204.4697474404,1930.2326473730,0.0354360910
CSA-Poincare-IndependentEncoder,2018-01-01T00:00:00Z,5,0.0425836217,0.0432586160,1615.8367516412,2674.5760823780,0.0440010662
CSA-Poincare-IndependentEncoder,2018-04-01T00:00:00Z,5,0.0435894859,0.0427610175,1384.5581563798,2404.4393655584,0.0427288663
