dataset,horizon_positions,rolling_origin,rolling_origin_index,method,method_role,seed,epochs_completed,best_epoch,best_validation_mse,optimizer_steps,parameter_count,fit_unique_origins,validation_unique_origins,test_unique_origins,test_target_count,mape,wape,mae,rmse,smape,runtime_s
OPSD time_series_60min_singleindex,24,2017-01-01T00:00:00Z,17526,CSA-Poincare-Shared,proposed,11,8,8,0.0934345350,120,29815,4911,867,672,4032,0.0409600797,0.0411602649,1652.1159106058,2568.8951101389,0.0417995881,1.2456
OPSD time_series_60min_singleindex,24,2017-01-01T00:00:00Z,17526,CSA-Poincare-Shared,proposed,23,8,8,0.0929513425,120,29815,4911,867,672,4032,0.0401113371,0.0404045835,1621.7839074513,2532.3928977309,0.0404392076,0.9351
OPSD time_series_60min_singleindex,24,2017-01-01T00:00:00Z,17526,CSA-Poincare-Shared,proposed,47,8,8,0.0981241539,120,29815,4911,867,672,4032,0.0407733369,0.0403829654,1620.9161849249,2538.6794449281,0.0413057888,0.9219
OPSD time_series_60min_singleindex,24,2017-01-01T00:00:00Z,17526,CSA-Poincare-Shared,proposed,59,8,8,0.0923116952,120,29815,4911,867,672,4032,0.0420376559,0.0419627148,1684.3251347617,2609.3865782228,0.0425611047,0.9138
OPSD time_series_60min_singleindex,24,2017-01-01T00:00:00Z,17526,CSA-Poincare-Shared,proposed,71,8,8,0.0951651335,120,29815,4911,867,672,4032,0.0421373688,0.0418973029,1681.6995902894,2611.7664241596,0.0425539506,0.9128
OPSD time_series_60min_singleindex,24,2017-01-01T00:00:00Z,17526,TargetSelfContext-Matched,capacity_compute_matched_control,11,8,8,0.0925064906,120,29815,4911,867,672,4032,0.0403709149,0.0400777177,1608.6639658610,2567.5818948607,0.0413272322,1.0161
OPSD time_series_60min_singleindex,24,2017-01-01T00:00:00Z,17526,TargetSelfContext-Matched,capacity_compute_matched_control,23,8,8,0.0941284746,120,29815,4911,867,672,4032,0.0393196143,0.0396143745,1590.0660131545,2528.8380222534,0.0399670834,1.0260
OPSD time_series_60min_singleindex,24,2017-01-01T00:00:00Z,17526,TargetSelfContext-Matched,capacity_compute_matched_control,47,8,8,0.0990978852,120,29815,4911,867,672,4032,0.0408257130,0.0407890791,1637.2170281789,2590.2003675648,0.0415641560,0.9636
OPSD time_series_60min_singleindex,24,2017-01-01T00:00:00Z,17526,TargetSelfContext-Matched,capacity_compute_matched_control,59,8,8,0.0929856002,120,29815,4911,867,672,4032,0.0403099931,0.0412645188,1656.3005170065,2659.5328958612,0.0413575480,1.0656
OPSD time_series_60min_singleindex,24,2017-01-01T00:00:00Z,17526,TargetSelfContext-Matched,capacity_compute_matched_control,71,8,8,0.0937499404,120,29815,4911,867,672,4032,0.0397392520,0.0395476182,1587.3865068224,2538.4895097708,0.0404967216,1.0639
OPSD time_series_60min_singleindex,24,2017-01-01T00:00:00Z,17526,UniformCrossSeries-Matched,informative_cross_series_control,11,8,8,0.0932043642,120,29815,4911,867,672,4032,0.0410071545,0.0412337798,1655.0666949560,2565.2696769047,0.0417841461,1.0172
OPSD time_series_60min_singleindex,24,2017-01-01T00:00:00Z,17526,UniformCrossSeries-Matched,informative_cross_series_control,23,8,8,0.0929268450,120,29815,4911,867,672,4032,0.0402966268,0.0406496859,1631.6219765799,2537.0078873123,0.0406022672,1.0449
OPSD time_series_60min_singleindex,24,2017-01-01T00:00:00Z,17526,UniformCrossSeries-Matched,informative_cross_series_control,47,8,8,0.0977585688,120,29815,4911,867,672,4032,0.0408726242,0.0405005433,1625.6355992877,2541.4055594819,0.0414013197,1.0185
OPSD time_series_60min_singleindex,24,2017-01-01T00:00:00Z,17526,UniformCrossSeries-Matched,informative_cross_series_control,59,8,8,0.0922458097,120,29815,4911,867,672,4032,0.0417532438,0.0417926408,1677.4986017621,2605.7788954797,0.0423017155,0.9782
OPSD time_series_60min_singleindex,24,2017-01-01T00:00:00Z,17526,UniformCrossSeries-Matched,informative_cross_series_control,71,8,8,0.0951540768,120,29815,4911,867,672,4032,0.0422463619,0.0418957823,1681.6385556176,2610.7264753274,0.0426153129,0.9913
OPSD time_series_60min_singleindex,24,2017-01-01T00:00:00Z,17526,CSA-Euclidean-Shared,weight_form_control,11,8,8,0.0934511870,120,29815,4911,867,672,4032,0.0410772656,0.0412804363,1656.9394238184,2573.9055015915,0.0419040656,0.9313
OPSD time_series_60min_singleindex,24,2017-01-01T00:00:00Z,17526,CSA-Euclidean-Shared,weight_form_control,23,8,8,0.0929318443,120,29815,4911,867,672,4032,0.0402347229,0.0405214525,1626.4748653836,2532.6696033574,0.0405440154,0.8898
OPSD time_series_60min_singleindex,24,2017-01-01T00:00:00Z,17526,CSA-Euclidean-Shared,weight_form_control,47,8,8,0.0975411311,120,29815,4911,867,672,4032,0.0407793745,0.0404000173,1621.6006254166,2538.1687680258,0.0413107746,0.9121
OPSD time_series_60min_singleindex,24,2017-01-01T00:00:00Z,17526,CSA-Euclidean-Shared,weight_form_control,59,8,8,0.0922426581,120,29815,4911,867,672,4032,0.0418575082,0.0419035076,1681.9486386738,2605.4981054576,0.0423934775,0.9133
OPSD time_series_60min_singleindex,24,2017-01-01T00:00:00Z,17526,CSA-Euclidean-Shared,weight_form_control,71,8,8,0.0951144770,120,29815,4911,867,672,4032,0.0422247045,0.0419247150,1682.7998756530,2612.2217410813,0.0426238470,0.9677
OPSD time_series_60min_singleindex,24,2017-01-01T00:00:00Z,17526,CSA-FixedScale-Shared,weight_form_control,11,8,8,0.0933215693,120,29815,4911,867,672,4032,0.0408467515,0.0410235132,1646.6268838549,2562.7643506999,0.0416907620,0.9928
OPSD time_series_60min_singleindex,24,2017-01-01T00:00:00Z,17526,CSA-FixedScale-Shared,weight_form_control,23,8,8,0.0931523293,120,29815,4911,867,672,4032,0.0401075118,0.0403633017,1620.1269141303,2531.7800554470,0.0404444676,1.0348
OPSD time_series_60min_singleindex,24,2017-01-01T00:00:00Z,17526,CSA-FixedScale-Shared,weight_form_control,47,8,8,0.0980643779,120,29815,4911,867,672,4032,0.0407863358,0.0403837116,1620.9461362324,2541.5016742246,0.0413199052,1.0845
OPSD time_series_60min_singleindex,24,2017-01-01T00:00:00Z,17526,CSA-FixedScale-Shared,weight_form_control,59,8,8,0.0922488645,120,29815,4911,867,672,4032,0.0419222126,0.0419715454,1684.6795821417,2611.2974829081,0.0424835141,1.0851
OPSD time_series_60min_singleindex,24,2017-01-01T00:00:00Z,17526,CSA-FixedScale-Shared,weight_form_control,71,8,8,0.0950258449,120,29815,4911,867,672,4032,0.0419683512,0.0417548656,1675.9823552692,2604.8559445145,0.0424174659,1.0527
OPSD time_series_60min_singleindex,24,2017-01-01T00:00:00Z,17526,CSA-Poincare-IndependentEncoder,shared_encoder_control,11,8,8,0.1043203697,120,29815,4911,867,672,4032,0.0464594631,0.0467403893,1876.0943586561,2754.5391280130,0.0475132885,1.4351
OPSD time_series_60min_singleindex,24,2017-01-01T00:00:00Z,17526,CSA-Poincare-IndependentEncoder,shared_encoder_control,23,8,8,0.1103647053,120,29815,4911,867,672,4032,0.0476795955,0.0480561074,1928.9054550898,2822.3005730696,0.0484666557,1.3480
OPSD time_series_60min_singleindex,24,2017-01-01T00:00:00Z,17526,CSA-Poincare-IndependentEncoder,shared_encoder_control,47,8,8,0.1095899642,120,29815,4911,867,672,4032,0.0461601121,0.0474778706,1905.6958356585,2823.1950572796,0.0466799844,1.3660
OPSD time_series_60min_singleindex,24,2017-01-01T00:00:00Z,17526,CSA-Poincare-IndependentEncoder,shared_encoder_control,59,8,8,0.1154894531,120,29815,4911,867,672,4032,0.0476853383,0.0475888786,1910.1515423003,2739.4831864715,0.0475777432,1.3368
