rolling_origin_index,rolling_origin_utc,rolling_origin_processed_row_index,method,seed_count,mean_mape_within_origin,std_mape_across_seeds_conditional_on_origin,mean_wape_within_origin,std_wape_across_seeds_conditional_on_origin,dispersion_scope,mape_rank_within_origin
0,2017-01-01T00:00:00Z,17526,Target-self context,5,0.0401130975,0.0005878849,0.0402586617,0.0007494199,SD across optimization seeds conditional on this rolling-origin split,1
0,2017-01-01T00:00:00Z,17526,Fixed distance scale,5,0.0411262326,0.0008022125,0.0410993875,0.0007500137,SD across optimization seeds conditional on this rolling-origin split,2
0,2017-01-01T00:00:00Z,17526,CSA-LoadNet,5,0.0412039557,0.0008667525,0.0411615663,0.0007685036,SD across optimization seeds conditional on this rolling-origin split,3
0,2017-01-01T00:00:00Z,17526,Euclidean weights,5,0.0412347151,0.0008062351,0.0412060257,0.0007291814,SD across optimization seeds conditional on this rolling-origin split,4
0,2017-01-01T00:00:00Z,17526,Uniform cross-series,5,0.0412352022,0.0007673336,0.0412144864,0.0006378701,SD across optimization seeds conditional on this rolling-origin split,5
0,2017-01-01T00:00:00Z,17526,Independent encoders,5,0.0466356383,0.0010639685,0.0471685982,0.0008149681,SD across optimization seeds conditional on this rolling-origin split,6
1,2017-04-01T00:00:00Z,19673,Uniform cross-series,5,0.0534277976,0.0013054949,0.0508580402,0.0012544663,SD across optimization seeds conditional on this rolling-origin split,1
1,2017-04-01T00:00:00Z,19673,Euclidean weights,5,0.0534593542,0.0012508803,0.0508767398,0.0012110333,SD across optimization seeds conditional on this rolling-origin split,2
1,2017-04-01T00:00:00Z,19673,Fixed distance scale,5,0.0534736247,0.0013158942,0.0508443601,0.0012645045,SD across optimization seeds conditional on this rolling-origin split,3
1,2017-04-01T00:00:00Z,19673,CSA-LoadNet,5,0.0535058371,0.0012085725,0.0508883690,0.0011643822,SD across optimization seeds conditional on this rolling-origin split,4
1,2017-04-01T00:00:00Z,19673,Target-self context,5,0.0539244139,0.0009376468,0.0515583385,0.0009059530,SD across optimization seeds conditional on this rolling-origin split,5
1,2017-04-01T00:00:00Z,19673,Independent encoders,5,0.0582779845,0.0009322295,0.0557196718,0.0011763902,SD across optimization seeds conditional on this rolling-origin split,6
2,2017-07-01T00:00:00Z,21857,CSA-LoadNet,5,0.0314682425,0.0010402467,0.0317931015,0.0011300073,SD across optimization seeds conditional on this rolling-origin split,1
2,2017-07-01T00:00:00Z,21857,Fixed distance scale,5,0.0314772583,0.0011549441,0.0317893383,0.0012285587,SD across optimization seeds conditional on this rolling-origin split,2
2,2017-07-01T00:00:00Z,21857,Euclidean weights,5,0.0316466390,0.0010407502,0.0319755952,0.0011622135,SD across optimization seeds conditional on this rolling-origin split,3
2,2017-07-01T00:00:00Z,21857,Uniform cross-series,5,0.0319085681,0.0009451661,0.0323305895,0.0008748397,SD across optimization seeds conditional on this rolling-origin split,4
2,2017-07-01T00:00:00Z,21857,Target-self context,5,0.0323703337,0.0006593543,0.0325439915,0.0007009580,SD across optimization seeds conditional on this rolling-origin split,5
2,2017-07-01T00:00:00Z,21857,Independent encoders,5,0.0412598674,0.0019920657,0.0426228700,0.0026084242,SD across optimization seeds conditional on this rolling-origin split,6
3,2017-10-01T00:00:00Z,24065,Fixed distance scale,5,0.0286248186,0.0004039628,0.0299839161,0.0005297779,SD across optimization seeds conditional on this rolling-origin split,1
3,2017-10-01T00:00:00Z,24065,Euclidean weights,5,0.0286299711,0.0004031193,0.0299907441,0.0005434108,SD across optimization seeds conditional on this rolling-origin split,2
3,2017-10-01T00:00:00Z,24065,CSA-LoadNet,5,0.0286380095,0.0004355117,0.0300026590,0.0005668117,SD across optimization seeds conditional on this rolling-origin split,3
3,2017-10-01T00:00:00Z,24065,Uniform cross-series,5,0.0287005086,0.0003911392,0.0300617566,0.0005626014,SD across optimization seeds conditional on this rolling-origin split,4
3,2017-10-01T00:00:00Z,24065,Target-self context,5,0.0291903098,0.0011454209,0.0306603043,0.0012225086,SD across optimization seeds conditional on this rolling-origin split,5
3,2017-10-01T00:00:00Z,24065,Independent encoders,5,0.0351085472,0.0010095469,0.0367029498,0.0008931982,SD across optimization seeds conditional on this rolling-origin split,6
4,2018-01-01T00:00:00Z,26273,Target-self context,5,0.0382622537,0.0009987815,0.0386794484,0.0009384285,SD across optimization seeds conditional on this rolling-origin split,1
4,2018-01-01T00:00:00Z,26273,Fixed distance scale,5,0.0385718478,0.0010253915,0.0389205886,0.0011598536,SD across optimization seeds conditional on this rolling-origin split,2
4,2018-01-01T00:00:00Z,26273,CSA-LoadNet,5,0.0386497251,0.0010985604,0.0389953794,0.0012244246,SD across optimization seeds conditional on this rolling-origin split,3
4,2018-01-01T00:00:00Z,26273,Euclidean weights,5,0.0386994254,0.0011473174,0.0390553306,0.0012601618,SD across optimization seeds conditional on this rolling-origin split,4
4,2018-01-01T00:00:00Z,26273,Uniform cross-series,5,0.0387454719,0.0010902483,0.0390905790,0.0011862620,SD across optimization seeds conditional on this rolling-origin split,5
