configuration_id,method,method_role,seed_block_count,source_seed_rows,mean_legacy_hv_sampled_clip_ref110,mean_analytic_hv_ref110,mean_analytic_hv_ref105,mean_igd_plus_common_reference,mean_front_size,mean_runtime_s_provenance_only
base,Ablation-FixedDE,ablation,2,60,0.04109504083,0.0020767915,0.000425461,0.02339316983,38.58333333,0.09484775
base,Ablation-NoDER,ablation,2,60,0.04079131983,0.0027571685,0.0005896886667,0.007408672333,37.53333333,0.1222166667
base,Ablation-NoDiversity,ablation,2,60,0.02653071767,0.00114185,0.0002281178333,0.1081866118,8.95,0.1752566333
base,Ablation-NoRepair,ablation,2,60,0.03752061617,0.002056947333,0.000418173,0.022999332,39.33333333,0.05484098333
base,CARS-MODE,proposed,2,60,0.04084761233,0.0020859555,0.0004274813333,0.02304208983,38.7,0.09512661667
base,GA,baseline,2,60,0.0307819065,0.0003514985,4.18495e-05,0.2314693452,1,0.005566366667
base,GDE3,baseline,2,60,0.03694860117,0.002039044167,0.0004141726667,0.024809162,39.11666667,0.05994646667
base,MOEA/D,baseline,2,60,0.00047204,0.00011,6.56e-06,0.456732275,1,0.3675971833
base,NSDE,baseline,2,60,0.03724078317,0.002053741333,0.0004163993333,0.02379065483,39.03333333,0.05971261667
base,NSGA-II,baseline,2,60,0.0381233575,0.002094384333,0.0004254111667,0.02224476333,40,0.1205048167
base,NSGA-II+Repair,baseline,2,60,0.03808967567,0.002096455167,0.0004244306667,0.02234071767,40,0.1190399167
base,PSO,baseline,2,60,0.015335858,0.000463871,8.252716667e-05,0.1986695058,1,0.0057685
base,Standard DE,baseline,2,60,0.03014042167,0.0003954373333,5.25185e-05,0.2196399018,1,0.01211761667
base,Weighted Sum,baseline,2,60,0.00434006,0.00012533,1.574e-05,0.411281595,1,0.0005178
der_only_pool,Ablation-FixedDE,ablation,1,30,0.04520075267,0.002401093667,0.00050474,0.01774311667,38.96666667,0.08229653333
