method,method_role,configuration_count,mean_legacy_hv_sampled_clip_ref110,mean_analytic_hv_ref110,mean_analytic_hv_ref105,mean_igd_plus_common_reference,mean_front_size,mean_runtime_s_provenance_only,rank_legacy_hv_sampled_clip_ref110,rank_analytic_hv_ref110,rank_analytic_hv_ref105,rank_igd_plus_common_reference,weighting
Ablation-NoDER,ablation,6,0.04246688164,0.002688253472,0.0005707190556,0.007760613,37.57222222,0.1121433056,2,1,1,1,equal weight across six configurations; base pools two seed blocks
Ablation-FixedDE,ablation,6,0.04265615286,0.002132032361,0.0004369003889,0.02189850747,38.75277778,0.08943695278,1,3,2,3,equal weight across six configurations; base pools two seed blocks
NSGA-II+Repair,baseline,6,0.03997621789,0.002138519028,0.0004352972778,0.02117209267,40,0.119398625,4,2,3,2,equal weight across six configurations; base pools two seed blocks
CARS-MODE,proposed,6,0.04240014433,0.00212108525,0.0004346442778,0.02218917142,38.61111111,0.09247918056,3,4,4,5,equal weight across six configurations; base pools two seed blocks
NSGA-II,baseline,6,0.03991915103,0.002119351778,0.0004312813056,0.02202802661,40,0.1204810361,5,5,5,4,equal weight across six configurations; base pools two seed blocks
GDE3,baseline,6,0.03916541503,0.002096872194,0.0004263937778,0.02271158694,38.91388889,0.0604204,7,6,6,7,equal weight across six configurations; base pools two seed blocks
Ablation-NoRepair,ablation,6,0.03958869747,0.002093971111,0.0004262033333,0.022381734,39.01666667,0.05425106944,6,7,7,6,equal weight across six configurations; base pools two seed blocks
NSDE,baseline,6,0.03913725397,0.002074942056,0.0004218457222,0.02366336319,38.95,0.05984265278,8,8,8,8,equal weight across six configurations; base pools two seed blocks
Ablation-NoDiversity,ablation,6,0.02827293322,0.001105954333,0.0002164250833,0.108660131,7.963888889,0.1620730944,11,9,9,9,equal weight across six configurations; base pools two seed blocks
PSO,baseline,6,0.01958418011,0.000461895,7.899986111e-05,0.2073146684,1,0.005481655556,12,10,10,10,equal weight across six configurations; base pools two seed blocks
Standard DE,baseline,6,0.03028604011,0.0004089075,5.657802778e-05,0.2225275975,1,0.01183513611,10,11,11,11,equal weight across six configurations; base pools two seed blocks
GA,baseline,6,0.03090488325,0.0003685186389,4.662413889e-05,0.2350320858,1,0.005340172222,9,12,12,12,equal weight across six configurations; base pools two seed blocks
Weighted Sum,baseline,6,0.006090043333,0.000157595,2.101e-05,0.3896179858,1,0.0004000888889,13,13,13,13,equal weight across six configurations; base pools two seed blocks
MOEA/D,baseline,6,0.00047204,0.00011,6.56e-06,0.4658116742,1,0.3697543806,14,14,14,14,equal weight across six configurations; base pools two seed blocks
