method,method_role,mean_hv,sd_hv,mean_runtime_s,mean_front,n
Ablation-FixedDE,ablation,0.04243313685714286,0.0038084605852463276,0.14677258095238094,38.72857142857143,210
Ablation-NoDER,ablation,0.042227515666666667,0.003810603250160878,0.16855979999999998,37.56666666666667,210
Ablation-NoDiversity,ablation,0.028024045285714286,0.009773791369967288,0.2302788238095238,8.104761904761904,210
Ablation-NoRepair,ablation,0.039293257285714284,0.0044424401693462096,0.09712579047619047,39.06190476190476,210
CARS-MODE,proposed,0.04217835404761904,0.003806803655806221,0.13653067619047618,38.62380952380953,210
GA,baseline,0.030887315142857145,0.0006863573977506945,0.007535833333333333,1.0,210
MOEA/D,baseline,0.00047204,0.0,0.44970857619047616,1.0,210
NSGA-II,baseline,0.0396626090952381,0.00405089964135969,0.08803557142857142,40.0,210
NSGA-II+Repair,baseline,0.039706711857142855,0.003902071820489871,0.08795508571428572,40.0,210
PSO,baseline,0.018977276952380953,0.007634347245167673,0.008254633333333334,1.0,210
Standard DE,baseline,0.030265237476190473,0.0012907073333915141,0.019945633333333334,1.0,210
Weighted Sum,baseline,0.005840045714285714,0.0026111780042229076,0.00038369047619047616,1.0,210
