method,method_role,reinforcement,storage,der,automation,weighting
Ablation-FixedDE,ablation,8.108333333,3.980555556,1.230555556,0.01111111111,equal weight across six configurations; all rerun seed compromises; not AC-evaluated
Ablation-NoDER,ablation,11.73611111,0,0,0.175,equal weight across six configurations; all rerun seed compromises; not AC-evaluated
Ablation-NoDiversity,ablation,7.044444444,0.07222222222,0.25,0.9277777778,equal weight across six configurations; all rerun seed compromises; not AC-evaluated
Ablation-NoRepair,ablation,7.108333333,3.258333333,2.694444444,0.08055555556,equal weight across six configurations; all rerun seed compromises; not AC-evaluated
CARS-MODE,proposed,7.961111111,3.675,1.711111111,0.02777777778,equal weight across six configurations; all rerun seed compromises; not AC-evaluated
GA,baseline,9.263888889,3.355555556,1.197222222,0,equal weight across six configurations; all rerun seed compromises; not AC-evaluated
GDE3,baseline,7.008333333,3.372222222,2.805555556,0.075,equal weight across six configurations; all rerun seed compromises; not AC-evaluated
MOEA/D,baseline,0,0,0,0,equal weight across six configurations; all rerun seed compromises; not AC-evaluated
NSDE,baseline,6.925,3.463888889,2.986111111,0.05277777778,equal weight across six configurations; all rerun seed compromises; not AC-evaluated
NSGA-II,baseline,7.386111111,3.161111111,2.841666667,0.08333333333,equal weight across six configurations; all rerun seed compromises; not AC-evaluated
NSGA-II+Repair,baseline,7.577777778,3.111111111,2.7,0.04444444444,equal weight across six configurations; all rerun seed compromises; not AC-evaluated
PSO,baseline,4.047222222,2.497222222,2.577777778,0.8583333333,equal weight across six configurations; all rerun seed compromises; not AC-evaluated
Standard DE,baseline,7.833333333,3.722222222,2.258333333,0.005555555556,equal weight across six configurations; all rerun seed compromises; not AC-evaluated
Weighted Sum,baseline,0.5,0,0.5,3.166666667,equal weight across six configurations; all rerun seed compromises; not AC-evaluated
