run_id,setting_id,axis,comparison,opponent_role,n_per_method,mean_gap_hv_clipped_ref_1p1,relative_gap_pct_hv_clipped_ref_1p1,bootstrap95_low_hv_clipped_ref_1p1,bootstrap95_high_hv_clipped_ref_1p1,mean_gap_hv_unclipped_ref_1p1,relative_gap_pct_hv_unclipped_ref_1p1,bootstrap95_low_hv_unclipped_ref_1p1,bootstrap95_high_hv_unclipped_ref_1p1,mean_gap_hv_clipped_ref_1p2,relative_gap_pct_hv_clipped_ref_1p2,bootstrap95_low_hv_clipped_ref_1p2,bootstrap95_high_hv_clipped_ref_1p2,gap_direction_consistent_across_hv_definitions
p4_s3_boundary_20260813,reference,reference,SHIELD-MOEA minus NSGA-II+Repair,baseline,30,0.0138346393,5.377935,0.0096298318,0.0180863427,0.0138472949,5.381749,0.0095624020,0.0181317274,0.0213463740,3.847828,0.0137104078,0.0292878690,True
p4_s3_boundary_20260813,reference,reference,SHIELD-MOEA minus Control-GAOnly,mechanism_control,30,0.0017920290,0.665462,-0.0026694023,0.0062386512,0.0018575575,0.689796,-0.0024733450,0.0063674370,0.0037887702,0.662000,-0.0040340776,0.0122055133,True
p4_s3_boundary_20260813,reference,reference,SHIELD-MOEA minus Control-DEOnly,mechanism_control,30,-0.0024718962,-0.903620,-0.0060972968,0.0011685523,-0.0027362604,-0.999056,-0.0065718222,0.0008462454,-0.0038233337,-0.659271,-0.0101025266,0.0024697059,True
p4_s3_boundary_20260813,reference,reference,SHIELD-MOEA minus Control-FixedWorstK,mechanism_control,30,0.0005306480,0.196135,-0.0034501790,0.0045868627,0.0004777752,0.176515,-0.0035083016,0.0045961477,0.0018730085,0.326173,-0.0051639350,0.0093932344,True
p4_s3_boundary_20260813,budget_tight_0p82,budget_tightness,SHIELD-MOEA minus NSGA-II+Repair,baseline,30,0.0108970542,4.390508,0.0076509723,0.0144054669,0.0155890027,5.868231,0.0113795212,0.0203046588,0.0182282042,3.318896,0.0130313992,0.0237150626,True
p4_s3_boundary_20260813,budget_tight_0p82,budget_tightness,SHIELD-MOEA minus Control-GAOnly,mechanism_control,30,-0.0032572354,-1.241561,-0.0058241850,-0.0006103040,-0.0030205620,-1.062604,-0.0056911209,-0.0001882832,-0.0041020213,-0.717695,-0.0078004739,-0.0003075362,True
p4_s3_boundary_20260813,budget_tight_0p82,budget_tightness,SHIELD-MOEA minus Control-DEOnly,mechanism_control,30,-0.0027769011,-1.060413,-0.0056119349,0.0001793039,-0.0026243119,-0.924496,-0.0055941924,0.0004465533,-0.0038810806,-0.679301,-0.0078349409,0.0001525424,True
p4_s3_boundary_20260813,budget_tight_0p82,budget_tightness,SHIELD-MOEA minus Control-FixedWorstK,mechanism_control,30,-0.0013764211,-0.528439,-0.0042807568,0.0016120633,-0.0012763263,-0.451771,-0.0043106851,0.0017967984,-0.0020586120,-0.361470,-0.0062933392,0.0022388003,True
p4_s3_boundary_20260813,budget_loose_1p20,budget_tightness,SHIELD-MOEA minus NSGA-II+Repair,baseline,30,0.0101307028,3.462777,0.0055728447,0.0145682546,0.0080824333,2.693346,0.0017538683,0.0143556262,0.0127842728,2.094052,0.0058750313,0.0197552893,True
p4_s3_boundary_20260813,budget_loose_1p20,budget_tightness,SHIELD-MOEA minus Control-GAOnly,mechanism_control,30,0.0013630755,0.452357,-0.0031342590,0.0058845261,0.0049488598,1.632089,-0.0011232684,0.0108208100,0.0049440002,0.799555,-0.0027395544,0.0125951314,True
p4_s3_boundary_20260813,budget_loose_1p20,budget_tightness,SHIELD-MOEA minus Control-DEOnly,mechanism_control,30,-0.0032241393,-1.053933,-0.0076912534,0.0013340002,-0.0035573974,-1.141184,-0.0101610528,0.0029673067,-0.0040330088,-0.642894,-0.0114314751,0.0035435191,True
p4_s3_boundary_20260813,budget_loose_1p20,budget_tightness,SHIELD-MOEA minus Control-FixedWorstK,mechanism_control,30,-0.0012109778,-0.398477,-0.0056892543,0.0035153042,-0.0017521526,-0.565350,-0.0082188128,0.0051261252,-0.0011750155,-0.188164,-0.0091569105,0.0066450419,True
p4_s3_boundary_20260813,scenarios_8,scenario_count,SHIELD-MOEA minus NSGA-II+Repair,baseline,30,0.0167729150,6.627214,0.0128783882,0.0204674965,0.0170892622,6.751871,0.0133022065,0.0208916599,0.0251731148,4.585127,0.0178544684,0.0322233922,True
p4_s3_boundary_20260813,scenarios_8,scenario_count,SHIELD-MOEA minus Control-GAOnly,mechanism_control,30,0.0004897871,0.181824,-0.0036186031,0.0048965617,0.0008187578,0.303948,-0.0033572734,0.0051453571,0.0019121227,0.334125,-0.0056877164,0.0097921909,True
p4_s3_boundary_20260813,scenarios_8,scenario_count,SHIELD-MOEA minus Control-DEOnly,mechanism_control,30,-0.0028149633,-1.032335,-0.0063348589,0.0007392600,-0.0026946603,-0.987460,-0.0062641121,0.0010994847,-0.0040763974,-0.704934,-0.0104079666,0.0021638628,True
