run_id,setting_id,axis,method,method_role,n,mean_hv_clipped_ref_1p1,sd_hv_clipped_ref_1p1,mean_hv_unclipped_ref_1p1,sd_hv_unclipped_ref_1p1,mean_hv_clipped_ref_1p2,sd_hv_clipped_ref_1p2,runs_with_any_clipping,mean_clipped_component_count,mean_front_size
p4_s3_boundary_20260813,reference,reference,SHIELD-MOEA,proposed,30,0.2710828037,0.0076545064,0.2711483322,0.0076866914,0.5761105760,0.0128659085,2,0.066667,38.800000
p4_s3_boundary_20260813,reference,reference,NSGA-II+Repair,baseline,30,0.2572481645,0.0094294366,0.2573010373,0.0095202974,0.5547642021,0.0177740355,1,0.033333,40.000000
p4_s3_boundary_20260813,reference,reference,Control-GAOnly,mechanism_control,30,0.2692907747,0.0101035979,0.2692907747,0.0101035979,0.5723218059,0.0192883955,0,0.000000,38.766667
p4_s3_boundary_20260813,reference,reference,Control-DEOnly,mechanism_control,30,0.2735546999,0.0071562666,0.2738845927,0.0072337239,0.5799339097,0.0124577255,7,0.233333,38.733333
p4_s3_boundary_20260813,reference,reference,Control-FixedWorstK,mechanism_control,30,0.2705521557,0.0089393794,0.2706705571,0.0090556026,0.5742375675,0.0160729077,3,0.100000,38.766667
p4_s3_boundary_20260813,budget_tight_0p82,budget_tightness,SHIELD-MOEA,proposed,30,0.2590927993,0.0062102627,0.2812398056,0.0063717010,0.5674531555,0.0088869751,30,3.433333,38.733333
p4_s3_boundary_20260813,budget_tight_0p82,budget_tightness,NSGA-II+Repair,baseline,30,0.2481957451,0.0073558677,0.2656508029,0.0114294656,0.5492249513,0.0125191123,29,2.500000,40.000000
p4_s3_boundary_20260813,budget_tight_0p82,budget_tightness,Control-GAOnly,mechanism_control,30,0.2623500347,0.0041291759,0.2842603676,0.0043775404,0.5715551768,0.0059148560,30,3.533333,38.700000
p4_s3_boundary_20260813,budget_tight_0p82,budget_tightness,Control-DEOnly,mechanism_control,30,0.2618697005,0.0053724179,0.2838641175,0.0056857746,0.5713342361,0.0075326205,30,3.366667,38.666667
p4_s3_boundary_20260813,budget_tight_0p82,budget_tightness,Control-FixedWorstK,mechanism_control,30,0.2604692204,0.0060269899,0.2825161318,0.0061538631,0.5695117676,0.0084914838,30,3.500000,38.466667
p4_s3_boundary_20260813,budget_loose_1p20,budget_tightness,SHIELD-MOEA,proposed,30,0.3026907471,0.0089630038,0.3081713749,0.0132570990,0.6232882281,0.0143717112,13,0.500000,38.933333
p4_s3_boundary_20260813,budget_loose_1p20,budget_tightness,NSGA-II+Repair,baseline,30,0.2925600444,0.0088312697,0.3000889417,0.0118823944,0.6105039554,0.0132946461,23,0.933333,40.000000
p4_s3_boundary_20260813,budget_loose_1p20,budget_tightness,Control-GAOnly,mechanism_control,30,0.3013276716,0.0088983739,0.3032225151,0.0115177815,0.6183442279,0.0164379600,8,0.266667,38.866667
p4_s3_boundary_20260813,budget_loose_1p20,budget_tightness,Control-DEOnly,mechanism_control,30,0.3059148864,0.0084589534,0.3117287723,0.0133879367,0.6273212369,0.0161821235,16,0.566667,38.766667
p4_s3_boundary_20260813,budget_loose_1p20,budget_tightness,Control-FixedWorstK,mechanism_control,30,0.3039017249,0.0090432487,0.3099235275,0.0128830504,0.6244632437,0.0168127602,17,0.700000,38.833333
p4_s3_boundary_20260813,scenarios_8,scenario_count,SHIELD-MOEA,proposed,30,0.2698644074,0.0069033086,0.2701933781,0.0070468955,0.5741898200,0.0130352688,7,0.233333,38.966667
p4_s3_boundary_20260813,scenarios_8,scenario_count,NSGA-II+Repair,baseline,30,0.2530914924,0.0083046597,0.2531041159,0.0083056067,0.5490167052,0.0151678354,1,0.033333,40.000000
p4_s3_boundary_20260813,scenarios_8,scenario_count,Control-GAOnly,mechanism_control,30,0.2693746203,0.0096677060,0.2693746203,0.0096677060,0.5722776973,0.0180533071,0,0.000000,38.833333
p4_s3_boundary_20260813,scenarios_8,scenario_count,Control-DEOnly,mechanism_control,30,0.2726793707,0.0071682891,0.2728880384,0.0072497051,0.5782662173,0.0119458151,7,0.233333,38.866667
p4_s3_boundary_20260813,scenarios_8,scenario_count,Control-FixedWorstK,mechanism_control,30,0.2692791432,0.0060422814,0.2695427659,0.0061773285,0.5732003060,0.0107506760,5,0.166667,38.866667
p4_s3_boundary_20260813,scenarios_32,scenario_count,SHIELD-MOEA,proposed,30,0.2725454142,0.0105263327,0.2727700221,0.0107457759,0.5771406414,0.0183186018,5,0.166667,39.000000
p4_s3_boundary_20260813,scenarios_32,scenario_count,NSGA-II+Repair,baseline,30,0.2565691987,0.0094640374,0.2566221797,0.0095234376,0.5546798912,0.0161384574,1,0.033333,40.000000
p4_s3_boundary_20260813,scenarios_32,scenario_count,Control-GAOnly,mechanism_control,30,0.2696437502,0.0101831550,0.2696564340,0.0101634307,0.5726207156,0.0175072080,1,0.033333,38.833333
p4_s3_boundary_20260813,scenarios_32,scenario_count,Control-DEOnly,mechanism_control,30,0.2733099545,0.0070515667,0.2736658923,0.0073192575,0.5786950072,0.0128123134,9,0.300000,38.800000
p4_s3_boundary_20260813,scenarios_32,scenario_count,Control-FixedWorstK,mechanism_control,30,0.2734009277,0.0081903969,0.2734136115,0.0082012800,0.5779423428,0.0156469732,1,0.033333,38.933333
p4_s3_boundary_20260813,resilience_scale_0p75,survivability_action_scale,SHIELD-MOEA,proposed,30,0.2808676211,0.0071480745,0.2923185447,0.0077610116,0.5970346574,0.0117831142,30,2.533333,38.966667
p4_s3_boundary_20260813,resilience_scale_0p75,survivability_action_scale,NSGA-II+Repair,baseline,30,0.2620135433,0.0136604311,0.2687116912,0.0162817626,0.5682981153,0.0273924491,26,1.366667,40.000000
