method,method_role,mean_hv,sd_hv,mean_runtime_s,mean_front,n
Ablation-NoOutage,ablation,0.27124763029166665,0.025110289337232583,0.08689466666666666,38.3875,240
Ablation-NoRepair,ablation,0.2517624280833333,0.02919398325144407,0.05833137083333333,39.65,240
Ablation-NoResilienceObj,ablation,0.2746687969166667,0.026667697632347546,0.088948975,38.9125,240
Ablation-NoScenarioScreen,ablation,0.2726574059166667,0.026270994847338674,0.07920512083333334,38.858333333333334,240
Deterministic Planning,baseline,0.023868801250000002,0.001242669273411919,0.0003848875,1.0,240
GA,baseline,0.219872728625,0.028114584862249024,0.007150533333333333,1.0,240
MOEA/D,baseline,0.00047320950000000005,1.8117816093558287e-05,0.4502718125,1.0,240
NSGA-II,baseline,0.259529232375,0.028163847192741488,0.09243712916666666,39.99583333333333,240
NSGA-II+Repair,baseline,0.26069953766666665,0.026964413770588717,0.0911466375,39.9875,240
SHIELD-MOEA,proposed,0.273961928875,0.026999786551427502,0.08892594999999999,38.891666666666666,240
Weighted Sum,baseline,0.01962865,0.001464819889338223,0.0003923833333333334,1.0,240
