method,method_role,reliability,survivability,worst_hv,runtime_s
Ablation-NoOutage,ablation,0.994708879625,0.9950620957916667,0.2661023442916667,0.08689466666666666
Ablation-NoRepair,ablation,0.987201986,0.9898367235416666,0.24649257645833333,0.05833137083333333
Ablation-NoResilienceObj,ablation,0.9953341854583333,0.9958918539166667,0.26976258941666664,0.088948975
Ablation-NoScenarioScreen,ablation,0.9951188314583334,0.9954385716666666,0.268043741625,0.07920512083333334
Deterministic Planning,baseline,0.48830689,0.552765725,0.022816481250000003,0.0003848875
GA,baseline,1.0,0.99588461475,0.22106742741666666,0.007150533333333333
MOEA/D,baseline,0.35003246641666663,0.3300992134583334,0.000473184875,0.4502718125
NSGA-II,baseline,0.9972340425416667,0.9937798315833334,0.2554120924166667,0.09243712916666666
NSGA-II+Repair,baseline,0.9987707778333333,0.9951549678333333,0.25654491379166666,0.0911466375
SHIELD-MOEA,proposed,0.9958286541666667,0.9939519099583334,0.2691144900833333,0.08892594999999999
Weighted Sum,baseline,0.53467842,0.577347415,0.018048400000000003,0.0003923833333333334
