"method","method_role","mapped_cases","ac_feasible_rate","stress_ac_feasible_rate","mean_min_vm_pu","mean_max_line_loading_pct","mean_losses_mw","analysis_unit","interpretation_scope"
"NoPlan","reference","108","0.388889","0.333333","0.939739","78.6284","0.568707","one seed-0 action-kind composition mapped to one network and one operating scenario","illustrative/associational fixed mapping; not nodal-plan validation, optimizer replication, or causal attribution"
"NSGA-II+Repair","baseline","108","0.694444","0.633333","0.968824","52.6568","0.373346","one seed-0 action-kind composition mapped to one network and one operating scenario","illustrative/associational fixed mapping; not nodal-plan validation, optimizer replication, or causal attribution"
"Ablation-NoRepair","ablation","108","0.694444","0.633333","0.968988","54.2987","0.383906","one seed-0 action-kind composition mapped to one network and one operating scenario","illustrative/associational fixed mapping; not nodal-plan validation, optimizer replication, or causal attribution"
"SHIELD-MOEA","proposed","108","0.685185","0.622222","0.969017","52.6508","0.376904","one seed-0 action-kind composition mapped to one network and one operating scenario","illustrative/associational fixed mapping; not nodal-plan validation, optimizer replication, or causal attribution"
"Ablation-NoResilienceObj","ablation","108","0.685185","0.622222","0.969522","55.9803","0.384360","one seed-0 action-kind composition mapped to one network and one operating scenario","illustrative/associational fixed mapping; not nodal-plan validation, optimizer replication, or causal attribution"
"NSGA-II","baseline","108","0.666667","0.611111","0.967390","52.7615","0.376201","one seed-0 action-kind composition mapped to one network and one operating scenario","illustrative/associational fixed mapping; not nodal-plan validation, optimizer replication, or causal attribution"
"GA","baseline","108","0.666667","0.600000","0.968648","48.0520","0.361837","one seed-0 action-kind composition mapped to one network and one operating scenario","illustrative/associational fixed mapping; not nodal-plan validation, optimizer replication, or causal attribution"
"Ablation-NoScenarioScreen","ablation","108","0.629630","0.566667","0.965061","51.4980","0.390451","one seed-0 action-kind composition mapped to one network and one operating scenario","illustrative/associational fixed mapping; not nodal-plan validation, optimizer replication, or causal attribution"
"Ablation-NoOutage","ablation","108","0.574074","0.533333","0.968639","66.9942","0.462712","one seed-0 action-kind composition mapped to one network and one operating scenario","illustrative/associational fixed mapping; not nodal-plan validation, optimizer replication, or causal attribution"
"Weighted Sum","baseline","108","0.416667","0.333333","0.944572","73.7100","0.536747","one seed-0 action-kind composition mapped to one network and one operating scenario","illustrative/associational fixed mapping; not nodal-plan validation, optimizer replication, or causal attribution"
"Deterministic Planning","baseline","108","0.416667","0.400000","0.971322","132.0397","1.193695","one seed-0 action-kind composition mapped to one network and one operating scenario","illustrative/associational fixed mapping; not nodal-plan validation, optimizer replication, or causal attribution"
"MOEA/D","baseline","108","0.388889","0.333333","0.939739","78.6284","0.568707","one seed-0 action-kind composition mapped to one network and one operating scenario","illustrative/associational fixed mapping; not nodal-plan validation, optimizer replication, or causal attribution"
