scenario,method,method_type,seed_index,front_points,hv_reported_empirical_ref1p1_clipped,hv_reported_empirical_ref1p1_unclipped,hv_expanded_empirical_ref1p1_unclipped,hv_analytic_ref1p1_unclipped,hv_analytic_ref1p2_unclipped,reported_below_zero_coordinates,reported_above_one_coordinates,reported_clipped_points,expanded_below_zero_coordinates,expanded_above_one_coordinates,expanded_clipped_points,analytic_below_zero_coordinates,analytic_above_one_coordinates,analytic_clipped_points
benchmark_portfolio_optimization,TRACE-MOEA,shared_custom_moea,0,38,0.1747412993,0.1896334840,0.2038742952,0.0273574174,0.1057399136,3,0,3,0,0,0,0,0,0
benchmark_portfolio_optimization,TRACE-MOEA,shared_custom_moea,1,39,0.1767807179,0.1948904130,0.2084326848,0.0270926363,0.1046079180,2,0,2,0,0,0,0,0,0
benchmark_portfolio_optimization,TRACE-MOEA,shared_custom_moea,2,39,0.1747036350,0.1993836502,0.2137206609,0.0273826225,0.1065252664,3,0,3,0,0,0,0,0,0
benchmark_portfolio_optimization,TRACE-MOEA,shared_custom_moea,3,38,0.1779222236,0.2015927505,0.2148780378,0.0272523827,0.1051370768,4,0,4,0,0,0,0,0,0
benchmark_portfolio_optimization,TRACE-MOEA,shared_custom_moea,4,38,0.1767009910,0.2292980506,0.2398079548,0.0279360769,0.1072005460,4,0,4,1,0,1,0,0,0
benchmark_portfolio_optimization,TRACE-MOEA,shared_custom_moea,5,39,0.1729494684,0.2146237191,0.2271216867,0.0277010079,0.1072297613,8,0,8,1,0,1,0,0,0
benchmark_portfolio_optimization,TRACE-MOEA,shared_custom_moea,6,39,0.1734979808,0.1775358070,0.1947498480,0.0256086165,0.1011512094,3,0,3,0,0,0,0,0,0
benchmark_portfolio_optimization,TRACE-MOEA,shared_custom_moea,7,39,0.1744697601,0.1930880611,0.2078974286,0.0280972049,0.1077355598,5,0,5,0,0,0,0,0,0
benchmark_portfolio_optimization,TRACE-MOEA,shared_custom_moea,8,39,0.1763216953,0.1962805169,0.2103947822,0.0277660076,0.1068748968,4,0,4,0,0,0,0,0,0
benchmark_portfolio_optimization,TRACE-MOEA,shared_custom_moea,9,39,0.1752465868,0.2069367567,0.2187337927,0.0276928875,0.1062009743,7,0,7,0,0,0,0,0,0
benchmark_portfolio_optimization,TRACE-MOEA,shared_custom_moea,10,39,0.1763675777,0.2160316970,0.2272065527,0.0277659424,0.1074019864,7,0,7,1,0,1,0,0,0
benchmark_portfolio_optimization,TRACE-MOEA,shared_custom_moea,11,39,0.1762561575,0.1762561575,0.1910686159,0.0256071634,0.0998960420,0,0,0,0,0,0,0,0,0
benchmark_portfolio_optimization,TRACE-MOEA,shared_custom_moea,12,39,0.1740488126,0.2186607597,0.2276423992,0.0268341476,0.1016032654,6,0,6,2,0,2,0,0,0
benchmark_portfolio_optimization,TRACE-MOEA,shared_custom_moea,13,38,0.1753928336,0.2204385665,0.2323918307,0.0281431775,0.1083667106,5,0,5,2,0,2,0,0,0
benchmark_portfolio_optimization,TRACE-MOEA,shared_custom_moea,14,39,0.1670104322,0.1670104322,0.1852255044,0.0255392222,0.1003373738,0,0,0,0,0,0,0,0,0
benchmark_portfolio_optimization,TRACE-MOEA,shared_custom_moea,15,38,0.1716482470,0.1912264997,0.2058543468,0.0278724930,0.1060686875,3,0,3,0,0,0,0,0,0
benchmark_portfolio_optimization,TRACE-MOEA,shared_custom_moea,16,39,0.1698196291,0.2161385433,0.2264383028,0.0271007158,0.1038958862,7,0,7,2,0,2,0,0,0
benchmark_portfolio_optimization,TRACE-MOEA,shared_custom_moea,17,38,0.1694164713,0.2042429280,0.2165593238,0.0271539188,0.1036038068,4,0,4,1,0,1,0,0,0
benchmark_portfolio_optimization,TRACE-MOEA,shared_custom_moea,18,40,0.1788489092,0.2146760111,0.2256329391,0.0274466362,0.1061133194,7,0,7,1,0,1,0,0,0
benchmark_portfolio_optimization,TRACE-MOEA,shared_custom_moea,19,38,0.1719928673,0.2117200379,0.2237122960,0.0272336815,0.1051060056,5,0,5,1,0,1,0,0,0
benchmark_portfolio_optimization,TRACE-MOEA,shared_custom_moea,20,39,0.1745786672,0.2248121074,0.2339147456,0.0266194130,0.1039750623,7,0,7,4,0,4,0,0,0
benchmark_portfolio_optimization,TRACE-MOEA,shared_custom_moea,21,38,0.1758020174,0.2149156189,0.2239685117,0.0260844064,0.1015568417,5,0,5,2,0,2,0,0,0
benchmark_portfolio_optimization,TRACE-MOEA,shared_custom_moea,22,39,0.1736566950,0.2094797886,0.2223391149,0.0267477879,0.1049044634,5,0,5,1,0,1,0,0,0
benchmark_portfolio_optimization,TRACE-MOEA,shared_custom_moea,23,39,0.1764091593,0.1863864393,0.2012090582,0.0266036434,0.1038635084,2,0,2,0,0,0,0,0,0
benchmark_portfolio_optimization,TRACE-MOEA,shared_custom_moea,24,39,0.1756639604,0.2341505328,0.2440437184,0.0289799854,0.1108514251,6,0,6,3,0,3,0,0,0
benchmark_portfolio_optimization,TRACE-MOEA,shared_custom_moea,25,38,0.1746948246,0.2104437848,0.2231875530,0.0283767311,0.1090758043,6,0,6,1,0,1,0,0,0
benchmark_portfolio_optimization,TRACE-MOEA,shared_custom_moea,26,39,0.1777091442,0.2244131977,0.2345652343,0.0279374139,0.1077867932,8,0,8,2,0,2,0,0,0
benchmark_portfolio_optimization,TRACE-MOEA,shared_custom_moea,27,39,0.1727494103,0.2032301926,0.2183482992,0.0284075183,0.1089763288,6,0,6,0,0,0,0,0,0
benchmark_portfolio_optimization,TRACE-MOEA,shared_custom_moea,28,39,0.1741958237,0.2191189281,0.2309529225,0.0279386998,0.1078212415,5,0,5,1,0,1,0,0,0
benchmark_portfolio_optimization,TRACE-MOEA,shared_custom_moea,29,39,0.1728548553,0.2128762931,0.2244865948,0.0265493875,0.1034861546,3,0,3,1,0,1,0,0,0
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,shared_custom_moea,0,39,0.1761701964,0.2061892815,0.2189192982,0.0272768330,0.1063026957,4,0,4,0,0,0,0,0,0
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,shared_custom_moea,1,39,0.1742930686,0.2050320605,0.2183438556,0.0274764331,0.1063614155,4,0,4,0,0,0,0,0,0
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,shared_custom_moea,2,37,0.1756056144,0.1813294974,0.1974899042,0.0245418412,0.0968303051,2,0,2,0,0,0,0,0,0
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,shared_custom_moea,3,38,0.1755891226,0.1854628221,0.2013596913,0.0264234672,0.1030279496,2,0,2,0,0,0,0,0,0
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,shared_custom_moea,4,39,0.1739915523,0.2064315022,0.2198852112,0.0273439472,0.1059087276,5,0,5,0,0,0,0,0,0
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,shared_custom_moea,5,38,0.1721089462,0.2043875528,0.2194963264,0.0264125909,0.1041874183,5,0,5,0,0,0,0,0,0
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,shared_custom_moea,6,37,0.1749523811,0.1761015312,0.1927933225,0.0262240546,0.1027642486,1,0,1,0,0,0,0,0,0
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,shared_custom_moea,7,39,0.1732549879,0.1880429543,0.2043615482,0.0265265056,0.1040487429,3,0,3,0,0,0,0,0,0
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,shared_custom_moea,8,39,0.1731904777,0.1864570971,0.2030113483,0.0262338079,0.1027689415,3,0,3,0,0,0,0,0,0
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,shared_custom_moea,9,39,0.1738247964,0.1902749928,0.2060547848,0.0271866595,0.1055306819,3,0,3,0,0,0,0,0,0
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,shared_custom_moea,10,38,0.1760279586,0.2074645320,0.2198920538,0.0270195621,0.1049287991,5,0,5,0,0,0,0,0,0
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,shared_custom_moea,11,39,0.1739456770,0.2016907143,0.2159182414,0.0271611068,0.1054946197,5,0,5,0,0,0,0,0,0
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,shared_custom_moea,12,38,0.1739346115,0.2082847508,0.2222821866,0.0276201602,0.1065344538,6,0,6,1,0,1,0,0,0
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,shared_custom_moea,13,39,0.1764790194,0.2013275116,0.2155932718,0.0252237133,0.0996625130,4,0,4,0,0,0,0,0,0
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,shared_custom_moea,14,39,0.1751812312,0.1895733650,0.2047099513,0.0276660527,0.1062086953,3,0,3,0,0,0,0,0,0
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,shared_custom_moea,15,38,0.1736819168,0.1924624204,0.2084945283,0.0260353570,0.1029038073,3,0,3,0,0,0,0,0,0
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,shared_custom_moea,16,39,0.1743739299,0.1804832804,0.1973168538,0.0265153439,0.1035290220,2,0,2,0,0,0,0,0,0
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,shared_custom_moea,17,38,0.1773250353,0.2144009213,0.2259894705,0.0279892617,0.1081712601,6,0,6,1,0,1,0,0,0
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,shared_custom_moea,18,39,0.1733717429,0.2032759165,0.2175126780,0.0276185186,0.1066312930,5,0,5,0,0,0,0,0,0
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,shared_custom_moea,19,38,0.1745569600,0.2138824288,0.2263272757,0.0284393465,0.1089899419,7,0,7,2,0,2,0,0,0
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,shared_custom_moea,20,39,0.1749063811,0.1837445929,0.1994692309,0.0265170039,0.1036790964,2,0,2,0,0,0,0,0,0
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,shared_custom_moea,21,38,0.1732610968,0.2330515478,0.2441726368,0.0282477852,0.1093930280,7,0,7,4,0,4,0,0,0
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,shared_custom_moea,22,39,0.1739212867,0.2229498083,0.2348644734,0.0275397509,0.1073329717,8,0,8,2,0,2,0,0,0
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,shared_custom_moea,23,39,0.1730771166,0.1732757296,0.1915251661,0.0254071178,0.1003872233,1,0,1,0,0,0,0,0,0
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,shared_custom_moea,24,38,0.1733491242,0.1739228643,0.1899357837,0.0227382758,0.0923292393,1,0,1,0,0,0,0,0,0
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,shared_custom_moea,25,39,0.1731520443,0.1868247275,0.2031184744,0.0269171818,0.1046536653,4,0,4,0,0,0,0,0,0
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,shared_custom_moea,26,39,0.1728246801,0.2050119553,0.2196417887,0.0268417927,0.1048348793,6,0,6,0,0,0,0,0,0
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,shared_custom_moea,27,39,0.1752280534,0.1986926179,0.2133479713,0.0273132224,0.1042732467,3,0,3,0,0,0,0,0,0
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,shared_custom_moea,28,39,0.1745450186,0.2060483101,0.2198335028,0.0266559065,0.1040801046,4,0,4,0,0,0,0,0,0
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,shared_custom_moea,29,38,0.1732864486,0.2040238123,0.2184088093,0.0274237852,0.1059741709,5,0,5,0,0,0,0,0,0
benchmark_portfolio_optimization,AHP-TOPSIS,deterministic,unique,1,0.1338178615,0.2174849222,0.2353761519,0.0035107443,0.0214078837,1,0,1,1,0,1,0,0,0
benchmark_portfolio_optimization,Weighted Sum,deterministic,unique,1,0.0280125059,0.0280125059,0.0567322102,0.0011178772,0.0089493379,0,0,0,0,0,0,0,0,0
benchmark_portfolio_optimization,Greedy BCR,deterministic,unique,1,0.0411081027,0.0411081027,0.0726588946,0.0017100024,0.0126704727,0,0,0,0,0,0,0,0,0
