scenario,method,seed_index,legacy_hypervolume,rerun_hypervolume,exact_at_archived_precision
benchmark_portfolio_optimization,TRACE-MOEA,0,0.17474130,0.17474130,True
benchmark_portfolio_optimization,TRACE-MOEA,1,0.17678072,0.17678072,True
benchmark_portfolio_optimization,TRACE-MOEA,2,0.17470364,0.17470364,True
benchmark_portfolio_optimization,TRACE-MOEA,3,0.17792222,0.17792222,True
benchmark_portfolio_optimization,TRACE-MOEA,4,0.17670099,0.17670099,True
benchmark_portfolio_optimization,TRACE-MOEA,5,0.17294947,0.17294947,True
benchmark_portfolio_optimization,TRACE-MOEA,6,0.17349798,0.17349798,True
benchmark_portfolio_optimization,TRACE-MOEA,7,0.17446976,0.17446976,True
benchmark_portfolio_optimization,TRACE-MOEA,8,0.17632170,0.17632170,True
benchmark_portfolio_optimization,TRACE-MOEA,9,0.17524659,0.17524659,True
benchmark_portfolio_optimization,TRACE-MOEA,10,0.17636758,0.17636758,True
benchmark_portfolio_optimization,TRACE-MOEA,11,0.17625616,0.17625616,True
benchmark_portfolio_optimization,TRACE-MOEA,12,0.17404881,0.17404881,True
benchmark_portfolio_optimization,TRACE-MOEA,13,0.17539283,0.17539283,True
benchmark_portfolio_optimization,TRACE-MOEA,14,0.16701043,0.16701043,True
benchmark_portfolio_optimization,TRACE-MOEA,15,0.17164825,0.17164825,True
benchmark_portfolio_optimization,TRACE-MOEA,16,0.16981963,0.16981963,True
benchmark_portfolio_optimization,TRACE-MOEA,17,0.16941647,0.16941647,True
benchmark_portfolio_optimization,TRACE-MOEA,18,0.17884891,0.17884891,True
benchmark_portfolio_optimization,TRACE-MOEA,19,0.17199287,0.17199287,True
benchmark_portfolio_optimization,TRACE-MOEA,20,0.17457867,0.17457867,True
benchmark_portfolio_optimization,TRACE-MOEA,21,0.17580202,0.17580202,True
benchmark_portfolio_optimization,TRACE-MOEA,22,0.17365670,0.17365670,True
benchmark_portfolio_optimization,TRACE-MOEA,23,0.17640916,0.17640916,True
benchmark_portfolio_optimization,TRACE-MOEA,24,0.17566396,0.17566396,True
benchmark_portfolio_optimization,TRACE-MOEA,25,0.17469482,0.17469482,True
benchmark_portfolio_optimization,TRACE-MOEA,26,0.17770914,0.17770914,True
benchmark_portfolio_optimization,TRACE-MOEA,27,0.17274941,0.17274941,True
benchmark_portfolio_optimization,TRACE-MOEA,28,0.17419582,0.17419582,True
benchmark_portfolio_optimization,TRACE-MOEA,29,0.17285486,0.17285486,True
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,0,0.17617020,0.17617020,True
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,1,0.17429307,0.17429307,True
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,2,0.17560561,0.17560561,True
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,3,0.17558912,0.17558912,True
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,4,0.17399155,0.17399155,True
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,5,0.17210895,0.17210895,True
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,6,0.17495238,0.17495238,True
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,7,0.17325499,0.17325499,True
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,8,0.17319048,0.17319048,True
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,9,0.17382480,0.17382480,True
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,10,0.17602796,0.17602796,True
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,11,0.17394568,0.17394568,True
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,12,0.17393461,0.17393461,True
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,13,0.17647902,0.17647902,True
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,14,0.17518123,0.17518123,True
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,15,0.17368192,0.17368192,True
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,16,0.17437393,0.17437393,True
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,17,0.17732504,0.17732504,True
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,18,0.17337174,0.17337174,True
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,19,0.17455696,0.17455696,True
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,20,0.17490638,0.17490638,True
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,21,0.17326110,0.17326110,True
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,22,0.17392129,0.17392129,True
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,23,0.17307712,0.17307712,True
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,24,0.17334912,0.17334912,True
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,25,0.17315204,0.17315204,True
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,26,0.17282468,0.17282468,True
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,27,0.17522805,0.17522805,True
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,28,0.17454502,0.17454502,True
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,29,0.17328645,0.17328645,True
benchmark_portfolio_optimization,AHP-TOPSIS,0,0.13381786,0.13381786,True
benchmark_portfolio_optimization,Weighted Sum,0,0.02801251,0.02801251,True
benchmark_portfolio_optimization,Greedy BCR,0,0.04110810,0.04110810,True
distribution_project_review,TRACE-MOEA,0,0.16550732,0.16550732,True
distribution_project_review,TRACE-MOEA,1,0.16468834,0.16468834,True
distribution_project_review,TRACE-MOEA,2,0.15927748,0.15927748,True
distribution_project_review,TRACE-MOEA,3,0.16538567,0.16538567,True
distribution_project_review,TRACE-MOEA,4,0.16567988,0.16567988,True
distribution_project_review,TRACE-MOEA,5,0.16672141,0.16672141,True
distribution_project_review,TRACE-MOEA,6,0.16655203,0.16655203,True
distribution_project_review,TRACE-MOEA,7,0.16649174,0.16649174,True
distribution_project_review,TRACE-MOEA,8,0.16623645,0.16623645,True
distribution_project_review,TRACE-MOEA,9,0.15838878,0.15838878,True
distribution_project_review,TRACE-MOEA,10,0.16431315,0.16431315,True
distribution_project_review,TRACE-MOEA,11,0.16425452,0.16425452,True
distribution_project_review,TRACE-MOEA,12,0.16451197,0.16451197,True
distribution_project_review,TRACE-MOEA,13,0.16619365,0.16619365,True
distribution_project_review,TRACE-MOEA,14,0.16615782,0.16615782,True
distribution_project_review,TRACE-MOEA,15,0.16564870,0.16564870,True
distribution_project_review,TRACE-MOEA,16,0.16445904,0.16445904,True
distribution_project_review,TRACE-MOEA,17,0.16522851,0.16522851,True
distribution_project_review,TRACE-MOEA,18,0.16549763,0.16549763,True
distribution_project_review,TRACE-MOEA,19,0.16604866,0.16604866,True
distribution_project_review,TRACE-MOEA,20,0.16586733,0.16586733,True
distribution_project_review,TRACE-MOEA,21,0.16420317,0.16420317,True
distribution_project_review,TRACE-MOEA,22,0.16640773,0.16640773,True
distribution_project_review,TRACE-MOEA,23,0.16560781,0.16560781,True
distribution_project_review,TRACE-MOEA,24,0.16447733,0.16447733,True
distribution_project_review,TRACE-MOEA,25,0.16402976,0.16402976,True
distribution_project_review,TRACE-MOEA,26,0.16532990,0.16532990,True
distribution_project_review,TRACE-MOEA,27,0.16589486,0.16589486,True
distribution_project_review,TRACE-MOEA,28,0.16572201,0.16572201,True
distribution_project_review,TRACE-MOEA,29,0.16237659,0.16237659,True
distribution_project_review,Ablation-NoPreferenceRanking,0,0.16474446,0.16474446,True
distribution_project_review,Ablation-NoPreferenceRanking,1,0.16534533,0.16534533,True
distribution_project_review,Ablation-NoPreferenceRanking,2,0.16606133,0.16606133,True
distribution_project_review,Ablation-NoPreferenceRanking,3,0.16634350,0.16634350,True
distribution_project_review,Ablation-NoPreferenceRanking,4,0.16574484,0.16574484,True
distribution_project_review,Ablation-NoPreferenceRanking,5,0.16544217,0.16544217,True
distribution_project_review,Ablation-NoPreferenceRanking,6,0.16596811,0.16596811,True
distribution_project_review,Ablation-NoPreferenceRanking,7,0.16553761,0.16553761,True
distribution_project_review,Ablation-NoPreferenceRanking,8,0.16509263,0.16509263,True
distribution_project_review,Ablation-NoPreferenceRanking,9,0.16466967,0.16466967,True
distribution_project_review,Ablation-NoPreferenceRanking,10,0.16543336,0.16543336,True
distribution_project_review,Ablation-NoPreferenceRanking,11,0.16702638,0.16702638,True
distribution_project_review,Ablation-NoPreferenceRanking,12,0.16556659,0.16556659,True
distribution_project_review,Ablation-NoPreferenceRanking,13,0.16583748,0.16583748,True
distribution_project_review,Ablation-NoPreferenceRanking,14,0.16602556,0.16602556,True
distribution_project_review,Ablation-NoPreferenceRanking,15,0.16666435,0.16666435,True
distribution_project_review,Ablation-NoPreferenceRanking,16,0.16619195,0.16619195,True
distribution_project_review,Ablation-NoPreferenceRanking,17,0.16571224,0.16571224,True
distribution_project_review,Ablation-NoPreferenceRanking,18,0.16644938,0.16644938,True
distribution_project_review,Ablation-NoPreferenceRanking,19,0.16456970,0.16456970,True
distribution_project_review,Ablation-NoPreferenceRanking,20,0.16704804,0.16704804,True
distribution_project_review,Ablation-NoPreferenceRanking,21,0.16554808,0.16554808,True
distribution_project_review,Ablation-NoPreferenceRanking,22,0.16606585,0.16606585,True
distribution_project_review,Ablation-NoPreferenceRanking,23,0.16548766,0.16548766,True
distribution_project_review,Ablation-NoPreferenceRanking,24,0.16644875,0.16644875,True
distribution_project_review,Ablation-NoPreferenceRanking,25,0.16455300,0.16455300,True
distribution_project_review,Ablation-NoPreferenceRanking,26,0.16465415,0.16465415,True
distribution_project_review,Ablation-NoPreferenceRanking,27,0.16564801,0.16564801,True
distribution_project_review,Ablation-NoPreferenceRanking,28,0.16573076,0.16573076,True
distribution_project_review,Ablation-NoPreferenceRanking,29,0.16418832,0.16418832,True
distribution_project_review,AHP-TOPSIS,0,0.13381786,0.13381786,True
distribution_project_review,Weighted Sum,0,0.08192868,0.08192868,True
distribution_project_review,Greedy BCR,0,0.13309973,0.13309973,True
reliability_driven_review,TRACE-MOEA,0,0.17136093,0.17136093,True
reliability_driven_review,TRACE-MOEA,1,0.17503540,0.17503540,True
reliability_driven_review,TRACE-MOEA,2,0.17226790,0.17226790,True
reliability_driven_review,TRACE-MOEA,3,0.16997141,0.16997141,True
reliability_driven_review,TRACE-MOEA,4,0.17223457,0.17223457,True
reliability_driven_review,TRACE-MOEA,5,0.17151217,0.17151217,True
reliability_driven_review,TRACE-MOEA,6,0.17639819,0.17639819,True
reliability_driven_review,TRACE-MOEA,7,0.17096352,0.17096352,True
reliability_driven_review,TRACE-MOEA,8,0.17171411,0.17171411,True
reliability_driven_review,TRACE-MOEA,9,0.17065435,0.17065435,True
reliability_driven_review,TRACE-MOEA,10,0.17274177,0.17274177,True
reliability_driven_review,TRACE-MOEA,11,0.17041769,0.17041769,True
reliability_driven_review,TRACE-MOEA,12,0.17107233,0.17107233,True
reliability_driven_review,TRACE-MOEA,13,0.17339058,0.17339058,True
reliability_driven_review,TRACE-MOEA,14,0.16996292,0.16996292,True
reliability_driven_review,TRACE-MOEA,15,0.17333442,0.17333442,True
reliability_driven_review,TRACE-MOEA,16,0.17357247,0.17357247,True
reliability_driven_review,TRACE-MOEA,17,0.17225334,0.17225334,True
reliability_driven_review,TRACE-MOEA,18,0.17141349,0.17141349,True
reliability_driven_review,TRACE-MOEA,19,0.17341594,0.17341594,True
reliability_driven_review,TRACE-MOEA,20,0.17476406,0.17476406,True
reliability_driven_review,TRACE-MOEA,21,0.17187420,0.17187420,True
reliability_driven_review,TRACE-MOEA,22,0.17221925,0.17221925,True
reliability_driven_review,TRACE-MOEA,23,0.17093554,0.17093554,True
reliability_driven_review,TRACE-MOEA,24,0.17081333,0.17081333,True
reliability_driven_review,TRACE-MOEA,25,0.17022696,0.17022696,True
reliability_driven_review,TRACE-MOEA,26,0.17462113,0.17462113,True
reliability_driven_review,TRACE-MOEA,27,0.17165527,0.17165527,True
reliability_driven_review,TRACE-MOEA,28,0.17316337,0.17316337,True
