cell_id,factor,method,risk_aggregation,quality_compliance_share,n_preferences,preference_profile,seed_index,seed_value,hv_reported_empirical_ref1p1_clipped,hv_analytic_ref1p2,matched_single_hv_analytic_ref1p2,compromise_max_score,full_front_size,portfolio_size,trace_event_count
registered,reference,TRACE-MOEA,mean,0.5000000000,8,balanced,0,700000,0.1722931566,0.1059947851,0.0148984982,0.9845743008,38,14,1021
registered,reference,TRACE-MOEA,mean,0.5000000000,8,balanced,1,707919,0.1737337103,0.1012965735,0.0148872540,0.9839296725,38,13,1138
registered,reference,TRACE-MOEA,mean,0.5000000000,8,balanced,2,715838,0.1731427292,0.1038270209,0.0131828389,0.9843407252,39,13,1187
registered,reference,TRACE-MOEA,mean,0.5000000000,8,balanced,3,723757,0.1733714865,0.1035375032,0.0133102522,0.9845396383,39,14,1235
registered,reference,TRACE-MOEA,mean,0.5000000000,8,balanced,4,731676,0.1728339428,0.1042774474,0.0146930903,0.9850608742,38,14,1055
registered,reference,TRACE-MOEA,mean,0.5000000000,8,balanced,5,739595,0.1759358762,0.1107948227,0.0181066207,0.9856607992,38,14,950
registered,reference,TRACE-MOEA,mean,0.5000000000,8,balanced,6,747514,0.1759035558,0.1060624025,0.0127570817,0.9807559823,38,14,1268
registered,reference,TRACE-MOEA,mean,0.5000000000,8,balanced,7,755433,0.1748351266,0.1008210414,0.0157609083,0.9850214076,38,13,1227
registered,reference,TRACE-MOEA,mean,0.5000000000,8,balanced,8,763352,0.1762855555,0.1089440805,0.0159450787,0.9857604071,38,13,1231
registered,reference,TRACE-MOEA,mean,0.5000000000,8,balanced,9,771271,0.1739673411,0.1009170544,0.0137478374,0.9856110086,39,13,1080
registered,reference,TRACE-MOEA,mean,0.5000000000,8,balanced,10,779190,0.1741434448,0.1082796536,0.0135247416,0.9849015857,37,14,1122
registered,reference,TRACE-MOEA,mean,0.5000000000,8,balanced,11,787109,0.1739255630,0.1075945262,0.0147536631,0.9856794815,38,14,1221
registered,reference,TRACE-MOEA,mean,0.5000000000,8,balanced,12,795028,0.1759505272,0.1043338851,0.0135132328,0.9877521282,39,15,1162
registered,reference,TRACE-MOEA,mean,0.5000000000,8,balanced,13,802947,0.1749799056,0.1067536250,0.0156486933,0.9845661200,38,14,1157
registered,reference,TRACE-MOEA,mean,0.5000000000,8,balanced,14,810866,0.1778538300,0.1065491469,0.0144157074,0.9846466645,38,14,1183
registered,reference,TRACE-MOEA,mean,0.5000000000,8,balanced,15,818785,0.1754449315,0.1021270701,0.0155633345,0.9846282968,38,14,1290
registered,reference,TRACE-MOEA,mean,0.5000000000,8,balanced,16,826704,0.1749699805,0.1099875035,0.0196929751,0.9868228887,39,12,1075
registered,reference,TRACE-MOEA,mean,0.5000000000,8,balanced,17,834623,0.1750643867,0.1032903591,0.0157094585,0.9850850783,39,13,1025
registered,reference,TRACE-MOEA,mean,0.5000000000,8,balanced,18,842542,0.1765609627,0.1107336865,0.0152889551,0.9839582738,38,14,1085
registered,reference,TRACE-MOEA,mean,0.5000000000,8,balanced,19,850461,0.1723821655,0.1037681182,0.0148417103,0.9863061533,40,14,1214
registered,reference,TRACE-MOEA,mean,0.5000000000,8,balanced,20,858380,0.1769717236,0.1042579515,0.0136312607,0.9855279513,39,13,1242
registered,reference,TRACE-MOEA,mean,0.5000000000,8,balanced,21,866299,0.1764088019,0.1042730141,0.0145169382,0.9846764250,39,14,1248
registered,reference,TRACE-MOEA,mean,0.5000000000,8,balanced,22,874218,0.1754816298,0.1030724560,0.0159962426,0.9839967231,39,14,1227
registered,reference,TRACE-MOEA,mean,0.5000000000,8,balanced,23,882137,0.1740089088,0.1056532271,0.0210617292,0.9837807445,39,12,1200
registered,reference,TRACE-MOEA,mean,0.5000000000,8,balanced,24,890056,0.1745407708,0.1053848761,0.0124334189,0.9835233438,37,14,1166
registered,reference,TRACE-MOEA,mean,0.5000000000,8,balanced,25,897975,0.1770576821,0.1069090486,0.0154280031,0.9847341542,38,14,1188
registered,reference,TRACE-MOEA,mean,0.5000000000,8,balanced,26,905894,0.1776255046,0.1078989734,0.0187082868,0.9855964918,39,14,1034
