scenario,method,method_type,unique_runs,front_points,reported_clipped_coordinates,reported_coordinate_clip_rate,reported_clipped_points,reported_point_clip_rate,expanded_clipped_coordinates,expanded_coordinate_clip_rate,expanded_clipped_points,expanded_point_clip_rate,analytic_clipped_coordinates,analytic_coordinate_clip_rate,analytic_clipped_points,analytic_point_clip_rate
benchmark_portfolio_optimization,AHP-TOPSIS,deterministic,1,1,1,0.2000000000,1,1.0000000000,1,0.2000000000,1,1.0000000000,0,0.0000000000,0,0.0000000000
benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,shared_custom_moea,30,1156,119,0.0205882353,119,0.1029411765,10,0.0017301038,10,0.0086505190,0,0.0000000000,0,0.0000000000
benchmark_portfolio_optimization,Greedy BCR,deterministic,1,1,0,0.0000000000,0,0.0000000000,0,0.0000000000,0,0.0000000000,0,0.0000000000,0,0.0000000000
benchmark_portfolio_optimization,TRACE-MOEA,shared_custom_moea,30,1162,140,0.0240963855,140,0.1204819277,27,0.0046471601,27,0.0232358003,0,0.0000000000,0,0.0000000000
benchmark_portfolio_optimization,Weighted Sum,deterministic,1,1,0,0.0000000000,0,0.0000000000,0,0.0000000000,0,0.0000000000,0,0.0000000000,0,0.0000000000
budget_ranking_stability,AHP-TOPSIS,deterministic,1,1,1,0.2000000000,1,1.0000000000,1,0.2000000000,1,1.0000000000,0,0.0000000000,0,0.0000000000
budget_ranking_stability,Ablation-NoPreferenceRanking,shared_custom_moea,30,1162,94,0.0161790017,94,0.0808950086,5,0.0008605852,5,0.0043029260,0,0.0000000000,0,0.0000000000
budget_ranking_stability,Greedy BCR,deterministic,1,1,0,0.0000000000,0,0.0000000000,0,0.0000000000,0,0.0000000000,0,0.0000000000,0,0.0000000000
budget_ranking_stability,TRACE-MOEA,shared_custom_moea,30,1156,92,0.0159169550,92,0.0795847751,3,0.0005190311,3,0.0025951557,0,0.0000000000,0,0.0000000000
budget_ranking_stability,Weighted Sum,deterministic,1,1,0,0.0000000000,0,0.0000000000,0,0.0000000000,0,0.0000000000,0,0.0000000000,0,0.0000000000
distribution_project_review,AHP-TOPSIS,deterministic,1,1,1,0.2000000000,1,1.0000000000,1,0.2000000000,1,1.0000000000,0,0.0000000000,0,0.0000000000
distribution_project_review,Ablation-NoPreferenceRanking,shared_custom_moea,30,1145,110,0.0192139738,110,0.0960698690,6,0.0010480349,6,0.0052401747,0,0.0000000000,0,0.0000000000
distribution_project_review,Greedy BCR,deterministic,1,1,1,0.2000000000,1,1.0000000000,1,0.2000000000,1,1.0000000000,0,0.0000000000,0,0.0000000000
distribution_project_review,TRACE-MOEA,shared_custom_moea,30,1149,117,0.0203655352,117,0.1018276762,9,0.0015665796,9,0.0078328982,0,0.0000000000,0,0.0000000000
distribution_project_review,Weighted Sum,deterministic,1,1,0,0.0000000000,0,0.0000000000,0,0.0000000000,0,0.0000000000,0,0.0000000000,0,0.0000000000
preference_aware_support,AHP-TOPSIS,deterministic,1,1,1,0.2000000000,1,1.0000000000,1,0.2000000000,1,1.0000000000,0,0.0000000000,0,0.0000000000
