paper,experiment_id,comparison,opponent,opponent_role,inference_status,n_proposed,n_opponent_effective,mean_proposed,mean_opponent,mean_difference,relative_difference_pct,rank_biserial,mean_diff_ci_low,mean_diff_ci_high,p_raw,p_holm_stochastic_family,significant_005_holm,p_holm_across_seven_scenarios,significant_005_across_scenarios,within_scenario_family,across_scenario_family,estimand_scope
p5,benchmark_portfolio_optimization,TRACE-MOEA vs Ablation-NoPreferenceRanking,Ablation-NoPreferenceRanking,ablation,inferential_stochastic,30,30,0.174415029,0.174313683,0.000101346,0.05814001417,0.1444444444,-0.000937641425,0.001074258283,0.3402884651,0.5161029902,False,1,False,12 stochastic opponents,7 raw scenario contrasts per named configuration,direct preference-layer ablation
p5,benchmark_portfolio_optimization,TRACE-MOEA vs Ablation-NoScheduleRisk,Ablation-NoScheduleRisk,ablation,inferential_stochastic,30,30,0.174415029,0.1746931043,-0.0002780753333,-0.1591793416,-0.1711111111,-0.001812385567,0.0015651349,0.2580514951,0.5161029902,False,1,False,12 stochastic opponents,7 raw scenario contrasts per named configuration,combined risk-objective hiding and first-vector mapping change
p5,budget_ranking_stability,TRACE-MOEA vs Ablation-NoPreferenceRanking,Ablation-NoPreferenceRanking,ablation,inferential_stochastic,30,30,0.171391493,0.171535609,-0.000144116,-0.08401520876,0.08,-0.001253481317,0.0008868349,0.5996894845,1,False,1,False,12 stochastic opponents,7 raw scenario contrasts per named configuration,direct preference-layer ablation
p5,budget_ranking_stability,TRACE-MOEA vs Ablation-NoScheduleRisk,Ablation-NoScheduleRisk,ablation,inferential_stochastic,30,30,0.171391493,0.1711473783,0.0002441146667,0.1426341841,-0.006666666667,-0.001395660967,0.002095112125,0.9705160513,1,False,1,False,12 stochastic opponents,7 raw scenario contrasts per named configuration,combined risk-objective hiding and first-vector mapping change
p5,distribution_project_review,TRACE-MOEA vs Ablation-NoPreferenceRanking,Ablation-NoPreferenceRanking,ablation,inferential_stochastic,30,30,0.164905308,0.1656599753,-0.0007546673333,-0.4555520015,-0.2177777778,-0.001509651908,-0.00010357125,0.1494487062,0.7472435312,False,0.8966922374,False,12 stochastic opponents,7 raw scenario contrasts per named configuration,direct preference-layer ablation
p5,distribution_project_review,TRACE-MOEA vs Ablation-NoScheduleRisk,Ablation-NoScheduleRisk,ablation,inferential_stochastic,30,30,0.164905308,0.1638851317,0.001020176333,0.6224947455,0.1533333333,-0.00056093785,0.003015888392,0.3111876434,1,False,1,False,12 stochastic opponents,7 raw scenario contrasts per named configuration,combined risk-objective hiding and first-vector mapping change
p5,preference_aware_support,TRACE-MOEA vs Ablation-NoPreferenceRanking,Ablation-NoPreferenceRanking,ablation,inferential_stochastic,30,30,0.175119013,0.174886825,0.000232188,0.132764718,0.05111111111,-0.0006463735333,0.001101678092,0.7393988193,0.8579267777,False,1,False,12 stochastic opponents,7 raw scenario contrasts per named configuration,direct preference-layer ablation
p5,preference_aware_support,TRACE-MOEA vs Ablation-NoScheduleRisk,Ablation-NoScheduleRisk,ablation,inferential_stochastic,30,30,0.175119013,0.1746212007,0.0004978123333,0.2850812682,0.12,-0.00051297775,0.001521377442,0.4289633889,0.8579267777,False,1,False,12 stochastic opponents,7 raw scenario contrasts per named configuration,combined risk-objective hiding and first-vector mapping change
p5,reliability_driven_review,TRACE-MOEA vs Ablation-NoPreferenceRanking,Ablation-NoPreferenceRanking,ablation,inferential_stochastic,30,30,0.1722317857,0.1721953897,3.6396e-05,0.02113645439,-0.006666666667,-0.000787774475,0.000903765375,0.9705160513,1,False,1,False,12 stochastic opponents,7 raw scenario contrasts per named configuration,direct preference-layer ablation
p5,reliability_driven_review,TRACE-MOEA vs Ablation-NoScheduleRisk,Ablation-NoScheduleRisk,ablation,inferential_stochastic,30,30,0.1722317857,0.172140022,9.176366667e-05,0.05330757229,-0.08444444444,-0.0008821330333,0.001091650175,0.5792942106,1,False,1,False,12 stochastic opponents,7 raw scenario contrasts per named configuration,combined risk-objective hiding and first-vector mapping change
p5,renewable_accommodation_review,TRACE-MOEA vs Ablation-NoPreferenceRanking,Ablation-NoPreferenceRanking,ablation,inferential_stochastic,30,30,0.1864609527,0.1846779593,0.001782993333,0.9654608161,0.3866666667,0.0005096419083,0.00315893575,0.0103146724,0.0206293448,True,0.07220270682,False,12 stochastic opponents,7 raw scenario contrasts per named configuration,direct preference-layer ablation
p5,renewable_accommodation_review,TRACE-MOEA vs Ablation-NoScheduleRisk,Ablation-NoScheduleRisk,ablation,inferential_stochastic,30,30,0.1864609527,0.1858980117,0.000562941,0.3028224966,0.08666666667,-0.0005727381833,0.001792308375,0.5692201637,0.5692201637,False,1,False,12 stochastic opponents,7 raw scenario contrasts per named configuration,combined risk-objective hiding and first-vector mapping change
p5,traceability_evaluation,TRACE-MOEA vs Ablation-NoPreferenceRanking,Ablation-NoPreferenceRanking,ablation,inferential_stochastic,30,30,0.175208228,0.1744236483,0.0007845796667,0.4498126683,0.1933333333,-0.0003445444083,0.002066913117,0.200948897,0.210939893,False,1,False,12 stochastic opponents,7 raw scenario contrasts per named configuration,direct preference-layer ablation
p5,traceability_evaluation,TRACE-MOEA vs Ablation-NoScheduleRisk,Ablation-NoScheduleRisk,ablation,inferential_stochastic,30,30,0.175208228,0.1757930143,-0.0005847863333,-0.3326561841,-0.4044444444,-0.001858600633,0.001029238958,0.007288360465,0.0218650814,True,0.05101852326,False,12 stochastic opponents,7 raw scenario contrasts per named configuration,combined risk-objective hiding and first-vector mapping change
