method,method_role,runs,mean_hypervolume,std_hypervolume,mean_runtime_s,mean_repair_drop_records,mean_total_event_records,mean_position_cooccurrence,interpretation_scope
TRACE-MOEA,proposed,210,0.1742474013,0.00634762855,0.1129952286,806.247619,1126.247619,0.9856882028,proposed integration
Ablation-NoScheduleRisk,ablation,210,0.174025409,0.007017295857,0.1069733524,804.847619,1124.847619,0.9863437488,combined objective hiding and first-vector mapping change
Ablation-NoPreferenceRanking,ablation,210,0.1739561557,0.005637567289,0.1085098905,803.0666667,803.0666667,0.9661540269,direct preference-layer ablation
Ablation-NoFeasibilityRepair,ablation,210,0.1730043361,0.006524913903,0.105657119,0,320,0.8646994573,direct repair ablation
NSGA-II,baseline,210,0.1727038544,0.006423218578,0.1455613238,0,0,0,external baseline
Ablation-NSGA2Only,ablation,210,0.1724923487,0.006519553441,0.1015256714,0,0,0,joint removal of review-specific components
Ablation-NoRenewableFeatures,ablation,210,0.1692958791,0.003746818798,0.1059579333,599.4952381,919.4952381,0.9637356054,combined objective hiding and first-vector mapping change
AHP-TOPSIS,baseline,210,0.1346783,0.00268779247,0.06539028571,0,0,0,external baseline
R-NSGA-II,baseline,210,0.1198022607,0.02670657279,0.1922432238,0,0,0,external baseline
Ablation-SingleObjective,ablation,210,0.116167129,0.02636519409,0.1118271381,1610.695238,1610.695238,0.9835112424,formulation stress test
Ablation-NoReliabilityFeatures,ablation,210,0.09081027376,0.02123885591,0.1062010905,595.0619048,915.0619048,0.977166943,combined objective hiding and first-vector mapping change
Random Feasible,baseline,210,0.08064059829,0.02261091473,0.06530154762,0,0,0,external baseline
Ablation-SmallProjectPool,ablation,210,0.06919517529,0.01279697837,0.07921343333,333.6809524,653.6809524,0.9696672279,candidate-pool stress test
Greedy BCR,baseline,210,0.05575570143,0.0324770024,0.06510098095,0,0,0,external baseline
Weighted Sum,baseline,210,0.04104791143,0.0199111092,0.06518514286,0,0,0,external baseline
MOEA/D,baseline,210,0.019542316,0.01379149544,0.3747394857,0,0,0,external baseline
