paper,experiment_id,method,method_role,n_seeds,pool_size,n_built,n_withdrawn,n_unresolved,n_deferred,outcome_capture_strict,outcome_capture_broad,pointbiserial_r_broad,pointbiserial_p_broad,pointbiserial_r_strict,pointbiserial_p_strict,mannwhitney_p_broad,mannwhitney_p_strict,withdrawn_capture,deferred_selection_share,mean_portfolio_size,source_status
p5,benchmark_portfolio_optimization,AHP-TOPSIS,baseline,10,1097,844,17,201,35,1.008993,1.100247,0.097055,0.001542,0.03292,0.334626,0.001571,0.334684,0.55352,0.004808,208.0,public_miso_mtep16_outcome_backtest_v1
p5,benchmark_portfolio_optimization,TRACE-MOEA,proposed,10,1097,844,17,201,35,1.01395,1.079479,0.168851,0.0,0.111911,0.001004,0.0,0.000342,0.307418,0.023657,156.4,public_miso_mtep16_outcome_backtest_v1
p5,benchmark_portfolio_optimization,Weighted Sum,baseline,10,1097,844,17,201,35,1.005569,1.07188,0.04064,0.185705,0.011672,0.732338,0.185665,0.732905,0.723529,0.0,81.0,public_miso_mtep16_outcome_backtest_v1
p5,benchmark_portfolio_optimization,Greedy BCR,baseline,10,1097,844,17,201,35,1.001015,1.027134,0.058234,0.057812,0.008023,0.814136,0.057866,0.814424,0.949632,0.017036,587.0,public_miso_mtep16_outcome_backtest_v1
p5,benchmark_portfolio_optimization,MOEA/D,baseline,10,1097,844,17,201,35,1.004666,1.025325,0.033418,0.276563,0.022394,0.511685,0.227647,0.476928,0.76835,0.022495,97.8,public_miso_mtep16_outcome_backtest_v1
p5,benchmark_portfolio_optimization,NSGA-II,baseline,10,1097,844,17,201,35,1.005072,1.018619,0.035582,0.246632,0.034437,0.312821,0.482724,0.385792,0.748195,0.021918,109.5,public_miso_mtep16_outcome_backtest_v1
p5,benchmark_portfolio_optimization,Random Feasible,baseline,10,1097,844,17,201,35,0.999676,1.017856,0.030444,0.321595,-0.001996,0.953355,0.470756,0.751865,1.016068,0.022416,80.3,public_miso_mtep16_outcome_backtest_v1
p5,benchmark_portfolio_optimization,R-NSGA-II,baseline,10,1097,844,17,201,35,1.007548,0.945691,-0.085064,0.00554,0.040819,0.231499,0.003759,0.305871,0.625272,0.019447,97.7,public_miso_mtep16_outcome_backtest_v1
p5,reliability_driven_review,Weighted Sum,baseline,10,1062,811,17,199,35,0.997218,1.131621,0.080953,0.009449,-0.006541,0.850937,0.009521,0.851565,1.132695,0.0,94.0,public_miso_mtep16_outcome_backtest_v1
p5,reliability_driven_review,AHP-TOPSIS,baseline,10,1062,811,17,199,35,1.011805,1.072263,0.081735,0.008779,0.049503,0.154686,0.008848,0.154758,0.436824,0.011364,264.0,public_miso_mtep16_outcome_backtest_v1
p5,reliability_driven_review,TRACE-MOEA,proposed,10,1062,811,17,199,35,1.000432,1.069633,0.151092,1e-06,0.003481,0.920342,1e-06,0.78217,0.979391,0.020888,153.2,public_miso_mtep16_outcome_backtest_v1
p5,reliability_driven_review,Greedy BCR,baseline,10,1062,811,17,199,35,1.001328,1.030583,0.065406,0.036104,0.010457,0.763824,0.03618,0.764077,0.936652,0.01913,575.0,public_miso_mtep16_outcome_backtest_v1
p5,reliability_driven_review,MOEA/D,baseline,10,1062,811,17,199,35,1.001478,1.017028,0.022265,0.476008,0.006893,0.843,0.749466,0.934851,0.929502,0.018405,97.8,public_miso_mtep16_outcome_backtest_v1
p5,reliability_driven_review,NSGA-II,baseline,10,1062,811,17,199,35,1.003015,1.010258,0.02284,0.464677,0.024178,0.487207,0.410797,0.434202,0.856158,0.025502,129.4,public_miso_mtep16_outcome_backtest_v1
p5,reliability_driven_review,Random Feasible,baseline,10,1062,811,17,199,35,1.00545,0.996577,-0.006297,0.840271,0.034936,0.315343,0.601115,0.203448,0.740006,0.032051,93.6,public_miso_mtep16_outcome_backtest_v1
p5,reliability_driven_review,R-NSGA-II,baseline,10,1062,811,17,199,35,1.003782,0.931533,-0.119261,0.000128,0.023005,0.508574,0.002229,0.292856,0.81957,0.027972,114.4,public_miso_mtep16_outcome_backtest_v1
