paper,experiment_id,method,method_role,n_seeds,priority_capture_ratio,kendall_tau,kendall_p,mean_portfolio_size,source_status,comparison_scope
p5,benchmark_portfolio_optimization,AHP-TOPSIS,baseline,10,2.291668,0.450425,1.16119e-08,14,public_nerc_rule_backtest_v1,descriptive external consistency
p5,benchmark_portfolio_optimization,Ablation-NoRenewableFeatures,ablation,10,1.684919,0.069897,0.341597,15,public_nerc_rule_backtest_v1,descriptive external consistency
p5,benchmark_portfolio_optimization,Weighted Sum,baseline,10,1.68131,0.102386,0.194673,3,public_nerc_rule_backtest_v1,descriptive external consistency
p5,benchmark_portfolio_optimization,Ablation-NSGA2Only,ablation,10,1.590639,0.04417,0.548735,13.7,public_nerc_rule_backtest_v1,descriptive external consistency
p5,benchmark_portfolio_optimization,NSGA-II,baseline,10,1.584589,0.084231,0.250056,14.3,public_nerc_rule_backtest_v1,descriptive external consistency
p5,benchmark_portfolio_optimization,TRACE-MOEA,proposed,10,1.55003,0.010955,0.881115,14.5,public_nerc_rule_backtest_v1,descriptive external consistency
p5,benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,ablation,10,1.514015,-0.010529,0.885573,14.2,public_nerc_rule_backtest_v1,descriptive external consistency
p5,benchmark_portfolio_optimization,Ablation-NoScheduleRisk,ablation,10,1.493551,0.006176,0.933116,14.2,public_nerc_rule_backtest_v1,descriptive external consistency
p5,benchmark_portfolio_optimization,Ablation-NoFeasibilityRepair,ablation,10,1.457017,-0.012004,0.86965,14.2,public_nerc_rule_backtest_v1,descriptive external consistency
p5,benchmark_portfolio_optimization,Ablation-SingleObjective,ablation,10,1.107951,0.162735,0.0277619,14.3,public_nerc_rule_backtest_v1,descriptive external consistency
p5,benchmark_portfolio_optimization,Ablation-SmallProjectPool,ablation,10,1.034828,-0.055145,0.465512,11.4,public_nerc_rule_backtest_v1,descriptive external consistency
p5,benchmark_portfolio_optimization,Ablation-NoReliabilityFeatures,ablation,10,1.02452,0.027392,0.712551,8.8,public_nerc_rule_backtest_v1,descriptive external consistency
p5,benchmark_portfolio_optimization,R-NSGA-II,baseline,10,0.948448,-0.160346,0.0261652,14.6,public_nerc_rule_backtest_v1,descriptive external consistency
p5,benchmark_portfolio_optimization,Random Feasible,baseline,10,0.891288,-0.069526,0.347738,10.9,public_nerc_rule_backtest_v1,descriptive external consistency
p5,benchmark_portfolio_optimization,MOEA/D,baseline,10,0.597327,-0.045654,0.560112,1.1,public_nerc_rule_backtest_v1,descriptive external consistency
p5,benchmark_portfolio_optimization,Greedy BCR,baseline,10,0.226572,-0.305273,0.00011029,14,public_nerc_rule_backtest_v1,descriptive external consistency
p5,reliability_driven_review,AHP-TOPSIS,baseline,10,1.628495,0.524609,1.09893e-07,14,public_nerc_rule_backtest_v1,descriptive external consistency
p5,reliability_driven_review,NSGA-II,baseline,10,1.383713,0.261055,0.00398131,12.8,public_nerc_rule_backtest_v1,descriptive external consistency
p5,reliability_driven_review,Ablation-NoFeasibilityRepair,ablation,10,1.361194,0.19208,0.0334733,13.1,public_nerc_rule_backtest_v1,descriptive external consistency
p5,reliability_driven_review,Ablation-NoScheduleRisk,ablation,10,1.343222,0.208088,0.0204789,13.7,public_nerc_rule_backtest_v1,descriptive external consistency
p5,reliability_driven_review,Ablation-NoPreferenceRanking,ablation,10,1.341015,0.149776,0.0958362,14.1,public_nerc_rule_backtest_v1,descriptive external consistency
p5,reliability_driven_review,Ablation-NoRenewableFeatures,ablation,10,1.340772,0.217509,0.0154462,14.8,public_nerc_rule_backtest_v1,descriptive external consistency
p5,reliability_driven_review,TRACE-MOEA,proposed,10,1.338031,0.146437,0.104422,14,public_nerc_rule_backtest_v1,descriptive external consistency
p5,reliability_driven_review,Ablation-NSGA2Only,ablation,10,1.289209,0.060553,0.500055,12.8,public_nerc_rule_backtest_v1,descriptive external consistency
p5,reliability_driven_review,R-NSGA-II,baseline,10,1.090374,0.03197,0.719298,12.4,public_nerc_rule_backtest_v1,descriptive external consistency
p5,reliability_driven_review,Random Feasible,baseline,10,1.023574,0.073651,0.420889,8.7,public_nerc_rule_backtest_v1,descriptive external consistency
p5,reliability_driven_review,Ablation-NoReliabilityFeatures,ablation,10,0.99394,-0.007161,0.937932,7.3,public_nerc_rule_backtest_v1,descriptive external consistency
p5,reliability_driven_review,Weighted Sum,baseline,10,0.986595,0.04202,0.670633,3,public_nerc_rule_backtest_v1,descriptive external consistency
p5,reliability_driven_review,Ablation-SingleObjective,ablation,10,0.973754,0.054893,0.547867,15.7,public_nerc_rule_backtest_v1,descriptive external consistency
p5,reliability_driven_review,Ablation-SmallProjectPool,ablation,10,0.799643,-0.313718,0.000789096,12,public_nerc_rule_backtest_v1,descriptive external consistency
p5,reliability_driven_review,Greedy BCR,baseline,10,0.532293,-0.389867,7.95221e-05,11,public_nerc_rule_backtest_v1,descriptive external consistency
p5,reliability_driven_review,MOEA/D,baseline,10,,,,0,public_nerc_rule_backtest_v1,descriptive external consistency
