method,method_role,mean_hv,mean_runtime_s,mean_moves,mean_trace_events,mean_coverage,n
AHP-TOPSIS,baseline,0.1346783,0.06539028571428572,0.0,0.0,0.0,210
Ablation-NSGA2Only,ablation,0.17249234866666666,0.10152567142857143,0.0,0.0,0.0,210
Ablation-NoFeasibilityRepair,ablation,0.1730043360952381,0.10565711904761906,0.0,320.0,0.8646994572857142,210
Ablation-NoPreferenceRanking,ablation,0.17395615566666667,0.10850989047619047,803.0666666666667,803.0666666666667,0.9661540269047619,210
Ablation-NoReliabilityFeatures,ablation,0.09081027376190476,0.10620109047619047,595.0619047619048,915.0619047619048,0.9771669429523809,210
Ablation-NoRenewableFeatures,ablation,0.16929587914285713,0.10595793333333334,599.495238095238,919.495238095238,0.9637356054285714,210
Ablation-NoScheduleRisk,ablation,0.174025409,0.10697335238095237,804.847619047619,1124.847619047619,0.9863437488095238,210
Ablation-SingleObjective,ablation,0.11616712895238095,0.1118271380952381,1610.695238095238,1610.695238095238,0.9835112423809524,210
Ablation-SmallProjectPool,ablation,0.06919517528571428,0.07921343333333333,333.68095238095236,653.6809523809524,0.969667227904762,210
Greedy BCR,baseline,0.05575570142857143,0.06510098095238095,0.0,0.0,0.0,210
MOEA/D,baseline,0.019542315999999997,0.37473948571428567,0.0,0.0,0.0,210
NSGA-II,baseline,0.17270385438095237,0.1455613238095238,0.0,0.0,0.0,210
R-NSGA-II,baseline,0.11980226066666666,0.1922432238095238,0.0,0.0,0.0,210
Random Feasible,baseline,0.0806405982857143,0.06530154761904762,0.0,0.0,0.0,210
TRACE-MOEA,proposed,0.17424740133333336,0.11299522857142857,806.2476190476191,1126.247619047619,0.9856882028095239,210
Weighted Sum,baseline,0.041047911428571435,0.06518514285714286,0.0,0.0,0.0,210
