scenario,method,scheme,n_runs,mean_hypervolume,sd_hypervolume,total_out_of_bounds_points,total_front_points
budget_constrained_selection,BiLo-NSGA,analytic_ref1p05_unclipped,30,0.0073623808,0.0003134588,0,1157
budget_constrained_selection,BiLo-NSGA,analytic_ref1p1_unclipped,30,0.0217535480,0.0006788125,0,1157
budget_constrained_selection,BiLo-NSGA,analytic_ref1p2_unclipped,30,0.0802693490,0.0016574430,0,1157
budget_constrained_selection,BiLo-NSGA,expanded_empirical_ref1p1_unclipped,30,0.1932611853,0.0099267510,0,1157
budget_constrained_selection,BiLo-NSGA,reported_empirical_ref1p1_clipped,30,0.1489883240,0.0098176495,0,1157
budget_constrained_selection,BiLo-NSGA,reported_empirical_ref1p1_unclipped,30,0.1489883240,0.0098176495,0,1157
budget_constrained_selection,NSGA-II,analytic_ref1p05_unclipped,30,0.0082444177,0.0002902225,0,1150
budget_constrained_selection,NSGA-II,analytic_ref1p1_unclipped,30,0.0239439672,0.0006504291,0,1150
budget_constrained_selection,NSGA-II,analytic_ref1p2_unclipped,30,0.0864192641,0.0017056425,0,1150
budget_constrained_selection,NSGA-II,expanded_empirical_ref1p1_unclipped,30,0.2330544742,0.0148901136,6,1150
budget_constrained_selection,NSGA-II,reported_empirical_ref1p1_clipped,30,0.1698729529,0.0015284796,76,1150
budget_constrained_selection,NSGA-II,reported_empirical_ref1p1_unclipped,30,0.1854760859,0.0143128867,76,1150
budget_constrained_selection,Pareto Local Search,analytic_ref1p05_unclipped,30,0.0065837276,0.0003615323,0,1200
budget_constrained_selection,Pareto Local Search,analytic_ref1p1_unclipped,30,0.0198819154,0.0007818738,0,1200
budget_constrained_selection,Pareto Local Search,analytic_ref1p2_unclipped,30,0.0750696395,0.0019219898,0,1200
budget_constrained_selection,Pareto Local Search,expanded_empirical_ref1p1_unclipped,30,0.1501102472,0.0085078757,0,1200
budget_constrained_selection,Pareto Local Search,reported_empirical_ref1p1_clipped,30,0.1051683545,0.0086754995,0,1200
budget_constrained_selection,Pareto Local Search,reported_empirical_ref1p1_unclipped,30,0.1051683545,0.0086754995,0,1200
budget_sensitivity,BiLo-NSGA,analytic_ref1p05_unclipped,30,0.0069441942,0.0004089689,0,1154
budget_sensitivity,BiLo-NSGA,analytic_ref1p1_unclipped,30,0.0208804247,0.0008983028,0,1154
budget_sensitivity,BiLo-NSGA,analytic_ref1p2_unclipped,30,0.0780821326,0.0022087188,0,1154
budget_sensitivity,BiLo-NSGA,expanded_empirical_ref1p1_unclipped,30,0.1896366533,0.0101236516,0,1154
budget_sensitivity,BiLo-NSGA,reported_empirical_ref1p1_clipped,30,0.1440448662,0.0100431519,0,1154
budget_sensitivity,BiLo-NSGA,reported_empirical_ref1p1_unclipped,30,0.1440448662,0.0100431519,0,1154
budget_sensitivity,NSGA-II,analytic_ref1p05_unclipped,30,0.0075231646,0.0001742227,0,1143
budget_sensitivity,NSGA-II,analytic_ref1p1_unclipped,30,0.0223968921,0.0004107114,0,1143
budget_sensitivity,NSGA-II,analytic_ref1p2_unclipped,30,0.0825634825,0.0011704904,0,1143
budget_sensitivity,NSGA-II,expanded_empirical_ref1p1_unclipped,30,0.2237720566,0.0124047630,0,1143
budget_sensitivity,NSGA-II,reported_empirical_ref1p1_clipped,30,0.1658716530,0.0040163388,41,1143
budget_sensitivity,NSGA-II,reported_empirical_ref1p1_unclipped,30,0.1752663498,0.0117575168,41,1143
budget_sensitivity,Pareto Local Search,analytic_ref1p05_unclipped,30,0.0061095048,0.0004407285,0,1200
budget_sensitivity,Pareto Local Search,analytic_ref1p1_unclipped,30,0.0188612784,0.0009846873,0,1200
budget_sensitivity,Pareto Local Search,analytic_ref1p2_unclipped,30,0.0724336498,0.0025232686,0,1200
budget_sensitivity,Pareto Local Search,expanded_empirical_ref1p1_unclipped,30,0.1458293581,0.0119110176,0,1200
budget_sensitivity,Pareto Local Search,reported_empirical_ref1p1_clipped,30,0.1001585838,0.0120036457,0,1200
budget_sensitivity,Pareto Local Search,reported_empirical_ref1p1_unclipped,30,0.1001585838,0.0120036457,0,1200
dependency_constrained_review,BiLo-NSGA,analytic_ref1p05_unclipped,30,0.0089356261,0.0004987910,0,1160
dependency_constrained_review,BiLo-NSGA,analytic_ref1p1_unclipped,30,0.0254849563,0.0011320863,0,1160
dependency_constrained_review,BiLo-NSGA,analytic_ref1p2_unclipped,30,0.0902626629,0.0029031607,0,1160
dependency_constrained_review,BiLo-NSGA,expanded_empirical_ref1p1_unclipped,30,0.2203560901,0.0136410332,0,1160
dependency_constrained_review,BiLo-NSGA,reported_empirical_ref1p1_clipped,30,0.1684025363,0.0070121374,27,1160
dependency_constrained_review,BiLo-NSGA,reported_empirical_ref1p1_unclipped,30,0.1747712717,0.0132987936,27,1160
dependency_constrained_review,NSGA-II,analytic_ref1p05_unclipped,30,0.0101365023,0.0004092469,0,1153
dependency_constrained_review,NSGA-II,analytic_ref1p1_unclipped,30,0.0283170350,0.0009651195,0,1153
dependency_constrained_review,NSGA-II,analytic_ref1p2_unclipped,30,0.0977298286,0.0026058867,0,1153
dependency_constrained_review,NSGA-II,expanded_empirical_ref1p1_unclipped,30,0.2551177794,0.0133702588,33,1153
dependency_constrained_review,NSGA-II,reported_empirical_ref1p1_clipped,30,0.1702424934,0.0012081744,157,1153
dependency_constrained_review,NSGA-II,reported_empirical_ref1p1_unclipped,30,0.2069875376,0.0127826226,157,1153
dependency_constrained_review,Pareto Local Search,analytic_ref1p05_unclipped,30,0.0073498370,0.0005350200,0,1199
dependency_constrained_review,Pareto Local Search,analytic_ref1p1_unclipped,30,0.0217632285,0.0012027221,0,1199
dependency_constrained_review,Pareto Local Search,analytic_ref1p2_unclipped,30,0.0802055465,0.0031016959,0,1199
dependency_constrained_review,Pareto Local Search,expanded_empirical_ref1p1_unclipped,30,0.1617629465,0.0142273334,0,1199
dependency_constrained_review,Pareto Local Search,reported_empirical_ref1p1_clipped,30,0.1159548432,0.0143300247,0,1199
dependency_constrained_review,Pareto Local Search,reported_empirical_ref1p1_unclipped,30,0.1159548432,0.0143300247,0,1199
local_move_explainability,BiLo-NSGA,analytic_ref1p05_unclipped,30,0.0079779534,0.0004061060,0,1163
local_move_explainability,BiLo-NSGA,analytic_ref1p1_unclipped,30,0.0230587058,0.0009154773,0,1163
local_move_explainability,BiLo-NSGA,analytic_ref1p2_unclipped,30,0.0835477296,0.0024053684,0,1163
local_move_explainability,BiLo-NSGA,expanded_empirical_ref1p1_unclipped,30,0.2097614406,0.0176363243,0,1163
local_move_explainability,BiLo-NSGA,reported_empirical_ref1p1_clipped,30,0.1635681497,0.0134556311,12,1163
local_move_explainability,BiLo-NSGA,reported_empirical_ref1p1_unclipped,30,0.1666467190,0.0174915986,12,1163
local_move_explainability,NSGA-II,analytic_ref1p05_unclipped,30,0.0089114449,0.0003288556,0,1152
local_move_explainability,NSGA-II,analytic_ref1p1_unclipped,30,0.0253482039,0.0008062888,0,1152
local_move_explainability,NSGA-II,analytic_ref1p2_unclipped,30,0.0897859274,0.0024424309,0,1152
local_move_explainability,NSGA-II,expanded_empirical_ref1p1_unclipped,30,0.2539729550,0.0142521690,25,1152
local_move_explainability,NSGA-II,reported_empirical_ref1p1_clipped,30,0.1741888588,0.0010096382,133,1152
local_move_explainability,NSGA-II,reported_empirical_ref1p1_unclipped,30,0.2077100818,0.0135294419,133,1152
local_move_explainability,Pareto Local Search,analytic_ref1p05_unclipped,30,0.0070900254,0.0005910548,0,1200
local_move_explainability,Pareto Local Search,analytic_ref1p1_unclipped,30,0.0209741848,0.0012872565,0,1200
local_move_explainability,Pareto Local Search,analytic_ref1p2_unclipped,30,0.0779243867,0.0032214125,0,1200
local_move_explainability,Pareto Local Search,expanded_empirical_ref1p1_unclipped,30,0.1658365796,0.0158605545,0,1200
local_move_explainability,Pareto Local Search,reported_empirical_ref1p1_clipped,30,0.1218979195,0.0161735825,0,1200
local_move_explainability,Pareto Local Search,reported_empirical_ref1p1_unclipped,30,0.1218979195,0.0161735825,0,1200
project_pool_scalability,BiLo-NSGA,analytic_ref1p05_unclipped,30,0.0084270506,0.0004816877,0,1156
project_pool_scalability,BiLo-NSGA,analytic_ref1p1_unclipped,30,0.0239069684,0.0010481508,0,1156
project_pool_scalability,BiLo-NSGA,analytic_ref1p2_unclipped,30,0.0854894176,0.0026909970,0,1156
project_pool_scalability,BiLo-NSGA,expanded_empirical_ref1p1_unclipped,30,0.2179370866,0.0104614703,0,1156
project_pool_scalability,BiLo-NSGA,reported_empirical_ref1p1_clipped,30,0.1757797626,0.0087875412,10,1156
project_pool_scalability,BiLo-NSGA,reported_empirical_ref1p1_unclipped,30,0.1774281061,0.0107321442,10,1156
project_pool_scalability,NSGA-II,analytic_ref1p05_unclipped,30,0.0097798746,0.0004723514,0,1159
project_pool_scalability,NSGA-II,analytic_ref1p1_unclipped,30,0.0272055596,0.0010548744,0,1159
project_pool_scalability,NSGA-II,analytic_ref1p2_unclipped,30,0.0943451742,0.0027323781,0,1159
project_pool_scalability,NSGA-II,expanded_empirical_ref1p1_unclipped,30,0.2680589505,0.0163764482,63,1159
project_pool_scalability,NSGA-II,reported_empirical_ref1p1_clipped,30,0.1772306125,0.0012238532,185,1159
project_pool_scalability,NSGA-II,reported_empirical_ref1p1_unclipped,30,0.2232605075,0.0162995173,185,1159
project_pool_scalability,Pareto Local Search,analytic_ref1p05_unclipped,30,0.0076169417,0.0005833267,0,1199
project_pool_scalability,Pareto Local Search,analytic_ref1p1_unclipped,30,0.0219935272,0.0012412547,0,1199
project_pool_scalability,Pareto Local Search,analytic_ref1p2_unclipped,30,0.0802937188,0.0030622058,0,1199
project_pool_scalability,Pareto Local Search,expanded_empirical_ref1p1_unclipped,30,0.1730719654,0.0158052126,0,1199
project_pool_scalability,Pareto Local Search,reported_empirical_ref1p1_clipped,30,0.1307085748,0.0164147068,0,1199
project_pool_scalability,Pareto Local Search,reported_empirical_ref1p1_unclipped,30,0.1307085748,0.0164147068,0,1199
ranking_robustness,BiLo-NSGA,analytic_ref1p05_unclipped,30,0.0078819952,0.0003727178,0,1155
ranking_robustness,BiLo-NSGA,analytic_ref1p1_unclipped,30,0.0228530570,0.0008075326,0,1155
ranking_robustness,BiLo-NSGA,analytic_ref1p2_unclipped,30,0.0830969682,0.0020174121,0,1155
ranking_robustness,BiLo-NSGA,expanded_empirical_ref1p1_unclipped,30,0.2106140774,0.0111909731,0,1155
ranking_robustness,BiLo-NSGA,reported_empirical_ref1p1_clipped,30,0.1675546117,0.0107008440,3,1155
ranking_robustness,BiLo-NSGA,reported_empirical_ref1p1_unclipped,30,0.1678969262,0.0111934383,3,1155
ranking_robustness,NSGA-II,analytic_ref1p05_unclipped,30,0.0088425010,0.0003186536,0,1148
ranking_robustness,NSGA-II,analytic_ref1p1_unclipped,30,0.0252621418,0.0007036560,0,1148
ranking_robustness,NSGA-II,analytic_ref1p2_unclipped,30,0.0897518766,0.0018219603,0,1148
ranking_robustness,NSGA-II,expanded_empirical_ref1p1_unclipped,30,0.2513189260,0.0153164615,20,1148
ranking_robustness,NSGA-II,reported_empirical_ref1p1_clipped,30,0.1738947225,0.0011185558,129,1148
ranking_robustness,NSGA-II,reported_empirical_ref1p1_unclipped,30,0.2049399080,0.0147275996,129,1148
ranking_robustness,Pareto Local Search,analytic_ref1p05_unclipped,30,0.0069165880,0.0004931548,0,1200
ranking_robustness,Pareto Local Search,analytic_ref1p1_unclipped,30,0.0205508325,0.0010440964,0,1200
ranking_robustness,Pareto Local Search,analytic_ref1p2_unclipped,30,0.0766930717,0.0025117870,0,1200
ranking_robustness,Pareto Local Search,expanded_empirical_ref1p1_unclipped,30,0.1590319967,0.0109539453,0,1200
ranking_robustness,Pareto Local Search,reported_empirical_ref1p1_clipped,30,0.1150712527,0.0112451211,0,1200
ranking_robustness,Pareto Local Search,reported_empirical_ref1p1_unclipped,30,0.1150712527,0.0112451211,0,1200
reliability_prioritized_review,BiLo-NSGA,analytic_ref1p05_unclipped,30,0.0090585965,0.0005752841,0,1160
reliability_prioritized_review,BiLo-NSGA,analytic_ref1p1_unclipped,30,0.0257372979,0.0013337362,0,1160
reliability_prioritized_review,BiLo-NSGA,analytic_ref1p2_unclipped,30,0.0908108383,0.0035422029,0,1160
reliability_prioritized_review,BiLo-NSGA,expanded_empirical_ref1p1_unclipped,30,0.2207674101,0.0180961862,0,1160
reliability_prioritized_review,BiLo-NSGA,reported_empirical_ref1p1_clipped,30,0.1663357259,0.0088114885,37,1160
reliability_prioritized_review,BiLo-NSGA,reported_empirical_ref1p1_unclipped,30,0.1751037839,0.0178143797,37,1160
reliability_prioritized_review,NSGA-II,analytic_ref1p05_unclipped,30,0.0101302123,0.0004922640,0,1153
reliability_prioritized_review,NSGA-II,analytic_ref1p1_unclipped,30,0.0283136794,0.0011152118,0,1153
reliability_prioritized_review,NSGA-II,analytic_ref1p2_unclipped,30,0.0977797901,0.0028742769,0,1153
reliability_prioritized_review,NSGA-II,expanded_empirical_ref1p1_unclipped,30,0.2591996696,0.0141687519,39,1153
reliability_prioritized_review,NSGA-II,reported_empirical_ref1p1_clipped,30,0.1700603428,0.0011274028,162,1153
reliability_prioritized_review,NSGA-II,reported_empirical_ref1p1_unclipped,30,0.2107273709,0.0136033736,162,1153
reliability_prioritized_review,Pareto Local Search,analytic_ref1p05_unclipped,30,0.0073929756,0.0005032093,0,1199
reliability_prioritized_review,Pareto Local Search,analytic_ref1p1_unclipped,30,0.0218622736,0.0011219166,0,1199
reliability_prioritized_review,Pareto Local Search,analytic_ref1p2_unclipped,30,0.0804663517,0.0028453330,0,1199
