cell,factor,scenario,seed_index,seed_value,local_depth,local_violation_penalty,dependency_group_order_bonus,hypervolume,search_runtime_s,population_objective_evaluations,local_proposal_evaluations,total_evaluation_units,final_population_feasibility_rate,feasible_front_size,source
registered,reference,budget_constrained_selection,0,902283,8,10.0000000000,1.0600000000,0.1453356936,0.1191289000,960,2240,3200,1.0000000000,38,reused_primary_matched_evaluation_run
registered,reference,budget_constrained_selection,1,910202,8,10.0000000000,1.0600000000,0.1452033191,0.1209712001,920,2280,3200,1.0000000000,38,reused_primary_matched_evaluation_run
registered,reference,budget_constrained_selection,2,918121,8,10.0000000000,1.0600000000,0.1677518636,0.1195372000,920,2280,3200,1.0000000000,39,reused_primary_matched_evaluation_run
registered,reference,budget_constrained_selection,3,926040,8,10.0000000000,1.0600000000,0.1455414348,0.1196754001,960,2240,3200,1.0000000000,39,reused_primary_matched_evaluation_run
registered,reference,budget_constrained_selection,4,933959,8,10.0000000000,1.0600000000,0.1441629945,0.1196080999,896,2304,3200,1.0000000000,38,reused_primary_matched_evaluation_run
registered,reference,budget_constrained_selection,5,941878,8,10.0000000000,1.0600000000,0.1479754643,0.1221810001,960,2240,3200,1.0000000000,38,reused_primary_matched_evaluation_run
registered,reference,budget_constrained_selection,6,949797,8,10.0000000000,1.0600000000,0.1384520913,0.1222413001,920,2280,3200,1.0000000000,39,reused_primary_matched_evaluation_run
registered,reference,budget_constrained_selection,7,957716,8,10.0000000000,1.0600000000,0.1509340175,0.1206008000,960,2240,3200,1.0000000000,38,reused_primary_matched_evaluation_run
registered,reference,budget_constrained_selection,8,965635,8,10.0000000000,1.0600000000,0.1369812471,0.1217569000,915,2285,3200,1.0000000000,38,reused_primary_matched_evaluation_run
registered,reference,budget_constrained_selection,9,973554,8,10.0000000000,1.0600000000,0.1585700519,0.1182039999,951,2249,3200,1.0000000000,39,reused_primary_matched_evaluation_run
registered,reference,reliability_prioritized_review,0,900374,8,10.0000000000,1.0600000000,0.1705758712,0.1148095999,1024,2176,3200,1.0000000000,39,reused_primary_matched_evaluation_run
registered,reference,reliability_prioritized_review,1,908293,8,10.0000000000,1.0600000000,0.1497386186,0.1149515000,989,2211,3200,1.0000000000,39,reused_primary_matched_evaluation_run
registered,reference,reliability_prioritized_review,2,916212,8,10.0000000000,1.0600000000,0.1652597710,0.1124610000,1040,2160,3200,1.0000000000,39,reused_primary_matched_evaluation_run
registered,reference,reliability_prioritized_review,3,924131,8,10.0000000000,1.0600000000,0.1496759864,0.1117052000,1035,2165,3200,1.0000000000,38,reused_primary_matched_evaluation_run
registered,reference,reliability_prioritized_review,4,932050,8,10.0000000000,1.0600000000,0.1731846125,0.1113244999,1028,2172,3200,1.0000000000,38,reused_primary_matched_evaluation_run
registered,reference,reliability_prioritized_review,5,939969,8,10.0000000000,1.0600000000,0.1550426681,0.1102783000,995,2205,3200,1.0000000000,39,reused_primary_matched_evaluation_run
registered,reference,reliability_prioritized_review,6,947888,8,10.0000000000,1.0600000000,0.1728433491,0.1131001001,1040,2160,3200,1.0000000000,39,reused_primary_matched_evaluation_run
registered,reference,reliability_prioritized_review,7,955807,8,10.0000000000,1.0600000000,0.1535627757,0.1132568000,1000,2200,3200,1.0000000000,39,reused_primary_matched_evaluation_run
registered,reference,reliability_prioritized_review,8,963726,8,10.0000000000,1.0600000000,0.1729207203,0.1105681000,1003,2197,3200,1.0000000000,39,reused_primary_matched_evaluation_run
registered,reference,reliability_prioritized_review,9,971645,8,10.0000000000,1.0600000000,0.1653663771,0.1102618000,1000,2200,3200,1.0000000000,39,reused_primary_matched_evaluation_run
registered,reference,renewable_accommodation_review,0,903147,8,10.0000000000,1.0600000000,0.1661582943,0.1043464000,840,2360,3200,1.0000000000,39,reused_primary_matched_evaluation_run
registered,reference,renewable_accommodation_review,1,911066,8,10.0000000000,1.0600000000,0.1719798384,0.1027301999,840,2360,3200,1.0000000000,39,reused_primary_matched_evaluation_run
registered,reference,renewable_accommodation_review,2,918985,8,10.0000000000,1.0600000000,0.1748173968,0.1055620000,880,2320,3200,1.0000000000,39,reused_primary_matched_evaluation_run
registered,reference,renewable_accommodation_review,3,926904,8,10.0000000000,1.0600000000,0.1564980769,0.1014600000,840,2360,3200,1.0000000000,38,reused_primary_matched_evaluation_run
registered,reference,renewable_accommodation_review,4,934823,8,10.0000000000,1.0600000000,0.1559096343,0.1017791000,840,2360,3200,1.0000000000,38,reused_primary_matched_evaluation_run
registered,reference,renewable_accommodation_review,5,942742,8,10.0000000000,1.0600000000,0.1605639669,0.1026041000,840,2360,3200,1.0000000000,39,reused_primary_matched_evaluation_run
