cell,scenario,n_runs,mean_hypervolume,sd_hypervolume,mean_search_runtime_s,mean_local_proposal_evaluations,mean_final_population_feasibility_rate
bonus_1p00,budget_constrained_selection,10,0.1480291233,0.0092038238,0.1198040800,2264.4000000000,1.0000000000
bonus_1p00,budget_sensitivity,10,0.1412392447,0.0119517183,0.1194778600,2186.7000000000,1.0000000000
bonus_1p00,dependency_constrained_review,10,0.1653292058,0.0098100473,0.1125822300,2172.9000000000,1.0000000000
bonus_1p00,local_move_explainability,10,0.1625508352,0.0133834043,0.1184213200,2327.7000000000,1.0000000000
bonus_1p00,project_pool_scalability,10,0.1737494866,0.0110914078,0.1185443500,2409.0000000000,1.0000000000
bonus_1p00,ranking_robustness,10,0.1646330005,0.0110620534,0.1209576000,2326.7000000000,1.0000000000
bonus_1p00,reliability_prioritized_review,10,0.1681383158,0.0088628992,0.1131024300,2183.1000000000,1.0000000000
bonus_1p00,renewable_accommodation_review,10,0.1640457995,0.0071087760,0.1031919200,2350.5000000000,1.0000000000
bonus_1p12,budget_constrained_selection,10,0.1480908178,0.0091812083,0.1192174500,2263.8000000000,1.0000000000
bonus_1p12,budget_sensitivity,10,0.1403888374,0.0116658867,0.1201158400,2188.0000000000,1.0000000000
bonus_1p12,dependency_constrained_review,10,0.1707924819,0.0046624267,0.1143929100,2183.7000000000,1.0000000000
bonus_1p12,local_move_explainability,10,0.1625508352,0.0133834043,0.1184610200,2327.7000000000,1.0000000000
bonus_1p12,project_pool_scalability,10,0.1751509730,0.0085885449,0.1198829300,2410.8000000000,1.0000000000
bonus_1p12,ranking_robustness,10,0.1655309625,0.0109872639,0.1184631200,2322.7000000000,1.0000000000
bonus_1p12,reliability_prioritized_review,10,0.1642724225,0.0096901047,0.1127758700,2184.9000000000,1.0000000000
bonus_1p12,renewable_accommodation_review,10,0.1640457995,0.0071087760,0.1018706800,2350.5000000000,1.0000000000
depth_16,budget_constrained_selection,10,0.1404553278,0.0100623804,0.1186977900,2305.2000000000,1.0000000000
depth_16,budget_sensitivity,10,0.1487561261,0.0150177120,0.1226606000,2218.3000000000,1.0000000000
depth_16,dependency_constrained_review,10,0.1716966681,0.0025209192,0.1133042600,2190.9000000000,1.0000000000
depth_16,local_move_explainability,10,0.1641978220,0.0146187241,0.1194524200,2367.8000000000,1.0000000000
depth_16,project_pool_scalability,10,0.1708699643,0.0105376687,0.1202710500,2461.7000000000,1.0000000000
depth_16,ranking_robustness,10,0.1668275317,0.0094381176,0.1206346000,2377.7000000000,1.0000000000
depth_16,reliability_prioritized_review,10,0.1658985903,0.0094866967,0.1143934300,2190.4000000000,1.0000000000
depth_16,renewable_accommodation_review,10,0.1637117854,0.0083165569,0.1026756700,2386.7000000000,1.0000000000
depth_2,budget_constrained_selection,10,0.1552309319,0.0075474753,0.1242870500,1886.3000000000,1.0000000000
depth_2,budget_sensitivity,10,0.1473618929,0.0110661148,0.1233696700,1866.5000000000,1.0000000000
depth_2,dependency_constrained_review,10,0.1708674824,0.0018364834,0.1155427700,1868.3000000000,1.0000000000
depth_2,local_move_explainability,10,0.1732938223,0.0061228787,0.1239191800,1908.8000000000,1.0000000000
depth_2,project_pool_scalability,10,0.1802348329,0.0055672820,0.1225191700,1940.8000000000,1.0000000000
depth_2,ranking_robustness,10,0.1715493684,0.0061586176,0.1313209600,1920.1000000000,1.0000000000
depth_2,reliability_prioritized_review,10,0.1709398095,0.0049883144,0.1157752700,1859.8000000000,1.0000000000
depth_2,renewable_accommodation_review,10,0.1753996376,0.0027871173,0.1080472000,1896.1000000000,1.0000000000
penalty_20,budget_constrained_selection,10,0.1480908178,0.0091812083,0.1204543300,2263.8000000000,1.0000000000
penalty_20,budget_sensitivity,10,0.1403888374,0.0116658867,0.1207111600,2188.0000000000,1.0000000000
