family,family_size,protocol,scenario,proposed,comparator,n_pairs,n_nonzero_pairs,positive_pairs,negative_pairs,mean_difference,median_difference,raw_sign_test_p,holm_adjusted_p,holm_significant_0p05,test
primary_matched_evaluation_16,16,matched_evaluation,budget_constrained_selection,BiLo-NSGA,NSGA-II,30,30,0,30,-0.0208846289,-0.0227734332,0.0000000019,0.0000000298,1,exact two-sided paired sign test across the 30 common seed indices; zero differences omitted
primary_matched_evaluation_16,16,matched_evaluation,budget_constrained_selection,BiLo-NSGA,Pareto Local Search,30,30,30,0,0.0438199695,0.0419816295,0.0000000019,0.0000000298,1,exact two-sided paired sign test across the 30 common seed indices; zero differences omitted
primary_matched_evaluation_16,16,matched_evaluation,reliability_prioritized_review,BiLo-NSGA,NSGA-II,30,30,16,14,-0.0037246169,0.0007512540,0.8555355519,1.0000000000,0,exact two-sided paired sign test across the 30 common seed indices; zero differences omitted
primary_matched_evaluation_16,16,matched_evaluation,reliability_prioritized_review,BiLo-NSGA,Pareto Local Search,30,30,30,0,0.0505950354,0.0520681813,0.0000000019,0.0000000298,1,exact two-sided paired sign test across the 30 common seed indices; zero differences omitted
primary_matched_evaluation_16,16,matched_evaluation,renewable_accommodation_review,BiLo-NSGA,NSGA-II,30,30,3,27,-0.0082344801,-0.0066654085,0.0000084303,0.0000505820,1,exact two-sided paired sign test across the 30 common seed indices; zero differences omitted
primary_matched_evaluation_16,16,matched_evaluation,renewable_accommodation_review,BiLo-NSGA,Pareto Local Search,30,30,30,0,0.0420797564,0.0427023643,0.0000000019,0.0000000298,1,exact two-sided paired sign test across the 30 common seed indices; zero differences omitted
primary_matched_evaluation_16,16,matched_evaluation,dependency_constrained_review,BiLo-NSGA,NSGA-II,30,30,18,12,-0.0018399572,0.0004433862,0.3615946081,1.0000000000,0,exact two-sided paired sign test across the 30 common seed indices; zero differences omitted
primary_matched_evaluation_16,16,matched_evaluation,dependency_constrained_review,BiLo-NSGA,Pareto Local Search,30,30,30,0,0.0524476931,0.0539220334,0.0000000019,0.0000000298,1,exact two-sided paired sign test across the 30 common seed indices; zero differences omitted
primary_matched_evaluation_16,16,matched_evaluation,local_move_explainability,BiLo-NSGA,NSGA-II,30,30,11,19,-0.0106207091,-0.0094015740,0.2004884221,0.8019536883,0,exact two-sided paired sign test across the 30 common seed indices; zero differences omitted
primary_matched_evaluation_16,16,matched_evaluation,local_move_explainability,BiLo-NSGA,Pareto Local Search,30,30,30,0,0.0416702303,0.0392556970,0.0000000019,0.0000000298,1,exact two-sided paired sign test across the 30 common seed indices; zero differences omitted
primary_matched_evaluation_16,16,matched_evaluation,ranking_robustness,BiLo-NSGA,NSGA-II,30,30,7,23,-0.0063401108,-0.0012942318,0.0052228794,0.0261143968,1,exact two-sided paired sign test across the 30 common seed indices; zero differences omitted
primary_matched_evaluation_16,16,matched_evaluation,ranking_robustness,BiLo-NSGA,Pareto Local Search,30,30,30,0,0.0524833590,0.0554907363,0.0000000019,0.0000000298,1,exact two-sided paired sign test across the 30 common seed indices; zero differences omitted
primary_matched_evaluation_16,16,matched_evaluation,budget_sensitivity,BiLo-NSGA,NSGA-II,30,30,1,29,-0.0218267867,-0.0198779047,0.0000000577,0.0000004042,1,exact two-sided paired sign test across the 30 common seed indices; zero differences omitted
primary_matched_evaluation_16,16,matched_evaluation,budget_sensitivity,BiLo-NSGA,Pareto Local Search,30,30,30,0,0.0438862824,0.0472607982,0.0000000019,0.0000000298,1,exact two-sided paired sign test across the 30 common seed indices; zero differences omitted
primary_matched_evaluation_16,16,matched_evaluation,project_pool_scalability,BiLo-NSGA,NSGA-II,30,30,17,13,-0.0014508499,0.0026373662,0.5846647117,1.0000000000,0,exact two-sided paired sign test across the 30 common seed indices; zero differences omitted
primary_matched_evaluation_16,16,matched_evaluation,project_pool_scalability,BiLo-NSGA,Pareto Local Search,30,30,30,0,0.0450711878,0.0445747009,0.0000000019,0.0000000298,1,exact two-sided paired sign test across the 30 common seed indices; zero differences omitted
secondary_matched_time_16,16,matched_time,budget_constrained_selection,BiLo-NSGA,NSGA-II,30,30,7,23,-0.0083523324,-0.0078468087,0.0052228794,0.0208915174,1,exact two-sided paired sign test across the 30 common seed indices; zero differences omitted
