protocol,scenario,method,seed_index,seed_value,execution_order_within_seed,candidate_pool_size,budget,hypervolume,search_runtime_s,total_run_runtime_s,target_search_runtime_s,deadline_overshoot_s,population_objective_evaluations,local_proposal_evaluations,total_evaluation_units,accepted_local_moves,repair_drops,generations_or_steps,final_population_size,final_population_feasibility_rate,feasible_front_nonempty,feasible_front_size,front_objectives_sha256
matched_evaluation,budget_constrained_selection,BiLo-NSGA,0,902283,0,120,897.6000000000,0.1453356936,0.1191289000,0.1264156001,nan,nan,960,2240,3200,1757,718,23,40,1.0000000000,1,38,fd437d6381d0b832fec1df07a55f499582841a985c66d03c5c1077052baa55b7
matched_evaluation,budget_constrained_selection,NSGA-II,0,902283,1,120,897.6000000000,0.1697218600,0.2023808000,0.2039020001,nan,nan,3200,0,3200,0,0,79,40,1.0000000000,1,40,89f084083df32648fde9bc03e1ab420883a08de8a34fbdbc41661cbc6acc1cb6
matched_evaluation,budget_constrained_selection,Pareto Local Search,0,902283,2,120,897.6000000000,0.1073456676,0.2652227000,0.2670206000,nan,nan,40,3160,3200,0,169,3160,40,1.0000000000,1,40,145524dcc97c8e2428bd288309582aa57902ca52267abb9ba0d9e094abb2aada
matched_evaluation,budget_constrained_selection,NSGA-II,1,910202,0,120,897.6000000000,0.1719729163,0.1958542999,0.1973119000,nan,nan,3200,0,3200,0,0,79,40,1.0000000000,1,38,eeaeac2ebe8701340d3c96598ea661bd9d26210935a11130ecc1e87f7aead776
matched_evaluation,budget_constrained_selection,Pareto Local Search,1,910202,1,120,897.6000000000,0.1052483450,0.2635886001,0.2652029000,nan,nan,40,3160,3200,0,189,3160,40,1.0000000000,1,40,48964707e3a5bdc2fe78d553ea9b2621fd57aed001afaf04e57b8959a4958acd
matched_evaluation,budget_constrained_selection,BiLo-NSGA,1,910202,2,120,897.6000000000,0.1452033191,0.1209712001,0.1228438000,nan,nan,920,2280,3200,1807,621,22,40,1.0000000000,1,38,f1f922add39c9999f5695e80b6477f6970de4a69a0135920c45478688d125571
matched_evaluation,budget_constrained_selection,Pareto Local Search,2,918121,0,120,897.6000000000,0.0932807818,0.2643395000,0.2659001000,nan,nan,40,3160,3200,0,238,3160,40,1.0000000000,1,40,088fa952b86cb981cebdf484712400fdee27e62ed2ab392ee2aef4933e7cf880
matched_evaluation,budget_constrained_selection,BiLo-NSGA,2,918121,1,120,897.6000000000,0.1677518636,0.1195372000,0.1211604000,nan,nan,920,2280,3200,1827,825,22,40,1.0000000000,1,39,57abcb1ebedbb3a77ff50e0eb91925504dbe142b82c9f02442f5c3ebf5c006b1
matched_evaluation,budget_constrained_selection,NSGA-II,2,918121,2,120,897.6000000000,0.1711454964,0.1970463999,0.1987683000,nan,nan,3200,0,3200,0,0,79,40,1.0000000000,1,38,3acae190c53322ffb93ebc56ba27e5a27ffa17c9564d6ed4562635a0dc499a6a
matched_evaluation,budget_constrained_selection,BiLo-NSGA,3,926040,0,120,897.6000000000,0.1455414348,0.1196754001,0.1213689001,nan,nan,960,2240,3200,1764,761,23,40,1.0000000000,1,39,7c5927d288973cc3fa92305152e1b4158c8e42b461490282625f1be66156c4ee
matched_evaluation,budget_constrained_selection,NSGA-II,3,926040,1,120,897.6000000000,0.1690049389,0.1984004000,0.1998539000,nan,nan,3200,0,3200,0,0,79,40,1.0000000000,1,38,1485a7582a88dd03d5e0577cfcdbb2fbbf76d36995d218905ce868d68a2335aa
matched_evaluation,budget_constrained_selection,Pareto Local Search,3,926040,2,120,897.6000000000,0.1002193138,0.2630922999,0.2647383000,nan,nan,40,3160,3200,0,218,3160,40,1.0000000000,1,40,58f23a4cfef257a0a6d3719b3c986d1acf7c8954cad145c673b771908df5a321
matched_evaluation,budget_constrained_selection,NSGA-II,4,933959,0,120,897.6000000000,0.1657525538,0.2014984000,0.2030787000,nan,nan,3200,0,3200,0,0,79,40,1.0000000000,1,38,eedee585bc82982449b90a3b8337d425a9f9a0b4b5adf25f054c838425c68338
matched_evaluation,budget_constrained_selection,Pareto Local Search,4,933959,1,120,897.6000000000,0.1133683541,0.2728543000,0.2745401000,nan,nan,40,3160,3200,0,228,3160,40,1.0000000000,1,40,b8ed45d47333ac1f456333c10e173cdf53d908b6421d632574d7250f14866915
matched_evaluation,budget_constrained_selection,BiLo-NSGA,4,933959,2,120,897.6000000000,0.1441629945,0.1196080999,0.1213283000,nan,nan,896,2304,3200,1865,733,22,40,1.0000000000,1,38,7759f4d6c36bbd88d2723e6b09753a43df178b4972387b73b7621225aca57ea9
matched_evaluation,budget_constrained_selection,Pareto Local Search,5,941878,0,120,897.6000000000,0.1120187079,0.2678674000,0.2693315999,nan,nan,40,3160,3200,0,180,3160,40,1.0000000000,1,40,cb2503a4c3311b332de558b0fb6e320ee80fe8ee268c3579a6538870633de6c3
