protocol,scenario,method,n_runs,mean_hypervolume,sd_hypervolume,median_hypervolume,mean_search_runtime_s,mean_total_runtime_s,mean_population_objective_evaluations,mean_local_proposal_evaluations,mean_total_evaluation_units,mean_final_population_feasibility_rate,nonempty_feasible_front_rate,mean_feasible_front_size
matched_evaluation,budget_constrained_selection,BiLo-NSGA,30,0.1489883240,0.0098176495,0.1467006545,0.1204177867,0.1223180200,928.7333333333,2271.2666666667,3200.0000000000,1.0000000000,1.0000000000,38.5666666667
matched_evaluation,budget_constrained_selection,NSGA-II,30,0.1698729529,0.0015284796,0.1701363647,0.1981904267,0.1997791500,3200.0000000000,0.0000000000,3200.0000000000,1.0000000000,1.0000000000,38.3333333333
matched_evaluation,budget_constrained_selection,Pareto Local Search,30,0.1051683545,0.0086754995,0.1046738611,0.2629940267,0.2646656167,40.0000000000,3160.0000000000,3200.0000000000,1.0000000000,1.0000000000,40.0000000000
matched_evaluation,budget_sensitivity,BiLo-NSGA,30,0.1440448662,0.0100431519,0.1467069079,0.1220956633,0.1237521300,1018.0666666667,2181.9333333333,3200.0000000000,1.0000000000,1.0000000000,38.4666666667
matched_evaluation,budget_sensitivity,NSGA-II,30,0.1658716530,0.0040163388,0.1669974458,0.2003253167,0.2019075733,3200.0000000000,0.0000000000,3200.0000000000,1.0000000000,1.0000000000,38.1000000000
matched_evaluation,budget_sensitivity,Pareto Local Search,30,0.1001585838,0.0120036457,0.0996333282,0.2639649333,0.2657308133,40.0000000000,3160.0000000000,3200.0000000000,1.0000000000,1.0000000000,40.0000000000
matched_evaluation,dependency_constrained_review,BiLo-NSGA,30,0.1684025363,0.0070121374,0.1716760089,0.1124808467,0.1141526267,1013.2000000000,2186.8000000000,3200.0000000000,1.0000000000,1.0000000000,38.6666666667
matched_evaluation,dependency_constrained_review,NSGA-II,30,0.1702424934,0.0012081744,0.1707285540,0.1953618867,0.1968980833,3200.0000000000,0.0000000000,3200.0000000000,1.0000000000,1.0000000000,38.4333333333
matched_evaluation,dependency_constrained_review,Pareto Local Search,30,0.1159548432,0.0143300247,0.1152851603,0.2556865167,0.2574633467,40.0000000000,3160.0000000000,3200.0000000000,1.0000000000,1.0000000000,39.9666666667
matched_evaluation,local_move_explainability,BiLo-NSGA,30,0.1635681497,0.0134556311,0.1656837270,0.1203841500,0.1221278933,868.6000000000,2331.4000000000,3200.0000000000,1.0000000000,1.0000000000,38.7666666667
