method,method_role,runs,mean_hypervolume,std_hypervolume,mean_runtime_s,mean_accepted_move_repair_events,mean_position_cooccurrence,comparison_scope
Ablation-NoBackwardSearch,ablation,240,0.1729430205,0.007970870974,0.1615834833,3295.229167,0.9778344096,legacy fixed-generation pooled descriptive
Ablation-NoForwardSearch,ablation,240,0.1725695634,0.006794232413,0.1138527208,1563.575,0.9985518597,legacy fixed-generation pooled descriptive
Ablation-ShallowLocalSearch,ablation,240,0.172358749,0.00828794606,0.1519546125,2344.729167,0.9949355637,legacy fixed-generation pooled descriptive
Ablation-LowDependencyDensity,ablation,240,0.1723578894,0.008485245643,0.2180926042,3691.5125,0.996433461,legacy fixed-generation pooled descriptive
Ablation-LegacyDeletion,ablation,240,0.1722821231,0.008444498956,0.1933461417,3438.641667,0.9844562048,legacy fixed-generation pooled descriptive
Ablation-NoDependencyMoves,ablation,240,0.1719783901,0.009270822642,0.1823240708,3671.5375,0.9956728961,legacy fixed-generation pooled descriptive
BiLo-NSGA,proposed,240,0.1718986728,0.008605168174,0.2188486208,3667.954167,0.9964325776,legacy fixed-generation pooled descriptive
Ablation-RandomMutationOnly,ablation,240,0.1717291679,0.0070073802,0.0496109875,2631.004167,0.9989139146,legacy fixed-generation pooled descriptive
NSGA-II,baseline,240,0.1700029697,0.007391368469,0.07975645833,0,0,legacy fixed-generation pooled descriptive
Ablation-NoFeasibilityRecovery,ablation,240,0.1681062728,0.01271868737,0.1920760958,2473.979167,0.9275471004,legacy fixed-generation pooled descriptive
NSGA-III,baseline,240,0.1623623228,0.0133132075,0.09930487917,0,0,legacy fixed-generation pooled descriptive
Ablation-LooseBudget,ablation,240,0.1609797044,0.01350718717,0.2396133542,4023.65,0.9958843236,legacy fixed-generation pooled descriptive
AHP-TOPSIS,baseline,240,0.1387473825,0.001522808001,0.0004048375,0,0,legacy fixed-generation pooled descriptive
Pareto Local Search,baseline,240,0.1163632108,0.0148767377,1.415579425,0,0,legacy fixed-generation pooled descriptive
Random Feasible,baseline,240,0.070255318,0.02089243445,0.0003317041667,0,0,legacy fixed-generation pooled descriptive
Greedy BCR,baseline,240,0.04097954875,0.007665832725,0.0003002375,0,0,legacy fixed-generation pooled descriptive
Ablation-WeightedRankingOnly,ablation,240,0.03559021625,0.008924161089,0.0003177041667,0,0,legacy fixed-generation pooled descriptive
MOEA/D,baseline,240,0.02529045083,0.01403781051,0.3038509583,0,0,legacy fixed-generation pooled descriptive
