method,method_role,mean_hv,mean_runtime_s,mean_moves,mean_trace_events,mean_coverage,n
Ablation-NoBackwardSearch,ablation,0.1729430205,0.1615834833,3295.229167,3295.229167,0.9778344096,240
Ablation-NoForwardSearch,ablation,0.1725695634,0.1138527208,1563.575,1563.575,0.9985518597,240
Ablation-ShallowLocalSearch,ablation,0.172358749,0.1519546125,2344.729167,2344.729167,0.9949355637,240
Ablation-LowDependencyDensity,ablation,0.1723578894,0.2180926042,3691.5125,3691.5125,0.996433461,240
Ablation-LegacyDeletion,ablation,0.1722821231,0.1933461417,3438.641667,3438.641667,0.9844562048,240
Ablation-NoDependencyMoves,ablation,0.1719783901,0.1823240708,3671.5375,3671.5375,0.9956728961,240
BiLo-NSGA,proposed,0.1718986728,0.2188486208,3667.954167,3667.954167,0.9964325776,240
Ablation-RandomMutationOnly,ablation,0.1717291679,0.0496109875,2631.004167,2631.004167,0.9989139146,240
NSGA-II,baseline,0.1700029697,0.07975645833,0,0,0,240
Ablation-NoFeasibilityRecovery,ablation,0.1681062728,0.1920760958,2473.979167,2473.979167,0.9275471004,240
NSGA-III,baseline,0.1623623228,0.09930487917,0,0,0,240
Ablation-LooseBudget,ablation,0.1609797044,0.2396133542,4023.65,4023.65,0.9958843236,240
AHP-TOPSIS,baseline,0.1387473825,0.0004048375,0,0,0,240
Pareto Local Search,baseline,0.1163632108,1.415579425,0,0,0,240
Random Feasible,baseline,0.070255318,0.0003317041667,0,0,0,240
Greedy BCR,baseline,0.04097954875,0.0003002375,0,0,0,240
Ablation-WeightedRankingOnly,ablation,0.03559021625,0.0003177041667,0,0,0,240
MOEA/D,baseline,0.02529045083,0.3038509583,0,0,0,240
