paper_id,doi,section_index,section_title,section_role,subsection_count,paragraph_count,word_count,mean_words_per_paragraph,min_words_per_paragraph,max_words_per_paragraph
applsci-13-11074,10.3390/app131911074,1,1. Introduction,Introduction,0,12,1383,115.2,24,267
applsci-13-11074,10.3390/app131911074,2,2. Materials and Methods,Method/model,0,3,335,111.7,41,175
applsci-13-11074,10.3390/app131911074,3,3. A Relational Extraction Approach for Grid Field Combining Semantic Dependency and Lexical Embedding RoBERTa Models,Method/model,3,32,1795,56.1,2,191
applsci-13-11074,10.3390/app131911074,4,4. Experiments and Results Analysis,Experiments/results,2,12,770,64.2,23,136
applsci-13-11074,10.3390/app131911074,5,5. Conclusions,Conclusion,0,5,610,122.0,42,331
applsci-13-12690,10.3390/app132312690,1,1. Introduction,Introduction,0,6,847,141.2,25,220
applsci-13-12690,10.3390/app132312690,2,2. Proposed Methodology,Method/model,0,8,839,104.9,35,178
applsci-13-12690,10.3390/app132312690,3,3. Creating Loads and PV Generation Data,Data/simulation setup,2,11,571,51.9,10,113
applsci-13-12690,10.3390/app132312690,4,4. Quasi-Dynamic Simulation in PowerFactory,Data/simulation setup,0,9,520,57.8,8,226
applsci-13-12690,10.3390/app132312690,5,5. Over-Voltage’s Dependence on Penetration Levels of DG,Method/model,0,3,123,41.0,17,59
applsci-13-12690,10.3390/app132312690,6,"6. DNN Modeling, Training, and Testing",Method/model,0,38,1083,28.5,4,90
applsci-13-12690,10.3390/app132312690,7,7. Reducing the Tap Position Changes,Method/model,0,3,275,91.7,14,179
applsci-13-12690,10.3390/app132312690,8,8. Conclusions,Conclusion,0,3,230,76.7,62,102
applsci-14-06486,10.3390/app14156486,1,1. Introduction,Introduction,0,10,1580,158.0,27,670
applsci-14-06486,10.3390/app14156486,2,2. Feasibility Analysis and Modeling of Energy Storage in Transmission Network Expansion Planning,Method/model,2,5,869,173.8,88,383
applsci-14-06486,10.3390/app14156486,3,3. Multi-Stage Expansion Planning Model for Transmission Network and Energy Storage Considering New Energy Acceptance Capacity,Method/model,6,22,3102,141.0,4,322
applsci-14-06486,10.3390/app14156486,4,4. Case Study,Experiments/results,10,22,2746,124.8,19,379
applsci-14-06486,10.3390/app14156486,5,5. Conclusions,Conclusion,0,7,885,126.4,59,411
applsci-14-10368,10.3390/app142210368,1,1. Introduction,Introduction,0,9,1133,125.9,43,475
applsci-14-10368,10.3390/app142210368,2,2. Spatiotemporal Grid Failures and Emergency Scenarios During Typhoons,Method/model,4,9,2198,244.2,57,424
applsci-14-10368,10.3390/app142210368,3,3. Robust Emergency Dispatch Strategy Considering Spatiotemporal Grid Failures During Typhoons,Method/model,3,20,1851,92.5,14,334
applsci-14-10368,10.3390/app142210368,4,4. Case Studies,Experiments/results,3,17,1546,90.9,11,394
applsci-14-10368,10.3390/app142210368,5,5. Conclusions and Future Work,Conclusion,0,4,286,71.5,38,126
applsci-14-11797,10.3390/app142411797,1,1. Introduction,Introduction,0,6,717,119.5,35,292
applsci-14-11797,10.3390/app142411797,2,2. Analysis of Factors Affecting Reverse Power Flow Transmission Capacity in Distribution Networks,Method/model,3,24,3438,143.2,45,273
applsci-14-11797,10.3390/app142411797,3,3. Actual Maximum Transfer Capacity of Reverse Power Flow in the Distribution Network,Method/model,0,5,726,145.2,73,241
applsci-14-11797,10.3390/app142411797,4,4. Joint Operation Optimization Model for Multi-Distribution Networks with SOP Considering Reverse Power Flow,Method/model,10,31,2658,85.7,4,242
applsci-14-11797,10.3390/app142411797,5,5. Case Study,Experiments/results,5,13,787,60.5,10,122
applsci-14-11797,10.3390/app142411797,6,6. Conclusions,Conclusion,0,8,806,100.8,35,280
applsci-15-02435,10.3390/app15052435,1,1. Introduction,Introduction,0,10,2290,229.0,53,623
applsci-15-02435,10.3390/app15052435,2,2. Related Work,Related work,0,2,844,422.0,122,722
applsci-15-02435,10.3390/app15052435,3,3. Methodology,Method/model,5,9,2920,324.4,120,527
applsci-15-02435,10.3390/app15052435,4,4. Case Study,Experiments/results,4,13,2360,181.5,42,369
applsci-15-02435,10.3390/app15052435,5,5. Conclusions,Conclusion,0,2,280,140.0,64,216
applsci-15-04498,10.3390/app15084498,1,1. Introduction,Introduction,4,13,892,68.6,26,222
applsci-15-04498,10.3390/app15084498,2,2. Preliminaries,Method/model,3,21,1065,50.7,2,253
applsci-15-04498,10.3390/app15084498,3,3. Framework,Method/model,5,28,1877,67.0,12,152
applsci-15-04498,10.3390/app15084498,4,4. Numerical Experiments,Experiments/results,3,9,820,91.1,27,264
applsci-15-04498,10.3390/app15084498,5,5. Conclusions,Conclusion,0,5,308,61.6,25,87
applsci-15-07003,10.3390/app15137003,1,1. Introduction,Introduction,0,7,1101,157.3,26,524
applsci-15-07003,10.3390/app15137003,2,2. Related Works,Related work,0,4,750,187.5,98,294
applsci-15-07003,10.3390/app15137003,3,3. Methods,Method/model,7,18,1128,62.7,7,215
applsci-15-07003,10.3390/app15137003,4,4. Analysis of Experimental Results,Experiments/results,14,37,2756,74.5,12,273
applsci-15-07003,10.3390/app15137003,5,5. Conclusions,Conclusion,0,5,329,65.8,26,191
applsci-16-00466,10.3390/app16010466,1,1. Introduction,Introduction,0,8,893,111.6,40,162
applsci-16-00466,10.3390/app16010466,2,2. VMD–ALIF–GraphBlock–MLLA–Transformer Forecasting Architecture,Method/model,6,75,3270,43.6,2,151
applsci-16-00466,10.3390/app16010466,3,3. Case Study,Experiments/results,6,42,2780,66.2,14,142
applsci-16-00466,10.3390/app16010466,4,4. Conclusions,Conclusion,0,3,239,79.7,38,109
applsci-16-04476,10.3390/app16094476,1,1. Introduction,Introduction,0,8,1447,180.9,109,285
applsci-16-04476,10.3390/app16094476,2,2. Wind Turbine Model and Frequency Regulation Method,Method/model,2,8,704,88.0,27,186
applsci-16-04476,10.3390/app16094476,3,3. Fatigue Load Data Acquisition and MLP Prediction Model,Data/simulation setup,4,29,2923,100.8,12,267
applsci-16-04476,10.3390/app16094476,4,4. Wind Farm Control Parameter Optimization Strategy,Method/model,9,29,2621,90.4,31,247
applsci-16-04476,10.3390/app16094476,5,5. Simulation System and Results Analysis,Experiments/results,4,20,2533,126.7,21,260
applsci-16-04476,10.3390/app16094476,6,6. Discussion,Discussion,0,4,498,124.5,83,148
applsci-16-04476,10.3390/app16094476,7,7. Conclusions,Conclusion,0,3,448,149.3,55,249
