dataset,horizon_hours,method,method_role,seed,curtailment_mae,curtailment_rmse,event_recall,event_precision,event_f1,onset_f1,onset_precision,onset_recall,onset_mae,cessation_f1,detection_threshold,n_onsets_test,stress_subset_mae,n_test,n_events,runtime_s,source_status
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,DSTAR-GRU,proposed,0,0.00773559,0.02578749,0.592105,0.818182,0.687023,0.170000,0.099125,0.596491,0.04980220,0.016225,0.017986,57,0.02230647,2628,152,7.3249,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,DSTAR-GRU,proposed,1,0.00744808,0.02523041,0.572368,0.813084,0.671815,0.179669,0.103825,0.666667,0.04834767,0.011212,0.015630,57,0.02148389,2628,152,6.5991,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,DSTAR-GRU,proposed,2,0.00784481,0.02578107,0.572368,0.820755,0.674419,0.182573,0.103529,0.771930,0.04790678,0.004425,0.006872,57,0.02262572,2628,152,6.5508,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,DSTAR-GRU,proposed,3,0.00789098,0.02587233,0.565789,0.781818,0.656489,0.168675,0.097765,0.614035,0.04837517,0.013752,0.017829,57,0.02270264,2628,152,6.5185,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,DSTAR-GRU,proposed,4,0.00728047,0.02458347,0.565789,0.803738,0.664093,0.162025,0.094675,0.561404,0.05001987,0.019599,0.017340,57,0.02098109,2628,152,6.4879,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,DSTAR-GRU,proposed,5,0.00768759,0.02559520,0.578947,0.814815,0.676923,0.171908,0.097619,0.719298,0.04957789,0.006181,0.005596,57,0.02216784,2628,152,6.6194,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,DSTAR-GRU,proposed,6,0.00802301,0.02629651,0.585526,0.801802,0.676806,0.184486,0.104762,0.771930,0.04759105,0.004415,0.006872,57,0.02309055,2628,152,6.5582,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,DSTAR-GRU,proposed,7,0.00790340,0.02578848,0.585526,0.794643,0.674242,0.173913,0.098592,0.736842,0.04826664,0.003541,0.005536,57,0.02278379,2628,152,6.5547,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,DSTAR-GRU,proposed,8,0.00731054,0.02464450,0.578947,0.807339,0.674330,0.187192,0.108883,0.666667,0.04833620,0.018836,0.015847,57,0.02108287,2628,152,6.5015,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,DSTAR-GRU,proposed,9,0.00786053,0.02608136,0.585526,0.824074,0.684615,0.180698,0.102326,0.771930,0.04933345,0.006208,0.006722,57,0.02265663,2628,152,6.5247,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Persistence,baseline,0,0.00690531,0.02395733,0.769737,0.769737,0.769737,0.042458,0.021689,1.000000,0.06753225,0.000000,0.000000,57,0.01994194,2628,152,0.0004,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Seasonal-24h,baseline,0,0.02035887,0.05934114,0.342105,0.342105,0.342105,0.076271,0.050279,0.157895,0.07043567,0.039904,0.099503,57,0.04886620,2628,152,0.0003,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Ridge,baseline,0,0.01984423,0.04991711,0.296053,0.818182,0.434783,0.143426,0.080899,0.631579,0.04455398,0.019643,0.039021,57,0.05038428,2628,152,0.0674,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,MLP,baseline,0,0.01166088,0.02916030,0.493421,0.806452,0.612245,0.165192,0.099291,0.491228,0.04927614,0.026633,0.029160,57,0.02871422,2628,152,0.2811,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,MLP,baseline,1,0.01086315,0.02644012,0.605263,0.779661,0.681481,0.162741,0.092683,0.666667,0.04691983,0.014945,0.019658,57,0.02652644,2628,152,0.2854,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,MLP,baseline,2,0.01834227,0.03163823,0.756579,0.657143,0.703364,0.160584,0.093220,0.578947,0.04481754,0.018876,0.053333,57,0.03670205,2628,152,0.2717,public_rts_curtailment_v6_modern_temporal_controls
