horizon_hours,method,method_role,n_seeds,mean_curtailment_mae,std_curtailment_mae,mean_event_f1,mean_onset_f1,mean_onset_mae,mean_stress_subset_mae
1,Persistence,baseline,1,0.00690531,0,0.769737,0.042458,0.06753225,0.01994194
1,Ablation-NoTopology,ablation,10,0.00750717,0.00020803,0.659461,0.184597,0.04743546,0.02165156
1,Ablation-LSTMEncoder,ablation,10,0.00762671,0.00025060,0.680522,0.185409,0.04678222,0.02197200
1,DSTAR-GRU,proposed,10,0.00769850,0.00026278,0.674076,0.176114,0.04875569,0.02218815
1,LSTM,baseline,10,0.00966282,0.00053356,0.724201,0.173514,0.04379054,0.02503223
1,Ablation-NoRetrievalBank,ablation,10,0.01240724,0.00127316,0.696107,0.163099,0.04190934,0.03114757
1,Ablation-NoSiamese,ablation,10,0.01281050,0.00000000,0.541833,0.089172,0.04880844,0.03528196
1,kNN-RawFeature,baseline,1,0.01281050,0,0.541833,0.089172,0.04880844,0.03528196
1,MLP,baseline,10,0.01294264,0.00227316,0.631467,0.162302,0.04866386,0.02911240
1,Ablation-SmallBank,ablation,10,0.01534389,0.00000000,0.000000,0.042458,0.06937456,0.04431182
1,Ridge,baseline,1,0.01984423,0,0.434783,0.143426,0.04455398,0.05038428
1,Seasonal-24h,baseline,1,0.02035887,0,0.342105,0.076271,0.07043567,0.04886620
24,Ablation-SmallBank,ablation,10,0.01534389,0.00000000,0.000000,0.122857,0.13239732,0.04431182
24,Ablation-NoSiamese,ablation,10,0.01946336,0.00000000,0.131737,0.224913,0.10675782,0.04350381
24,kNN-RawFeature,baseline,1,0.01946336,0,0.131737,0.226415,0.10675782,0.04350381
24,Ablation-LSTMEncoder,ablation,10,0.02032465,0.00047663,0.068417,0.168747,0.11111369,0.04567292
24,Ablation-NoTopology,ablation,10,0.02034663,0.00033895,0.061635,0.175247,0.11088351,0.04579518
24,Persistence,baseline,1,0.02035887,0,0.340000,0.122857,0.13228327,0.04886620
24,Seasonal-24h,baseline,1,0.02035887,0,0.340000,0.122857,0.13228327,0.04886620
24,DSTAR-GRU,proposed,10,0.02054281,0.00025532,0.034290,0.176789,0.11082187,0.04625580
24,Ablation-NoRetrievalBank,ablation,10,0.02195273,0.00107269,0.000000,0.206973,0.10981972,0.04613928
24,LSTM,baseline,10,0.02196195,0.00089572,0.018598,0.210796,0.10902063,0.04583260
24,Ridge,baseline,1,0.02427802,0,0.025157,0.235602,0.10648650,0.04949261
24,MLP,baseline,10,0.02664181,0.00251230,0.167563,0.206373,0.10226666,0.04885908
