horizon_hours,comparison,metric,n_pairs,mean_paired_difference,median_paired_difference,mean_diff_ci_low,mean_diff_ci_high,paired_sign_balance,exact_signflip_p,p_holm_paired_sensitivity
1,DSTAR-GRU vs Ablation-LSTMEncoder,curtailment_mae,10,7.179299999999986e-05,6.76499999999994e-05,-9.090100000000018e-05,0.0002513028999999996,0.2,0.455078125,0.455078125
1,DSTAR-GRU vs Ablation-LSTMEncoder,onset_mae,10,0.0019734770000000013,0.0015117550000000035,0.001040921800000002,0.0029407540000000003,0.8,0.00390625,0.01953125
1,DSTAR-GRU vs Ablation-LSTMEncoder,onset_f1,10,-0.009294599999999997,-0.007884000000000002,-0.016639675,-0.0023908899999999966,-0.4,0.052734375,0.2109375
1,DSTAR-GRU vs Ablation-NoRetrievalBank,curtailment_mae,10,-0.004708741,-0.004578775,-0.00540045315,-0.0040111246,-1.0,0.001953125,0.017578125
1,DSTAR-GRU vs Ablation-NoRetrievalBank,onset_mae,10,0.006846348000000002,0.006564265,0.005816641425000001,0.007966161150000001,1.0,0.001953125,0.017578125
1,DSTAR-GRU vs Ablation-NoRetrievalBank,onset_f1,10,0.013014800000000002,0.014126500000000014,0.0065092050000000075,0.018356097499999988,0.8,0.009765625,0.05859375
1,DSTAR-GRU vs Ablation-NoSiamese,curtailment_mae,10,-0.005112,-0.0050203,-0.0052756121750000004,-0.004963176100000001,-1.0,0.001953125,0.017578125
1,DSTAR-GRU vs Ablation-NoSiamese,onset_mae,10,-5.2748000000000377e-05,-0.00044701999999999936,-0.0005467392749999993,0.00045606414999999886,-0.2,0.83984375,1.0
1,DSTAR-GRU vs Ablation-NoSiamese,onset_f1,10,0.0869419,0.087619,0.08214016750000001,0.0915577275,1.0,0.001953125,0.017578125
1,DSTAR-GRU vs Ablation-NoTopology,curtailment_mae,10,0.00019132900000000006,0.00018496999999999958,-8.170775000000135e-06,0.00039872317500000003,0.4,0.12109375,0.2421875
1,DSTAR-GRU vs Ablation-NoTopology,onset_mae,10,0.001320231000000001,0.001050185000000002,0.0007979452500000018,0.0018480443250000005,1.0,0.001953125,0.017578125
1,DSTAR-GRU vs Ablation-NoTopology,onset_f1,10,-0.008483399999999999,-0.007876999999999995,-0.013346000000000002,-0.0035418625000000134,-0.8,0.013671875,0.068359375
1,DSTAR-GRU vs Ablation-SmallBank,curtailment_mae,10,-0.007645389999999999,-0.00755369,-0.007807186525,-0.007500059875,-1.0,0.001953125,0.017578125
