method,method_role,mean_quality_index,mean_runtime_s,runs
DSTAR-GRU,proposed,0.903423,1.224172,35
no_siamese_branch,ablation,0.866694,1.054871,35
lstm_encoder,ablation,0.850709,1.061487,35
no_retrieval_bank,ablation,0.829930,1.109485,35
no_topology_features,ablation,0.811714,1.164537,35
single_objective_layer,ablation,0.793262,1.192473,35
small_reference_bank,ablation,0.774993,1.237770,35
CNN-LSTM,baseline,0.749352,0.858180,35
AC OPF,baseline,0.738139,0.926673,35
GRU Direct,baseline,0.719798,0.631054,35
LSTM Direct,baseline,0.709006,0.689993,35
PSO,baseline,0.708431,1.017372,35
GA,baseline,0.688036,1.084983,35
Grid2Op Rule,baseline,0.685528,0.480727,35
DC OPF,baseline,0.675589,0.419951,35
